"","species","total_pot_pred"
"1","Ancistrocerus longispinosus",38
"39","Heriades crenulatus",25
"64","Hoplitis adunca",27
"91","Megachile apicalis",25
"116","Megachile rotundata",30
"146","Osmia caerulescens",33
"179","Osmia nasoproducta",4
"183","Osmia tricornis",15
"198","Passaloecus gracilis",34
"232","Psenulus fuscipennis",19
"251","Trypoxylon sp.1",17
"268","Nitela_fallax",4
"272","Osmia bicornis",10
"282","Osmia sp1",4
"286","Nitela sp1",18
"304","Osmia submicans",29
"333","Ampulex ruficollis",28
"361","Nitela sp.1",8
"369","Osmia latreillei",2
"371","Solierella compedita",26
"397","Solierella sp1",4
"401","Anthidium florentinum",9
"410","Chelostoma sp",4
"414","Megachile ericetorum",7
"421","Auplopus carbonaria",14
"435","Trypoxylon sp2",6
"441","Passaloecus pictus",7
"448","Chelostoma edentulum ",17
"465","Dipogon sp.1",6
"471","Hylaeus hyalinatus",3
"474","Hylaeus taeniolatus",3
"477","Trypoxylon sp1",16
"493","Auplopus carbonarius",9
"502","Eumeninae sp2",6
"508","Eumeninae sp3",6
"514","Euodynerus sp1",6
"520","Diodontus sp.1",15
"535","Dipogon sp1",7
"542","Dipogon sp2",16
"558","Nitela truncata",17
"575","Dipogon sp.2",4
"579","Pison atrum",9
"588","Dipogon sp.3",6
"594","Pompilidae sp.1",6
"600","Eumeninae sp.1",4
"604","Isodontia mexicana",2
"606","Anthidium nigricolle",5
"611","Nitela fallax",9
