"","species","total_pot_pred"
"1","Aphyllanthes.monspeliensis",133
"134","Cistus.albidus",104
"238","Cistus.salviifolius",116
"354","Euphorbia.flavicoma",123
"477","Fumana.laevipes",115
"592","Gladiolus.illyricus",133
"725","Rosmarinus.officinalis",141
"866","Thymus.vulgaris",140
"1006","Argyrolobium.zanonii",113
"1119","Biscutella.laevigata",126
"1245","Centaurea.linifolia.",107
"1352","Euphorbia.characias",94
"1446","Ononis.minutissima",122
"1568","Viccia.cracca",61
"1629","Sideritis.hirsuta",50
"1679","Allium.sphaerocephalon",73
"1752","Anagallis.arvensis",93
"1845","Convolvulus.lanuginosus",75
"1920","Fumana.laevis",97
"2017","Scorpiurus.muricatus",94
"2111","Sedum.sediforme",76
"2187","Dorycnium.pentaphyllum",124
"2311","Helianthemum.oelandicum.spp.italicum",109
"2420","Thesium.divaricatum",67
"2487","Cistus.monspeliensis",67
"2554","Composta.groga.",59
"2613","Dorycnium.hirsutum",67
"2680","Muscari.neglectum",80
"2760","Fumana.ericifolia",100
"2860","Galium.aparine",103
"2963","Helichrysum.stoechas",77
"3040","Teucrium.chamaedrys",94
"3134","Ranunculus.gramineus",58
"3192","Leuzea.conifera",66
"3258","Hypericum.perforatum",48
"3306","Cytisophyllum.sessilifolium",58
"3364","Phlomis.lychnitis",50
"3414","Centaurea.montana.ssp..semidecurrens",54
"3468","Erica.multiflora",69
"3537","Psoralera.bituminosa",54
"3591","Polygala.rupestris",57
"3648","Echium.vulgare",45
"3693","Linum.stricticum",45
"3738","Potentilla.sp.",45
"3783","Aristolochia.pistolochia",63
"3846","Orobanche.latisquama",63
