"","species","total_pot_pred"
"1","Ch. emarginata",13
"14","Ch. florisomnis",12
"26","Heriades truncorum",14
"40","Hy. communis",19
"59","M. apicalis",5
"64","Microdynerus timidus",11
"75","O. caerulescens",20
"95","O. cornuta",19
"114","O. rufa",20
"134","O. submicans",18
"152","Passaloecus spp",19
"171","Psenulus fuscipennis",19
"190","Trypoxylon figulus (suma 2)",14
"204","Trypoxylon spp (clavicerum+minus)",20
"224","E. posticus",20
"244","Hoplitis adunca",13
"257","Hy. taeniolatus",19
"276","Trypoxylon figulus",15
"291","Ch. campanularum",14
"305","M. rotundata",19
"324","Microdynerus nugdunensis",14
"338","Pison atrum",15
"353","M. centicularis",12
"365","Trypoxylon figulus(suma2)",15
"380","A. florentinum",13
"393","Alastor",11
"404","I. mexicana",13
"417","Trypoxylon figulus (suma2)",10
"427","Trypoxylon spp (clav+min)(suma2)",10
"437","O. fulviventris",13
"450","Passaloecus spp (suma2)",13
"463","Discoelius zonalis",11
"474","Soleriella",11
"485","Hy. signatus",9
"494","H. truncorum",13
"507","Hy. Communis",13
"520","Hy. Taenoliatus",13
"533","M. timidus",13
"546","P. fuscipennis",13
