"","species","interactions"
"1","Ancistrocerus longispinosus",15
"2","Megachile apicalis",5
"3","Megachile rotundata",8
"4","Osmia nasoproducta",1
"5","Passaloecus gracilis",5
"6","Nitela_fallax",1
"7","Osmia bicornis",3
"8","Osmia caerulescens",10
"9","Trypoxylon sp.1",4
"10","Solierella compedita",3
"11","Solierella sp1",1
"12","Heriades crenulatus",3
"13","Osmia submicans",8
"14","Megachile ericetorum",1
"15","Auplopus carbonaria",2
"16","Osmia tricornis",2
"17","Psenulus fuscipennis",3
"18","Chelostoma edentulum ",2
"19","Hylaeus taeniolatus",1
"20","Trypoxylon sp1",2
"21","Diodontus sp.1",1
"22","Nitela sp1",1
"23","Hoplitis adunca",3
"24","Ampulex ruficollis",1
"25","Anthidium nigricolle",1
"26","Nitela fallax",1
"27","Nitela sp.1",2
