"","species","interactions"
"1","Aphyllanthes.monspeliensis",6
"2","Cistus.albidus",66
"3","Cistus.salviifolius",64
"4","Euphorbia.flavicoma",47
"5","Fumana.laevipes",4
"6","Gladiolus.illyricus",24
"7","Rosmarinus.officinalis",67
"8","Thymus.vulgaris",70
"9","Argyrolobium.zanonii",3
"10","Biscutella.laevigata",63
"11","Centaurea.linifolia.",43
"12","Euphorbia.characias",7
"13","Ononis.minutissima",35
"14","Viccia.cracca",3
"15","Sideritis.hirsuta",22
"16","Allium.sphaerocephalon",31
"17","Anagallis.arvensis",22
"18","Convolvulus.lanuginosus",32
"19","Fumana.laevis",4
"20","Scorpiurus.muricatus",23
"21","Sedum.sediforme",11
"22","Dorycnium.pentaphyllum",27
"23","Helianthemum.oelandicum.spp.italicum",17
"24","Thesium.divaricatum",3
"25","Cistus.monspeliensis",8
"26","Dorycnium.hirsutum",33
"27","Muscari.neglectum",16
"28","Fumana.ericifolia",7
"29","Galium.aparine",34
"30","Helichrysum.stoechas",2
"31","Teucrium.chamaedrys",35
"32","Ranunculus.gramineus",26
"33","Leuzea.conifera",22
"34","Hypericum.perforatum",4
"35","Phlomis.lychnitis",19
"36","Centaurea.montana.ssp..semidecurrens",32
"37","Erica.multiflora",1
"38","Psoralera.bituminosa",1
"39","Echium.vulgare",9
"40","Linum.stricticum",11
"41","Potentilla.sp.",1
"42","Orobanche.latisquama",12
