"","species","interactions"
"1","Plant-Csa",111
"2","Plant-Cal",47
"3","Plant-Ecy",27
"4","Plant-Csc",46
"5","Plant-Upa",3
"6","Plant-Lst",64
"7","Plant-TvuF",53
"8","Plant-TvuHF",54
"9","Plant-Ech",42
"10","Plant-Lta",10
"11","Plant-Bra",11
"12","Plant-Aza",8
"13","Plant-Gtr",6
"14","Plant-Tar",2
"15","Plant-Soc",21
"16","Plant-Ger",14
"17","Plant-Rbu",21
"18","Plant-Ata",1
"19","Plant-Gal",2
"20","Plant-Lina",3
"21","Plant-Son",16
"22","Plant-Sho",9
"23","Plant-Cem",2
"24","Plant-Lco",13
"25","Plant-Lvu",13
"26","Plant-Hie",4
"27","Plant-Pgr",3
"28","Plant-Fve",2
"29","Plant-Eam",6
"30","Plant-Ama",4
"31","Plant-Lat",2
"32","Plant-Sen",4
"33","Plant-Tof",14
"34","Plant-Cer",4
"35","Plant-Hgu",1
"36","Plant-Ese",2
"37","Plant-Vcr",10
"38","Plant-Vic",1
"39","Plant-Tpr",1
"40","Plant-Ain",2
"41","Plant-Svu",2
"42","Plant-Cmon",1
"43","Plant-Pbi",9
"44","Plant-Sin",3
"45","Plant-Vpu",8
"46","Plant-Cmo",17
"47","Plant-Lin",1
"48","Plant-Dpe",2
"49","Plant-Evu",3
"50","Plant-Lob",2
