"","species","interactions"
"1","Ch. emarginata",2
"2","M. apicalis",2
"3","O. caerulescens",6
"4","O. cornuta",7
"5","O. rufa",9
"6","O. submicans",5
"7","Psenulus fuscipennis",5
"8","Trypoxylon figulus (suma 2)",5
"9","E. posticus",8
"10","Hoplitis adunca",1
"11","Hy. communis",2
"12","Hy. taeniolatus",3
"13","Passaloecus spp",4
"14","Trypoxylon figulus",3
"15","Ch. campanularum",1
"16","M. rotundata",3
"17","Microdynerus nugdunensis",1
"18","Trypoxylon spp (clavicerum+minus)",5
"19","Pison atrum",1
"20","Microdynerus timidus",1
"21","Trypoxylon figulus(suma2)",2
"22","Ch. florisomnis",2
"23","Heriades truncorum",1
"24","Trypoxylon figulus (suma2)",3
"25","Trypoxylon spp (clav+min)(suma2)",1
"26","M. centicularis",2
"27","Passaloecus spp (suma2)",4
"28","H. truncorum",1
"29","Hy. Communis",1
"30","Hy. Taenoliatus",1
"31","M. timidus",1
