"","species","interactions","indegree","rep"
"1","Anthrax.anthrax",8,8,1
"2","Anthrax_anthrax",2,3,1
"3","Anthrax_sp2",1,2,1
"4","Caliphoridae.sp..1",1,1,1
"5","Chaetodactylus_sp1",1,2,1
"6","Chalcis.sp.1",2,3,1
"7","Chalcis_sp1",1,2,1
"8","Chrisis_ignita",1,2,1
"9","Chrysis.ignita",1,3,1
"10","Chrysura_sp1",1,1,1
"11","Coelioxys_echinata",1,2,1
"12","Coelyoxis.echinata",2,2,1
"13","Cystomutilla_sp1",4,1,1
"14","Gasteruption.sp.1",2,1,1
"15","Hedycridium",1,1,1
"16","Hedycridium_sp1",1,2,1
"17","Hybomischos.sp.1",2,1,1
"18","Leucospis.dorsigera",2,3,1
"19","Melittobia.sp.",5,5,1
"20","Melittobia.sp..sp1",9,2,1
"21","Melittobia_sp1",5,5,1
"22","Meloidae_sp1",1,1,1
"23","Miltogramma.spp.",4,2,1
"24","Miltogramma.spp..sp1",4,5,1
"25","Miltogramma_sp1",1,1,1
"26","Mutillidae_sp1",1,5,1
"27","Omalus.sp.1",4,3,1
"28","Omalus.sp.2",1,3,1
"29","Omalus_sp1",1,5,1
"30","Pteromalidae_sp1",1,2,1
"31","Sapyga.quinquepunctata",3,6,1
"32","Sapyga_quinquepunctata",4,2,1
"33","Toxophora_sp1",1,3,1
"34","Trichodes.leucopsideus.",4,2,1
"35","Trichodes_leucopsideus",2,3,1
"36","Trichrysis.cyanea",1,2,1
"37","Trogoderma_sp1",3,1,1
"38","Xorides.sp.1",1,1,1
"39","Anthrax.anthrax",8,4,2
"40","Anthrax_anthrax",2,2,2
"41","Anthrax_sp2",1,1,2
"42","Caliphoridae.sp..1",1,2,2
"43","Chaetodactylus_sp1",1,1,2
"44","Chalcis.sp.1",2,2,2
"45","Chalcis_sp1",1,1,2
"46","Chrisis_ignita",1,2,2
"47","Chrysis.ignita",1,1,2
"48","Chrysura_sp1",1,1,2
"49","Coelioxys_echinata",1,1,2
"50","Coelyoxis.echinata",2,2,2
"51","Cystomutilla_sp1",4,4,2
"52","Gasteruption.sp.1",2,1,2
"53","Hedycridium",1,4,2
"54","Hedycridium_sp1",1,1,2
"55","Hybomischos.sp.1",2,1,2
"56","Leucospis.dorsigera",2,3,2
"57","Melittobia.sp.",5,3,2
"58","Melittobia.sp..sp1",9,2,2
"59","Melittobia_sp1",5,2,2
"60","Meloidae_sp1",1,1,2
"61","Miltogramma.spp.",4,5,2
"62","Miltogramma.spp..sp1",4,3,2
"63","Miltogramma_sp1",1,1,2
"64","Mutillidae_sp1",1,2,2
"65","Omalus.sp.1",4,4,2
"66","Omalus.sp.2",1,1,2
"67","Omalus_sp1",1,6,2
"68","Pteromalidae_sp1",1,2,2
"69","Sapyga.quinquepunctata",3,3,2
"70","Sapyga_quinquepunctata",4,3,2
"71","Toxophora_sp1",1,1,2
"72","Trichodes.leucopsideus.",4,1,2
"73","Trichodes_leucopsideus",2,1,2
"74","Trichrysis.cyanea",1,1,2
"75","Trogoderma_sp1",3,2,2
"76","Xorides.sp.1",1,1,2
"77","Anthrax.anthrax",8,4,3
"78","Anthrax_anthrax",2,3,3
"79","Anthrax_sp2",1,1,3
"80","Caliphoridae.sp..1",1,1,3
"81","Chaetodactylus_sp1",1,1,3
"82","Chalcis.sp.1",2,2,3
"83","Chalcis_sp1",1,1,3
"84","Chrisis_ignita",1,1,3
"85","Chrysis.ignita",1,2,3
"86","Chrysura_sp1",1,1,3
"87","Coelioxys_echinata",1,1,3
"88","Coelyoxis.echinata",2,2,3
"89","Cystomutilla_sp1",4,4,3
"90","Gasteruption.sp.1",2,2,3
"91","Hedycridium",1,1,3
"92","Hedycridium_sp1",1,1,3
"93","Hybomischos.sp.1",2,1,3
"94","Leucospis.dorsigera",2,4,3
"95","Melittobia.sp.",5,2,3
"96","Melittobia.sp..sp1",9,3,3
"97","Melittobia_sp1",5,2,3
"98","Meloidae_sp1",1,2,3
"99","Miltogramma.spp.",4,6,3
"100","Miltogramma.spp..sp1",4,4,3
"101","Miltogramma_sp1",1,1,3
"102","Mutillidae_sp1",1,1,3
"103","Omalus.sp.1",4,3,3
"104","Omalus.sp.2",1,1,3
"105","Omalus_sp1",1,5,3
"106","Pteromalidae_sp1",1,1,3
"107","Sapyga.quinquepunctata",3,2,3
"108","Sapyga_quinquepunctata",4,1,3
"109","Toxophora_sp1",1,3,3
"110","Trichodes.leucopsideus.",4,4,3
"111","Trichodes_leucopsideus",2,1,3
"112","Trichrysis.cyanea",1,1,3
"113","Trogoderma_sp1",3,4,3
"114","Xorides.sp.1",1,1,3
"115","Anthrax.anthrax",8,8,4
"116","Anthrax_anthrax",2,2,4
"117","Anthrax_sp2",1,3,4
"118","Caliphoridae.sp..1",1,2,4
"119","Chaetodactylus_sp1",1,2,4
"120","Chalcis.sp.1",2,2,4
"121","Chalcis_sp1",1,2,4
"122","Chrisis_ignita",1,1,4
"123","Chrysis.ignita",1,2,4
"124","Chrysura_sp1",1,1,4
"125","Coelioxys_echinata",1,1,4
"126","Coelyoxis.echinata",2,1,4
"127","Cystomutilla_sp1",4,2,4
"128","Gasteruption.sp.1",2,3,4
"129","Hedycridium",1,3,4
"130","Hedycridium_sp1",1,1,4
"131","Hybomischos.sp.1",2,1,4
"132","Leucospis.dorsigera",2,2,4
"133","Melittobia.sp.",5,4,4
"134","Melittobia.sp..sp1",9,6,4
"135","Melittobia_sp1",5,3,4
"136","Meloidae_sp1",1,1,4
