"","species","interactions","indegree","rep"
"1","Acmaeodera.cylindrica",8,10,1
"2","Adelidae.sp1",8,9,1
"3","Amegilla.quadrifasciata",1,1,1
"4","Anaspis.sp1",14,14,1
"5","Ancistrocerus.biphaleratus",3,3,1
"6","Andrena.angustior",3,6,1
"7","Andrena.djelfensis",8,15,1
"8","Andrena.flavipes",1,12,1
"9","Andrena.labialis",4,2,1
"10","Andrena.lepida",2,15,1
"11","Andrena.limata",3,1,1
"12","Andrena.nigroaenea",11,8,1
"13","Andrena.nigroolivacea",1,2,1
"14","Andrena.senecionis",9,9,1
"15","Andrena.trimmerana",1,3,1
"16","Andrena.vulpecula",4,6,1
"17","Anthaxia.millefolii",10,18,1
"18","Anthaxia.scutullaris",7,12,1
"19","Anthaxia.spinolae",8,9,1
"20","Anthocharis.euphenoides",3,6,1
"21","Anthophora.acervorum",9,7,1
"22","Anthophora.dispar",4,18,1
"23","Anthrenus.sp1",6,9,1
"24","Apion.sp2",1,7,1
"25","Apis.mellifera",26,9,1
"26","Aplocnemus.calidus",13,10,1
"27","Athalia.bicolor",1,10,1
"28","Athalia.sp1",1,9,1
"29","Attagenus.sp1",1,4,1
"30","Attalus.pictus",2,1,1
"31","Bombus.pascuorum",1,1,1
"32","Bombus.terrestris",20,12,1
"33","Bruchidius.obscuripes",3,2,1
"34","Bruchidius.pusillus",4,2,1
"35","Bruchidius.seminarius",5,6,1
"36","Bruchidius.sp3",5,4,1
"37","Bruchidius.villosus",4,4,1
"38","Bruchus.brachialis",9,6,1
"39","Bruchus.viciae",9,1,1
"40","Bruchus.villosus",3,7,1
"41","Callophrys.rubi",2,7,1
"42","Ceratina.cucurbitina",14,7,1
"43","Ceratina.cyanea",6,4,1
"44","Chryptocephalus.ramburi",2,6,1
"45","Chrysotoxum.cautum",6,11,1
"46","Clanoptilus.abdominalis",1,11,1
"47","Clytra.quadripunctata",2,3,1
"48","Clytus.rhamni",11,7,1
"49","Coenonympha.pamphilus",2,5,1
"50","Danacea.longiceps",14,11,1
"51","Dasytes.nigroaeneus",23,10,1
"52","Eristalis.tenax",6,6,1
