"","species","interactions","indegree","rep"
"1","Pol-Aan",5,4,1
"2","Pol-Aca",2,1,1
"3","Pol-Ade",11,8,1
"4","Pol-Adeg",2,6,1
"5","Pol-Adi",3,7,1
"6","Pol-Afu",7,6,1
"7","Pol-Aful",2,1,1
"8","Pol-Ahu",3,5,1
"9","Pol-Ame",13,8,1
"10","Pol-And",3,6,1
"11","Pol-And1",1,1,1
"12","Pol-And10",2,2,1
"13","Pol-And11",1,3,1
"14","Pol-And12",2,1,1
"15","Pol-And2",9,9,1
"16","Pol-And3",5,3,1
"17","Pol-And5",8,8,1
"18","Pol-And6",1,4,1
"19","Pol-And7",1,2,1
"20","Pol-And8",1,1,1
"21","Pol-And9",1,3,1
"22","Pol-Ani",11,7,1
"23","Pol-Ant",7,4,1
"24","Pol-Ant1",1,1,1
"25","Pol-Ant2",8,5,1
"26","Pol-Ant3",4,9,1
"27","Pol-Ant4",3,1,1
"28","Pol-Ant5",1,3,1
"29","Pol-Anthi1",1,3,1
"30","Pol-Anthr",4,2,1
"31","Pol-Apl",9,5,1
"32","Pol-Ase",2,8,1
"33","Pol-Att",5,2,1
"34","Pol-Bib1",1,2,1
"35","Pol-Bla",1,1,1
"36","Pol-Bme",1,2,1
"37","Pol-Bom1",15,5,1
"38","Pol-Bom2",1,2,1
"39","Pol-Bom3",10,3,1
"40","Pol-Bom4",10,2,1
"41","Pol-Bpa",8,6,1
"42","Pol-Bru1",4,3,1
"43","Pol-Bru2",3,5,1
"44","Pol-Bru3",1,2,1
"45","Pol-Bte",13,13,1
"46","Pol-Cae",1,1,1
"47","Pol-Cal",1,1,1
"48","Pol-Call",5,4,1
"49","Pol-Ccr",6,2,1
"50","Pol-Ccro",1,4,1
"51","Pol-Ccu",6,5,1
"52","Pol-Ccy",5,4,1
"53","Pol-Cer1",1,3,1
"54","Pol-Chal",4,4,1
"55","Pol-Che1",6,5,1
"56","Pol-Che2",2,2,1
"57","Pol-Che3",1,3,1
"58","Pol-Chr",5,6,1
"59","Pol-Chry1",2,3,1
"60","Pol-Cla",6,3,1
"61","Pol-Clan",2,1,1
"62","Pol-Col3",1,1,1
"63","Pol-Col4",1,1,1
"64","Pol-Col5",1,1,1
"65","Pol-Coll",1,1,1
"66","Pol-Con",1,3,1
"67","Pol-Cpi",5,2,1
"68","Pol-Cru",3,3,1
"69","Pol-Csc",2,2,1
"70","Pol-Cur1",2,3,1
"71","Pol-Cur2",2,1,1
"72","Pol-Cur3",1,1,1
"73","Pol-Dan",3,4,1
"74","Pol-Das",7,2,1
"75","Pol-Dba",4,4,1
"76","Pol-Dip1",7,6,1
"77","Pol-Dip11",2,1,1
"78","Pol-Dip12",1,4,1
"79","Pol-Dip2",7,4,1
"80","Pol-Dip22",4,1,1
"81","Pol-Dip23",2,2,1
"82","Pol-Dip24",1,1,1
"83","Pol-Dip3",3,3,1
"84","Pol-Dip4",4,2,1
"85","Pol-Dip5",1,1,1
"86","Pol-Dip6",1,2,1
"87","Pol-Eba",19,8,1
"88","Pol-Eer",5,2,1
"89","Pol-Eri1",4,7,1
"90","Pol-Ete",10,11,1
"91","Pol-Euc1",4,8,1
"92","Pol-Eup",13,9,1
"93","Pol-Fge",9,7,1
"94","Pol-Gcl",2,3,1
"95","Pol-Gme",1,1,1
"96","Pol-Grh",1,1,1
"97","Pol-Gym1",2,5,1
"98","Pol-Gym2",1,1,1
"99","Pol-Gym3",1,3,1
"100","Pol-Had",1,2,1
"101","Pol-Hal1",3,1,1
"102","Pol-Het1",1,3,1
"103","Pol-Het2",2,4,1
"104","Pol-Het3",1,1,1
"105","Pol-Het4",1,2,1
"106","Pol-Het5",1,3,1
"107","Pol-Hop1",1,6,1
"108","Pol-Hop2",1,1,1
"109","Pol-Hsc",4,5,1
"110","Pol-Hsu",2,1,1
"111","Pol-Hyl1",2,2,1
"112","Pol-Ich1",1,4,1
"113","Pol-Ich2",1,1,1
"114","Pol-Ich3",1,3,1
"115","Pol-Ifa",1,1,1
"116","Pol-Ipo",3,5,1
"117","Pol-Lae",3,9,1
"118","Pol-Lci",2,5,1
"119","Pol-Lep1",2,1,1
"120","Pol-Lep2",2,5,1
"121","Pol-Lgr",13,6,1
"122","Pol-Lgran",2,1,1
"123","Pol-Lme",1,1,1
"124","Pol-Lmi",18,8,1
"125","Pol-Lpe",14,6,1
"126","Pol-Lph",2,4,1
"127","Pol-Lsi",1,1,1
"128","Pol-Luc",2,1,1
"129","Pol-Mal1",3,1,1
"130","Pol-Mci",2,2,1
"131","Pol-Mec",1,1,1
"132","Pol-Meg",2,6,1
"133","Pol-Meg1",1,2,1
"134","Pol-Meg2",1,1,1
"135","Pol-Meg3",1,2,1
"136","Pol-Mel",27,5,1
"137","Pol-Melec1",1,2,1
"138","Pol-Melig",7,11,1
"139","Pol-Mer1",1,2,1
"140","Pol-Mer2",4,6,1
"141","Pol-Mir",5,6,1
"142","Pol-Mor1",3,5,1
"143","Pol-Mst",5,5,1
"144","Pol-Nit1",3,2,1
"145","Pol-Nom",1,4,1
"146","Pol-Nom1",4,7,1
"147","Pol-Nom2",4,7,1
"148","Pol-Nom3",1,1,1
"149","Pol-Nom4",2,2,1
"150","Pol-Nom5",3,2,1
"151","Pol-Nom6",1,4,1
"152","Pol-Oca",5,8,1
