"","species","interactions","outdegree","rep"
"1","AMO",5,4,1
"2","AZA",1,9,1
"3","BLA",6,11,1
"4","CAL",7,2,1
"5","CSA",18,13,1
"6","CSP",4,53,1
"7","DPE",2,6,1
"8","ECH",7,10,1
"9","EFL",32,27,1
"10","EMU",1,1,1
"11","ESE",3,4,1
"12","FAB",1,5,1
"13","FLA",7,6,1
"14","HOE",23,17,1
"15","LIN",1,1,1
"16","OLA",4,14,1
"17","POT",1,5,1
"18","PRUNUS",2,1,1
"19","RGR",2,1,1
"20","ROF",79,37,1
"21","SHI",1,7,1
"22","TVUF",62,26,1
"23","TVUH",55,39,1
"24","UMBE",1,6,1
"25","AMO",5,12,2
"26","AZA",1,8,2
"27","BLA",6,13,2
"28","CAL",7,7,2
"29","CSA",18,14,2
"30","CSP",4,44,2
"31","DPE",2,7,2
"32","ECH",7,15,2
"33","EFL",32,27,2
"34","EMU",1,4,2
"35","ESE",3,1,2
"36","FAB",1,3,2
"37","FLA",7,11,2
"38","HOE",23,20,2
"39","LIN",1,1,2
"40","OLA",4,15,2
"41","POT",1,4,2
"42","PRUNUS",2,1,2
"43","RGR",2,4,2
"44","ROF",79,44,2
"45","SHI",1,3,2
"46","TVUF",62,32,2
"47","TVUH",55,28,2
"48","UMBE",1,3,2
"49","AMO",5,8,3
"50","AZA",1,7,3
"51","BLA",6,13,3
"52","CAL",7,4,3
"53","CSA",18,14,3
"54","CSP",4,42,3
"55","DPE",2,5,3
"56","ECH",7,6,3
"57","EFL",32,25,3
"58","EMU",1,5,3
"59","ESE",3,4,3
"60","FAB",1,1,3
"61","FLA",7,7,3
"62","HOE",23,24,3
"63","LIN",1,2,3
"64","OLA",4,16,3
"65","POT",1,3,3
"66","PRUNUS",2,1,3
"67","RGR",2,5,3
"68","ROF",79,34,3
"69","SHI",1,10,3
"70","TVUF",62,37,3
"71","TVUH",55,27,3
"72","UMBE",1,3,3
"73","AMO",5,4,4
"74","AZA",1,6,4
"75","BLA",6,5,4
"76","CAL",7,9,4
"77","CSA",18,18,4
"78","CSP",4,47,4
"79","DPE",2,4,4
"80","ECH",7,6,4
"81","EFL",32,21,4
"82","EMU",1,3,4
"83","ESE",3,9,4
"84","FAB",1,6,4
"85","FLA",7,7,4
"86","HOE",23,20,4
"87","LIN",1,2,4
"88","OLA",4,13,4
"89","POT",1,0,4
"90","PRUNUS",2,1,4
"91","RGR",2,8,4
"92","ROF",79,34,4
"93","SHI",1,4,4
"94","TVUF",62,33,4
"95","TVUH",55,30,4
"96","UMBE",1,2,4
"97","AMO",5,11,5
"98","AZA",1,10,5
"99","BLA",6,10,5
"100","CAL",7,9,5
"101","CSA",18,15,5
"102","CSP",4,47,5
"103","DPE",2,2,5
"104","ECH",7,10,5
"105","EFL",32,19,5
"106","EMU",1,1,5
"107","ESE",3,7,5
"108","FAB",1,2,5
"109","FLA",7,9,5
"110","HOE",23,26,5
"111","LIN",1,2,5
"112","OLA",4,19,5
"113","POT",1,5,5
"114","PRUNUS",2,4,5
"115","RGR",2,4,5
"116","ROF",79,30,5
"117","SHI",1,2,5
"118","TVUF",62,32,5
"119","TVUH",55,38,5
"120","UMBE",1,3,5
"121","AMO",5,8,6
"122","AZA",1,8,6
"123","BLA",6,12,6
"124","CAL",7,8,6
"125","CSA",18,16,6
"126","CSP",4,47,6
"127","DPE",2,8,6
"128","ECH",7,11,6
"129","EFL",32,25,6
"130","EMU",1,3,6
"131","ESE",3,7,6
"132","FAB",1,2,6
"133","FLA",7,15,6
"134","HOE",23,23,6
"135","LIN",1,1,6
"136","OLA",4,12,6
"137","POT",1,5,6
"138","PRUNUS",2,2,6
"139","RGR",2,3,6
"140","ROF",79,33,6
"141","SHI",1,5,6
"142","TVUF",62,36,6
"143","TVUH",55,29,6
"144","UMBE",1,4,6
"145","AMO",5,7,7
"146","AZA",1,4,7
"147","BLA",6,5,7
"148","CAL",7,8,7
"149","CSA",18,15,7
"150","CSP",4,54,7
"151","DPE",2,5,7
"152","ECH",7,6,7
"153","EFL",32,20,7
"154","EMU",1,1,7
"155","ESE",3,2,7
"156","FAB",1,3,7
"157","FLA",7,9,7
"158","HOE",23,24,7
"159","LIN",1,0,7
"160","OLA",4,18,7
"161","POT",1,4,7
"162","PRUNUS",2,2,7
"163","RGR",2,2,7
"164","ROF",79,37,7
"165","SHI",1,3,7
"166","TVUF",62,37,7
"167","TVUH",55,35,7
"168","UMBE",1,4,7
"169","AMO",5,13,8
"170","AZA",1,4,8
"171","BLA",6,9,8
"172","CAL",7,5,8
"173","CSA",18,9,8
"174","CSP",4,52,8
"175","DPE",2,3,8
"176","ECH",7,10,8
"177","EFL",32,20,8
"178","EMU",1,4,8
"179","ESE",3,4,8
"180","FAB",1,4,8
"181","FLA",7,11,8
"182","HOE",23,19,8
"183","LIN",1,0,8
"184","OLA",4,18,8
"185","POT",1,5,8
"186","PRUNUS",2,0,8
"187","RGR",2,2,8
"188","ROF",79,40,8
"189","SHI",1,8,8
"190","TVUF",62,30,8
"191","TVUH",55,33,8
"192","UMBE",1,3,8
"193","AMO",5,4,9
"194","AZA",1,3,9
"195","BLA",6,7,9
"196","CAL",7,8,9
"197","CSA",18,20,9
"198","CSP",4,52,9
"199","DPE",2,4,9
"200","ECH",7,13,9
"201","EFL",32,27,9
"202","EMU",1,2,9
"203","ESE",3,6,9
"204","FAB",1,3,9
"205","FLA",7,9,9
"206","HOE",23,25,9
"207","LIN",1,0,9
"208","OLA",4,19,9
"209","POT",1,4,9
"210","PRUNUS",2,1,9
"211","RGR",2,2,9
"212","ROF",79,31,9
"213","SHI",1,6,9
"214","TVUF",62,33,9
"215","TVUH",55,27,9
"216","UMBE",1,2,9
"217","AMO",5,10,10
"218","AZA",1,8,10
"219","BLA",6,8,10
"220","CAL",7,9,10
"221","CSA",18,11,10
"222","CSP",4,47,10
"223","DPE",2,5,10
