"","species","interactions","outdegree","rep"
"1","Allium.sphaerocephalon",31,18,1
"2","Anagallis.arvensis",22,21,1
"3","Aphyllanthes.monspeliensis",6,38,1
"4","Argyrolobium.zanonii",3,39,1
"5","Biscutella.laevigata",63,35,1
"6","Centaurea.linifolia.",43,31,1
"7","Centaurea.montana.ssp..semidecurrens",32,7,1
"8","Cistus.albidus",66,25,1
"9","Cistus.monspeliensis",8,16,1
"10","Cistus.salviifolius",64,31,1
"11","Convolvulus.lanuginosus",32,17,1
"12","Dorycnium.hirsutum",33,14,1
"13","Dorycnium.pentaphyllum",27,37,1
"14","Echium.vulgare",9,11,1
"15","Erica.multiflora",1,20,1
"16","Euphorbia.characias",7,13,1
"17","Euphorbia.flavicoma",47,44,1
"18","Fumana.ericifolia",7,21,1
"19","Fumana.laevipes",4,29,1
"20","Fumana.laevis",4,31,1
"21","Galium.aparine",34,31,1
"22","Gladiolus.illyricus",24,33,1
"23","Helianthemum.oelandicum.spp.italicum",17,36,1
"24","Helichrysum.stoechas",2,18,1
"25","Hypericum.perforatum",4,8,1
"26","Leuzea.conifera",22,15,1
"27","Linum.stricticum",11,10,1
"28","Muscari.neglectum",16,19,1
"29","Ononis.minutissima",35,29,1
"30","Orobanche.latisquama",12,17,1
"31","Phlomis.lychnitis",19,15,1
"32","Potentilla.sp.",1,7,1
"33","Psoralera.bituminosa",1,17,1
"34","Ranunculus.gramineus",26,12,1
"35","Rosmarinus.officinalis",67,41,1
"36","Scorpiurus.muricatus",23,21,1
"37","Sedum.sediforme",11,16,1
"38","Sideritis.hirsuta",22,10,1
"39","Teucrium.chamaedrys",35,30,1
"40","Thesium.divaricatum",3,15,1
"41","Thymus.vulgaris",70,30,1
"42","Viccia.cracca",3,18,1
"43","Allium.sphaerocephalon",31,26,2
"44","Anagallis.arvensis",22,16,2
"45","Aphyllanthes.monspeliensis",6,35,2
"46","Argyrolobium.zanonii",3,25,2
"47","Biscutella.laevigata",63,38,2
"48","Centaurea.linifolia.",43,25,2
"49","Centaurea.montana.ssp..semidecurrens",32,19,2
"50","Cistus.albidus",66,36,2
"51","Cistus.monspeliensis",8,18,2
"52","Cistus.salviifolius",64,29,2
"53","Convolvulus.lanuginosus",32,14,2
"54","Dorycnium.hirsutum",33,13,2
"55","Dorycnium.pentaphyllum",27,28,2
"56","Echium.vulgare",9,16,2
"57","Erica.multiflora",1,13,2
"58","Euphorbia.characias",7,24,2
"59","Euphorbia.flavicoma",47,35,2
"60","Fumana.ericifolia",7,32,2
"61","Fumana.laevipes",4,27,2
"62","Fumana.laevis",4,28,2
"63","Galium.aparine",34,28,2
"64","Gladiolus.illyricus",24,32,2
"65","Helianthemum.oelandicum.spp.italicum",17,31,2
"66","Helichrysum.stoechas",2,23,2
"67","Hypericum.perforatum",4,14,2
"68","Leuzea.conifera",22,25,2
"69","Linum.stricticum",11,10,2
"70","Muscari.neglectum",16,21,2
"71","Ononis.minutissima",35,31,2
"72","Orobanche.latisquama",12,12,2
"73","Phlomis.lychnitis",19,13,2
"74","Potentilla.sp.",1,12,2
"75","Psoralera.bituminosa",1,13,2
"76","Ranunculus.gramineus",26,16,2
"77","Rosmarinus.officinalis",67,38,2
"78","Scorpiurus.muricatus",23,21,2
"79","Sedum.sediforme",11,16,2
"80","Sideritis.hirsuta",22,11,2
"81","Teucrium.chamaedrys",35,22,2
"82","Thesium.divaricatum",3,10,2
"83","Thymus.vulgaris",70,35,2
"84","Viccia.cracca",3,21,2
"85","Allium.sphaerocephalon",31,19,3
"86","Anagallis.arvensis",22,26,3
"87","Aphyllanthes.monspeliensis",6,32,3
"88","Argyrolobium.zanonii",3,24,3
"89","Biscutella.laevigata",63,35,3
"90","Centaurea.linifolia.",43,33,3
"91","Centaurea.montana.ssp..semidecurrens",32,17,3
"92","Cistus.albidus",66,26,3
"93","Cistus.monspeliensis",8,16,3
"94","Cistus.salviifolius",64,25,3
"95","Convolvulus.lanuginosus",32,18,3
"96","Dorycnium.hirsutum",33,15,3
"97","Dorycnium.pentaphyllum",27,26,3
"98","Echium.vulgare",9,7,3
"99","Erica.multiflora",1,13,3
"100","Euphorbia.characias",7,26,3
"101","Euphorbia.flavicoma",47,41,3
"102","Fumana.ericifolia",7,17,3
"103","Fumana.laevipes",4,30,3
"104","Fumana.laevis",4,19,3
"105","Galium.aparine",34,26,3
"106","Gladiolus.illyricus",24,38,3
"107","Helianthemum.oelandicum.spp.italicum",17,22,3
"108","Helichrysum.stoechas",2,16,3
"109","Hypericum.perforatum",4,19,3
"110","Leuzea.conifera",22,13,3
"111","Linum.stricticum",11,8,3
"112","Muscari.neglectum",16,13,3
"113","Ononis.minutissima",35,32,3
"114","Orobanche.latisquama",12,19,3
"115","Phlomis.lychnitis",19,14,3
"116","Potentilla.sp.",1,11,3
"117","Psoralera.bituminosa",1,15,3
"118","Ranunculus.gramineus",26,16,3
"119","Rosmarinus.officinalis",67,30,3
"120","Scorpiurus.muricatus",23,18,3
"121","Sedum.sediforme",11,17,3
"122","Sideritis.hirsuta",22,9,3
"123","Teucrium.chamaedrys",35,21,3
"124","Thesium.divaricatum",3,19,3
"125","Thymus.vulgaris",70,32,3
"126","Viccia.cracca",3,11,3
"127","Allium.sphaerocephalon",31,14,4
"128","Anagallis.arvensis",22,21,4
"129","Aphyllanthes.monspeliensis",6,31,4
"130","Argyrolobium.zanonii",3,25,4
"131","Biscutella.laevigata",63,34,4
"132","Centaurea.linifolia.",43,28,4
"133","Centaurea.montana.ssp..semidecurrens",32,12,4
"134","Cistus.albidus",66,24,4
"135","Cistus.monspeliensis",8,15,4
"136","Cistus.salviifolius",64,26,4
"137","Convolvulus.lanuginosus",32,16,4
"138","Dorycnium.hirsutum",33,15,4
"139","Dorycnium.pentaphyllum",27,30,4
"140","Echium.vulgare",9,9,4
"141","Erica.multiflora",1,13,4
"142","Euphorbia.characias",7,23,4
"143","Euphorbia.flavicoma",47,30,4
"144","Fumana.ericifolia",7,26,4
"145","Fumana.laevipes",4,28,4
"146","Fumana.laevis",4,24,4
"147","Galium.aparine",34,23,4
"148","Gladiolus.illyricus",24,30,4
"149","Helianthemum.oelandicum.spp.italicum",17,29,4
"150","Helichrysum.stoechas",2,25,4
"151","Hypericum.perforatum",4,15,4
"152","Leuzea.conifera",22,10,4
"153","Linum.stricticum",11,10,4
"154","Muscari.neglectum",16,15,4
"155","Ononis.minutissima",35,34,4
"156","Orobanche.latisquama",12,17,4
"157","Phlomis.lychnitis",19,16,4
"158","Potentilla.sp.",1,13,4
"159","Psoralera.bituminosa",1,17,4
"160","Ranunculus.gramineus",26,13,4
"161","Rosmarinus.officinalis",67,24,4
"162","Scorpiurus.muricatus",23,25,4
"163","Sedum.sediforme",11,21,4
"164","Sideritis.hirsuta",22,14,4
"165","Teucrium.chamaedrys",35,24,4
"166","Thesium.divaricatum",3,14,4
"167","Thymus.vulgaris",70,33,4
"168","Viccia.cracca",3,12,4
"169","Allium.sphaerocephalon",31,19,5
"170","Anagallis.arvensis",22,15,5
"171","Aphyllanthes.monspeliensis",6,37,5
"172","Argyrolobium.zanonii",3,27,5
"173","Biscutella.laevigata",63,34,5
"174","Centaurea.linifolia.",43,33,5
"175","Centaurea.montana.ssp..semidecurrens",32,13,5
"176","Cistus.albidus",66,23,5
"177","Cistus.monspeliensis",8,16,5
"178","Cistus.salviifolius",64,21,5
"179","Convolvulus.lanuginosus",32,16,5
"180","Dorycnium.hirsutum",33,21,5
"181","Dorycnium.pentaphyllum",27,32,5
"182","Echium.vulgare",9,12,5
"183","Erica.multiflora",1,17,5
"184","Euphorbia.characias",7,20,5
"185","Euphorbia.flavicoma",47,35,5
"186","Fumana.ericifolia",7,24,5
"187","Fumana.laevipes",4,25,5
"188","Fumana.laevis",4,23,5
"189","Galium.aparine",34,26,5
"190","Gladiolus.illyricus",24,34,5
"191","Helianthemum.oelandicum.spp.italicum",17,28,5
"192","Helichrysum.stoechas",2,17,5
"193","Hypericum.perforatum",4,9,5
"194","Leuzea.conifera",22,19,5
"195","Linum.stricticum",11,5,5
"196","Muscari.neglectum",16,20,5
"197","Ononis.minutissima",35,28,5
"198","Orobanche.latisquama",12,18,5
"199","Phlomis.lychnitis",19,18,5
"200","Potentilla.sp.",1,9,5
"201","Psoralera.bituminosa",1,10,5
"202","Ranunculus.gramineus",26,17,5
"203","Rosmarinus.officinalis",67,39,5
"204","Scorpiurus.muricatus",23,27,5
"205","Sedum.sediforme",11,20,5
"206","Sideritis.hirsuta",22,12,5
"207","Teucrium.chamaedrys",35,21,5
"208","Thesium.divaricatum",3,20,5
"209","Thymus.vulgaris",70,31,5
"210","Viccia.cracca",3,17,5
"211","Allium.sphaerocephalon",31,22,6
"212","Anagallis.arvensis",22,25,6
"213","Aphyllanthes.monspeliensis",6,35,6
"214","Argyrolobium.zanonii",3,27,6
"215","Biscutella.laevigata",63,31,6
"216","Centaurea.linifolia.",43,33,6
"217","Centaurea.montana.ssp..semidecurrens",32,11,6
"218","Cistus.albidus",66,25,6
"219","Cistus.monspeliensis",8,16,6
"220","Cistus.salviifolius",64,23,6
"221","Convolvulus.lanuginosus",32,25,6
"222","Dorycnium.hirsutum",33,19,6
"223","Dorycnium.pentaphyllum",27,34,6
"224","Echium.vulgare",9,6,6
"225","Erica.multiflora",1,14,6
"226","Euphorbia.characias",7,22,6
"227","Euphorbia.flavicoma",47,28,6
"228","Fumana.ericifolia",7,26,6
"229","Fumana.laevipes",4,25,6
"230","Fumana.laevis",4,21,6
"231","Galium.aparine",34,23,6
"232","Gladiolus.illyricus",24,28,6
"233","Helianthemum.oelandicum.spp.italicum",17,34,6
"234","Helichrysum.stoechas",2,20,6
"235","Hypericum.perforatum",4,15,6
"236","Leuzea.conifera",22,18,6
"237","Linum.stricticum",11,12,6
"238","Muscari.neglectum",16,15,6
"239","Ononis.minutissima",35,35,6
"240","Orobanche.latisquama",12,11,6
"241","Phlomis.lychnitis",19,8,6
"242","Potentilla.sp.",1,10,6
"243","Psoralera.bituminosa",1,16,6
"244","Ranunculus.gramineus",26,14,6
"245","Rosmarinus.officinalis",67,36,6
"246","Scorpiurus.muricatus",23,18,6
"247","Sedum.sediforme",11,21,6
"248","Sideritis.hirsuta",22,9,6
"249","Teucrium.chamaedrys",35,20,6
"250","Thesium.divaricatum",3,14,6
"251","Thymus.vulgaris",70,34,6
"252","Viccia.cracca",3,14,6
"253","Allium.sphaerocephalon",31,22,7
"254","Anagallis.arvensis",22,24,7
"255","Aphyllanthes.monspeliensis",6,30,7
"256","Argyrolobium.zanonii",3,26,7
"257","Biscutella.laevigata",63,33,7
"258","Centaurea.linifolia.",43,39,7
"259","Centaurea.montana.ssp..semidecurrens",32,9,7
"260","Cistus.albidus",66,21,7
"261","Cistus.monspeliensis",8,14,7
"262","Cistus.salviifolius",64,35,7
"263","Convolvulus.lanuginosus",32,23,7
"264","Dorycnium.hirsutum",33,18,7
"265","Dorycnium.pentaphyllum",27,30,7
"266","Echium.vulgare",9,10,7
"267","Erica.multiflora",1,14,7
"268","Euphorbia.characias",7,26,7
"269","Euphorbia.flavicoma",47,35,7
"270","Fumana.ericifolia",7,26,7
"271","Fumana.laevipes",4,29,7
"272","Fumana.laevis",4,35,7
"273","Galium.aparine",34,23,7
"274","Gladiolus.illyricus",24,29,7
"275","Helianthemum.oelandicum.spp.italicum",17,24,7
"276","Helichrysum.stoechas",2,20,7
"277","Hypericum.perforatum",4,15,7
"278","Leuzea.conifera",22,17,7
"279","Linum.stricticum",11,12,7
"280","Muscari.neglectum",16,24,7
"281","Ononis.minutissima",35,24,7
"282","Orobanche.latisquama",12,16,7
"283","Phlomis.lychnitis",19,12,7
"284","Potentilla.sp.",1,7,7
"285","Psoralera.bituminosa",1,12,7
"286","Ranunculus.gramineus",26,17,7
"287","Rosmarinus.officinalis",67,44,7
"288","Scorpiurus.muricatus",23,25,7
"289","Sedum.sediforme",11,12,7
"290","Sideritis.hirsuta",22,11,7
"291","Teucrium.chamaedrys",35,24,7
"292","Thesium.divaricatum",3,19,7
"293","Thymus.vulgaris",70,32,7
"294","Viccia.cracca",3,15,7
"295","Allium.sphaerocephalon",31,17,8
"296","Anagallis.arvensis",22,21,8
"297","Aphyllanthes.monspeliensis",6,33,8
"298","Argyrolobium.zanonii",3,28,8
"299","Biscutella.laevigata",63,30,8
"300","Centaurea.linifolia.",43,21,8
"301","Centaurea.montana.ssp..semidecurrens",32,12,8
"302","Cistus.albidus",66,28,8
"303","Cistus.monspeliensis",8,16,8
"304","Cistus.salviifolius",64,13,8
"305","Convolvulus.lanuginosus",32,24,8
"306","Dorycnium.hirsutum",33,14,8
"307","Dorycnium.pentaphyllum",27,35,8
"308","Echium.vulgare",9,9,8
"309","Erica.multiflora",1,15,8
"310","Euphorbia.characias",7,22,8
"311","Euphorbia.flavicoma",47,29,8
"312","Fumana.ericifolia",7,20,8
"313","Fumana.laevipes",4,36,8
"314","Fumana.laevis",4,28,8
"315","Galium.aparine",34,18,8
"316","Gladiolus.illyricus",24,34,8
"317","Helianthemum.oelandicum.spp.italicum",17,28,8
"318","Helichrysum.stoechas",2,23,8
"319","Hypericum.perforatum",4,15,8
"320","Leuzea.conifera",22,15,8
"321","Linum.stricticum",11,13,8
"322","Muscari.neglectum",16,19,8
"323","Ononis.minutissima",35,21,8
"324","Orobanche.latisquama",12,14,8
"325","Phlomis.lychnitis",19,10,8
"326","Potentilla.sp.",1,6,8
"327","Psoralera.bituminosa",1,9,8
"328","Ranunculus.gramineus",26,16,8
"329","Rosmarinus.officinalis",67,32,8
"330","Scorpiurus.muricatus",23,24,8
"331","Sedum.sediforme",11,18,8
"332","Sideritis.hirsuta",22,16,8
"333","Teucrium.chamaedrys",35,12,8
"334","Thesium.divaricatum",3,14,8
"335","Thymus.vulgaris",70,37,8
"336","Viccia.cracca",3,19,8
"337","Allium.sphaerocephalon",31,18,9
"338","Anagallis.arvensis",22,24,9
"339","Aphyllanthes.monspeliensis",6,38,9
"340","Argyrolobium.zanonii",3,30,9
"341","Biscutella.laevigata",63,32,9
"342","Centaurea.linifolia.",43,34,9
"343","Centaurea.montana.ssp..semidecurrens",32,17,9
"344","Cistus.albidus",66,28,9
"345","Cistus.monspeliensis",8,19,9
"346","Cistus.salviifolius",64,25,9
"347","Convolvulus.lanuginosus",32,17,9
"348","Dorycnium.hirsutum",33,16,9
"349","Dorycnium.pentaphyllum",27,29,9
"350","Echium.vulgare",9,14,9
"351","Erica.multiflora",1,15,9
"352","Euphorbia.characias",7,16,9
"353","Euphorbia.flavicoma",47,22,9
"354","Fumana.ericifolia",7,22,9
"355","Fumana.laevipes",4,31,9
"356","Fumana.laevis",4,19,9
"357","Galium.aparine",34,32,9
"358","Gladiolus.illyricus",24,26,9
"359","Helianthemum.oelandicum.spp.italicum",17,23,9
"360","Helichrysum.stoechas",2,18,9
"361","Hypericum.perforatum",4,15,9
"362","Leuzea.conifera",22,23,9
