"","species","interactions","outdegree","rep"
"1","Plant-Ain",2,5,1
"2","Plant-Ama",4,10,1
"3","Plant-Ata",1,4,1
"4","Plant-Aza",8,15,1
"5","Plant-Bra",11,13,1
"6","Plant-Cal",47,20,1
"7","Plant-Cem",2,4,1
"8","Plant-Cer",4,7,1
"9","Plant-Cmo",17,14,1
"10","Plant-Cmon",1,10,1
"11","Plant-Csa",111,61,1
"12","Plant-Csc",46,21,1
"13","Plant-Dpe",2,13,1
"14","Plant-Eam",6,1,1
"15","Plant-Ech",42,28,1
"16","Plant-Ecy",27,15,1
"17","Plant-Ese",2,9,1
"18","Plant-Evu",3,8,1
"19","Plant-Fve",2,10,1
"20","Plant-Gal",2,6,1
"21","Plant-Ger",14,24,1
"22","Plant-Gtr",6,20,1
"23","Plant-Hgu",1,7,1
"24","Plant-Hie",4,4,1
"25","Plant-Lat",2,6,1
"26","Plant-Lco",13,18,1
"27","Plant-Lin",1,14,1
"28","Plant-Lina",3,11,1
"29","Plant-Lob",2,11,1
"30","Plant-Lst",64,31,1
"31","Plant-Lta",10,8,1
"32","Plant-Lvu",13,10,1
"33","Plant-Pbi",9,21,1
"34","Plant-Pgr",3,1,1
"35","Plant-Rbu",21,15,1
"36","Plant-Sen",4,4,1
"37","Plant-Sho",9,9,1
"38","Plant-Sin",3,15,1
"39","Plant-Soc",21,17,1
"40","Plant-Son",16,20,1
"41","Plant-Svu",2,11,1
"42","Plant-Tar",2,5,1
"43","Plant-Tof",14,9,1
"44","Plant-Tpr",1,13,1
"45","Plant-TvuF",53,26,1
"46","Plant-TvuHF",54,29,1
"47","Plant-Upa",3,10,1
"48","Plant-Vcr",10,4,1
"49","Plant-Vic",1,8,1
"50","Plant-Vpu",8,17,1
"51","Plant-Ain",2,8,2
"52","Plant-Ama",4,7,2
"53","Plant-Ata",1,9,2
"54","Plant-Aza",8,15,2
"55","Plant-Bra",11,14,2
"56","Plant-Cal",47,27,2
"57","Plant-Cem",2,4,2
"58","Plant-Cer",4,5,2
"59","Plant-Cmo",17,16,2
"60","Plant-Cmon",1,10,2
"61","Plant-Csa",111,56,2
"62","Plant-Csc",46,28,2
"63","Plant-Dpe",2,4,2
"64","Plant-Eam",6,4,2
"65","Plant-Ech",42,30,2
"66","Plant-Ecy",27,18,2
"67","Plant-Ese",2,6,2
"68","Plant-Evu",3,7,2
"69","Plant-Fve",2,14,2
"70","Plant-Gal",2,4,2
"71","Plant-Ger",14,26,2
"72","Plant-Gtr",6,13,2
"73","Plant-Hgu",1,2,2
"74","Plant-Hie",4,7,2
"75","Plant-Lat",2,8,2
"76","Plant-Lco",13,21,2
"77","Plant-Lin",1,13,2
"78","Plant-Lina",3,9,2
"79","Plant-Lob",2,8,2
"80","Plant-Lst",64,31,2
"81","Plant-Lta",10,8,2
"82","Plant-Lvu",13,13,2
"83","Plant-Pbi",9,27,2
"84","Plant-Pgr",3,5,2
"85","Plant-Rbu",21,25,2
"86","Plant-Sen",4,6,2
"87","Plant-Sho",9,7,2
"88","Plant-Sin",3,14,2
"89","Plant-Soc",21,21,2
"90","Plant-Son",16,15,2
"91","Plant-Svu",2,15,2
"92","Plant-Tar",2,4,2
"93","Plant-Tof",14,24,2
"94","Plant-Tpr",1,14,2
"95","Plant-TvuF",53,25,2
"96","Plant-TvuHF",54,30,2
"97","Plant-Upa",3,5,2
"98","Plant-Vcr",10,9,2
"99","Plant-Vic",1,11,2
"100","Plant-Vpu",8,12,2
"101","Plant-Ain",2,14,3
"102","Plant-Ama",4,9,3
"103","Plant-Ata",1,5,3
"104","Plant-Aza",8,17,3
"105","Plant-Bra",11,13,3
"106","Plant-Cal",47,23,3
"107","Plant-Cem",2,3,3
"108","Plant-Cer",4,5,3
"109","Plant-Cmo",17,15,3
"110","Plant-Cmon",1,8,3
"111","Plant-Csa",111,51,3
"112","Plant-Csc",46,23,3
"113","Plant-Dpe",2,10,3
"114","Plant-Eam",6,7,3
"115","Plant-Ech",42,26,3
"116","Plant-Ecy",27,14,3
"117","Plant-Ese",2,7,3
"118","Plant-Evu",3,10,3
"119","Plant-Fve",2,9,3
"120","Plant-Gal",2,10,3
"121","Plant-Ger",14,18,3
"122","Plant-Gtr",6,8,3
"123","Plant-Hgu",1,5,3
"124","Plant-Hie",4,9,3
"125","Plant-Lat",2,5,3
"126","Plant-Lco",13,21,3
"127","Plant-Lin",1,15,3
"128","Plant-Lina",3,7,3
"129","Plant-Lob",2,13,3
"130","Plant-Lst",64,35,3
"131","Plant-Lta",10,4,3
"132","Plant-Lvu",13,15,3
"133","Plant-Pbi",9,22,3
"134","Plant-Pgr",3,6,3
"135","Plant-Rbu",21,25,3
"136","Plant-Sen",4,6,3
"137","Plant-Sho",9,11,3
"138","Plant-Sin",3,15,3
"139","Plant-Soc",21,18,3
"140","Plant-Son",16,17,3
"141","Plant-Svu",2,13,3
"142","Plant-Tar",2,6,3
"143","Plant-Tof",14,15,3
"144","Plant-Tpr",1,9,3
"145","Plant-TvuF",53,24,3
"146","Plant-TvuHF",54,35,3
"147","Plant-Upa",3,7,3
"148","Plant-Vcr",10,8,3
"149","Plant-Vic",1,7,3
"150","Plant-Vpu",8,11,3
"151","Plant-Ain",2,10,4
"152","Plant-Ama",4,10,4
"153","Plant-Ata",1,6,4
"154","Plant-Aza",8,18,4
"155","Plant-Bra",11,14,4
"156","Plant-Cal",47,25,4
"157","Plant-Cem",2,5,4
"158","Plant-Cer",4,8,4
"159","Plant-Cmo",17,16,4
"160","Plant-Cmon",1,11,4
"161","Plant-Csa",111,53,4
"162","Plant-Csc",46,29,4
"163","Plant-Dpe",2,5,4
"164","Plant-Eam",6,3,4
"165","Plant-Ech",42,31,4
"166","Plant-Ecy",27,14,4
"167","Plant-Ese",2,7,4
"168","Plant-Evu",3,6,4
"169","Plant-Fve",2,16,4
"170","Plant-Gal",2,11,4
"171","Plant-Ger",14,19,4
"172","Plant-Gtr",6,12,4
"173","Plant-Hgu",1,5,4
"174","Plant-Hie",4,2,4
"175","Plant-Lat",2,5,4
"176","Plant-Lco",13,13,4
"177","Plant-Lin",1,13,4
"178","Plant-Lina",3,9,4
"179","Plant-Lob",2,11,4
"180","Plant-Lst",64,34,4
"181","Plant-Lta",10,4,4
"182","Plant-Lvu",13,8,4
"183","Plant-Pbi",9,20,4
"184","Plant-Pgr",3,7,4
"185","Plant-Rbu",21,22,4
"186","Plant-Sen",4,8,4
"187","Plant-Sho",9,10,4
"188","Plant-Sin",3,19,4
"189","Plant-Soc",21,18,4
"190","Plant-Son",16,17,4
"191","Plant-Svu",2,15,4
"192","Plant-Tar",2,10,4
"193","Plant-Tof",14,22,4
"194","Plant-Tpr",1,10,4
"195","Plant-TvuF",53,36,4
"196","Plant-TvuHF",54,28,4
"197","Plant-Upa",3,8,4
"198","Plant-Vcr",10,8,4
"199","Plant-Vic",1,11,4
"200","Plant-Vpu",8,9,4
"201","Plant-Ain",2,6,5
"202","Plant-Ama",4,7,5
"203","Plant-Ata",1,10,5
"204","Plant-Aza",8,19,5
"205","Plant-Bra",11,13,5
"206","Plant-Cal",47,28,5
"207","Plant-Cem",2,5,5
"208","Plant-Cer",4,3,5
"209","Plant-Cmo",17,15,5
"210","Plant-Cmon",1,6,5
"211","Plant-Csa",111,44,5
"212","Plant-Csc",46,35,5
"213","Plant-Dpe",2,8,5
"214","Plant-Eam",6,10,5
"215","Plant-Ech",42,30,5
"216","Plant-Ecy",27,14,5
"217","Plant-Ese",2,13,5
"218","Plant-Evu",3,8,5
"219","Plant-Fve",2,9,5
"220","Plant-Gal",2,6,5
"221","Plant-Ger",14,24,5
"222","Plant-Gtr",6,16,5
"223","Plant-Hgu",1,2,5
"224","Plant-Hie",4,3,5
"225","Plant-Lat",2,10,5
"226","Plant-Lco",13,18,5
"227","Plant-Lin",1,19,5
"228","Plant-Lina",3,7,5
"229","Plant-Lob",2,5,5
"230","Plant-Lst",64,39,5
"231","Plant-Lta",10,6,5
"232","Plant-Lvu",13,11,5
"233","Plant-Pbi",9,20,5
"234","Plant-Pgr",3,6,5
"235","Plant-Rbu",21,20,5
"236","Plant-Sen",4,5,5
"237","Plant-Sho",9,15,5
"238","Plant-Sin",3,17,5
"239","Plant-Soc",21,25,5
"240","Plant-Son",16,19,5
"241","Plant-Svu",2,17,5
"242","Plant-Tar",2,14,5
"243","Plant-Tof",14,18,5
"244","Plant-Tpr",1,16,5
"245","Plant-TvuF",53,20,5
"246","Plant-TvuHF",54,32,5
"247","Plant-Upa",3,6,5
"248","Plant-Vcr",10,10,5
"249","Plant-Vic",1,9,5
"250","Plant-Vpu",8,13,5
"251","Plant-Ain",2,15,6
"252","Plant-Ama",4,8,6
"253","Plant-Ata",1,5,6
"254","Plant-Aza",8,11,6
"255","Plant-Bra",11,12,6
"256","Plant-Cal",47,32,6
"257","Plant-Cem",2,5,6
"258","Plant-Cer",4,4,6
"259","Plant-Cmo",17,15,6
"260","Plant-Cmon",1,6,6
"261","Plant-Csa",111,50,6
"262","Plant-Csc",46,28,6
"263","Plant-Dpe",2,9,6
"264","Plant-Eam",6,7,6
"265","Plant-Ech",42,32,6
"266","Plant-Ecy",27,20,6
"267","Plant-Ese",2,12,6
"268","Plant-Evu",3,4,6
"269","Plant-Fve",2,3,6
"270","Plant-Gal",2,9,6
"271","Plant-Ger",14,25,6
"272","Plant-Gtr",6,8,6
"273","Plant-Hgu",1,2,6
"274","Plant-Hie",4,6,6
"275","Plant-Lat",2,7,6
"276","Plant-Lco",13,26,6
"277","Plant-Lin",1,10,6
"278","Plant-Lina",3,5,6
"279","Plant-Lob",2,11,6
"280","Plant-Lst",64,28,6
"281","Plant-Lta",10,10,6
"282","Plant-Lvu",13,10,6
"283","Plant-Pbi",9,19,6
"284","Plant-Pgr",3,5,6
"285","Plant-Rbu",21,29,6
"286","Plant-Sen",4,3,6
"287","Plant-Sho",9,13,6
"288","Plant-Sin",3,21,6
"289","Plant-Soc",21,21,6
"290","Plant-Son",16,20,6
"291","Plant-Svu",2,21,6
"292","Plant-Tar",2,5,6
"293","Plant-Tof",14,15,6
"294","Plant-Tpr",1,13,6
"295","Plant-TvuF",53,32,6
"296","Plant-TvuHF",54,29,6
"297","Plant-Upa",3,14,6
"298","Plant-Vcr",10,11,6
"299","Plant-Vic",1,8,6
"300","Plant-Vpu",8,15,6
"301","Plant-Ain",2,13,7
"302","Plant-Ama",4,10,7
"303","Plant-Ata",1,5,7
"304","Plant-Aza",8,22,7
"305","Plant-Bra",11,13,7
"306","Plant-Cal",47,20,7
"307","Plant-Cem",2,2,7
"308","Plant-Cer",4,4,7
"309","Plant-Cmo",17,12,7
"310","Plant-Cmon",1,10,7
"311","Plant-Csa",111,51,7
"312","Plant-Csc",46,26,7
"313","Plant-Dpe",2,12,7
"314","Plant-Eam",6,9,7
"315","Plant-Ech",42,34,7
"316","Plant-Ecy",27,7,7
"317","Plant-Ese",2,10,7
"318","Plant-Evu",3,10,7
"319","Plant-Fve",2,6,7
"320","Plant-Gal",2,10,7
"321","Plant-Ger",14,16,7
"322","Plant-Gtr",6,5,7
"323","Plant-Hgu",1,6,7
"324","Plant-Hie",4,5,7
"325","Plant-Lat",2,8,7
"326","Plant-Lco",13,19,7
"327","Plant-Lin",1,10,7
"328","Plant-Lina",3,8,7
"329","Plant-Lob",2,12,7
"330","Plant-Lst",64,29,7
"331","Plant-Lta",10,7,7
"332","Plant-Lvu",13,8,7
"333","Plant-Pbi",9,26,7
"334","Plant-Pgr",3,4,7
"335","Plant-Rbu",21,16,7
"336","Plant-Sen",4,7,7
"337","Plant-Sho",9,15,7
"338","Plant-Sin",3,9,7
"339","Plant-Soc",21,16,7
"340","Plant-Son",16,18,7
"341","Plant-Svu",2,15,7
"342","Plant-Tar",2,12,7
"343","Plant-Tof",14,15,7
"344","Plant-Tpr",1,15,7
"345","Plant-TvuF",53,39,7
"346","Plant-TvuHF",54,26,7
"347","Plant-Upa",3,11,7
"348","Plant-Vcr",10,7,7
"349","Plant-Vic",1,11,7
"350","Plant-Vpu",8,17,7
"351","Plant-Ain",2,7,8
"352","Plant-Ama",4,9,8
"353","Plant-Ata",1,5,8
"354","Plant-Aza",8,16,8
"355","Plant-Bra",11,5,8
"356","Plant-Cal",47,25,8
"357","Plant-Cem",2,4,8
"358","Plant-Cer",4,5,8
"359","Plant-Cmo",17,19,8
"360","Plant-Cmon",1,6,8
"361","Plant-Csa",111,53,8
"362","Plant-Csc",46,22,8
"363","Plant-Dpe",2,9,8
"364","Plant-Eam",6,7,8
"365","Plant-Ech",42,31,8
"366","Plant-Ecy",27,15,8
"367","Plant-Ese",2,12,8
"368","Plant-Evu",3,8,8
"369","Plant-Fve",2,11,8
"370","Plant-Gal",2,8,8
"371","Plant-Ger",14,23,8
"372","Plant-Gtr",6,11,8
"373","Plant-Hgu",1,5,8
"374","Plant-Hie",4,3,8
"375","Plant-Lat",2,5,8
"376","Plant-Lco",13,24,8
"377","Plant-Lin",1,8,8
"378","Plant-Lina",3,9,8
"379","Plant-Lob",2,8,8
"380","Plant-Lst",64,25,8
"381","Plant-Lta",10,9,8
"382","Plant-Lvu",13,5,8
"383","Plant-Pbi",9,17,8
"384","Plant-Pgr",3,11,8
"385","Plant-Rbu",21,26,8
"386","Plant-Sen",4,9,8
"387","Plant-Sho",9,11,8
"388","Plant-Sin",3,16,8
"389","Plant-Soc",21,17,8
"390","Plant-Son",16,15,8
"391","Plant-Svu",2,11,8
"392","Plant-Tar",2,12,8
"393","Plant-Tof",14,17,8
"394","Plant-Tpr",1,13,8
"395","Plant-TvuF",53,26,8
"396","Plant-TvuHF",54,29,8
"397","Plant-Upa",3,10,8
"398","Plant-Vcr",10,11,8
"399","Plant-Vic",1,7,8
"400","Plant-Vpu",8,12,8
"401","Plant-Ain",2,10,9
"402","Plant-Ama",4,5,9
"403","Plant-Ata",1,3,9
"404","Plant-Aza",8,19,9
"405","Plant-Bra",11,13,9
"406","Plant-Cal",47,25,9
"407","Plant-Cem",2,1,9
"408","Plant-Cer",4,6,9
"409","Plant-Cmo",17,15,9
"410","Plant-Cmon",1,6,9
"411","Plant-Csa",111,61,9
"412","Plant-Csc",46,31,9
"413","Plant-Dpe",2,6,9
"414","Plant-Eam",6,6,9
