"","species","trophic_level","sites"
"36","Ancistrocerus longispinosus","resource",23
"59","Heriades crenulatus","resource",9
"68","Hoplitis adunca","resource",11
"79","Megachile apicalis","resource",10
"89","Megachile rotundata","resource",18
"107","Osmia caerulescens","resource",19
"126","Osmia nasoproducta","resource",1
"127","Osmia tricornis","resource",5
"132","Passaloecus gracilis","resource",16
"148","Psenulus fuscipennis","resource",6
"154","Trypoxylon sp.1","resource",6
"171","Nitela_fallax","resource",1
"172","Osmia bicornis","resource",3
"175","Osmia sp1","resource",1
"182","Nitela sp1","resource",5
"187","Osmia submicans","resource",14
"201","Ampulex ruficollis","resource",10
"211","Nitela sp.1","resource",3
"214","Osmia latreillei","resource",1
"223","Solierella compedita","resource",7
"230","Solierella sp1","resource",1
"234","Anthidium florentinum","resource",2
"236","Chelostoma sp","resource",1
"250","Megachile ericetorum","resource",2
"254","Auplopus carbonaria","resource",3
"257","Trypoxylon sp2","resource",1
"258","Passaloecus pictus","resource",2
"261","Chelostoma edentulum ","resource",4
"265","Dipogon sp.1","resource",2
"267","Hylaeus hyalinatus","resource",1
"268","Hylaeus taeniolatus","resource",1
"269","Trypoxylon sp1","resource",6
"284","Auplopus carbonarius","resource",2
"286","Eumeninae sp2","resource",1
"287","Eumeninae sp3","resource",1
"288","Euodynerus sp1","resource",1
"293","Diodontus sp.1","resource",2
"295","Dipogon sp1","resource",1
"296","Dipogon sp2","resource",4
"311","Nitela truncata","resource",3
"315","Dipogon sp.2","resource",1
"316","Pison atrum","resource",3
"321","Dipogon sp.3","resource",1
"322","Pompilidae sp.1","resource",1
"323","Eumeninae sp.1","resource",1
"324","Isodontia mexicana","resource",1
"327","Anthidium nigricolle","resource",1
"330","Nitela fallax","resource",2
