"","species","trophic_level","sites"
"185","CAL","resource",3
"188","ROF","resource",39
"227","TVUF","resource",40
"267","TVUH","resource",36
"341","EFL","resource",14
"372","EMU","resource",1
"429","CSA","resource",10
"490","CSP","resource",4
"526","BLA","resource",4
"530","FAB","resource",1
"531","HOE","resource",12
"561","RGR","resource",1
"568","PRUNUS","resource",1
"586","ECH","resource",4
"590","OLA","resource",7
"609","UMBE","resource",1
"622","FLA","resource",5
"664","AMO","resource",2
"670","POT","resource",1
"690","LIN","resource",1
"724","DPE","resource",1
"739","ESE","resource",1
"740","SHI","resource",1
"746","AZA","resource",1
