"","species","trophic_level","sites"
"922","Aphyllanthes.monspeliensis","resource",16
"938","Cistus.albidus","resource",4
"942","Cistus.salviifolius","resource",9
"951","Euphorbia.flavicoma","resource",10
"961","Fumana.laevipes","resource",7
"968","Gladiolus.illyricus","resource",14
"982","Rosmarinus.officinalis","resource",21
"1003","Thymus.vulgaris","resource",19
"1097","Argyrolobium.zanonii","resource",8
"1105","Biscutella.laevigata","resource",12
"1117","Centaurea.linifolia.","resource",5
"1122","Euphorbia.characias","resource",4
"1126","Ononis.minutissima","resource",11
"1137","Viccia.cracca","resource",1
"1167","Sideritis.hirsuta","resource",1
"1201","Allium.sphaerocephalon","resource",2
"1203","Anagallis.arvensis","resource",4
"1207","Convolvulus.lanuginosus","resource",2
"1209","Fumana.laevis","resource",6
"1215","Scorpiurus.muricatus","resource",3
"1218","Sedum.sediforme","resource",3
"1235","Dorycnium.pentaphyllum","resource",13
"1248","Helianthemum.oelandicum.spp.italicum","resource",8
"1256","Thesium.divaricatum","resource",2
"1271","Cistus.monspeliensis","resource",2
"1273","Composta.groga.","resource",1
"1274","Dorycnium.hirsutum","resource",2
"1276","Muscari.neglectum","resource",3
"1288","Fumana.ericifolia","resource",8
"1296","Galium.aparine","resource",5
"1301","Helichrysum.stoechas","resource",3
"1304","Teucrium.chamaedrys","resource",5
"1318","Ranunculus.gramineus","resource",1
"1324","Leuzea.conifera","resource",1
"1339","Hypericum.perforatum","resource",1
"1344","Cytisophyllum.sessilifolium","resource",1
"1347","Phlomis.lychnitis","resource",1
"1355","Centaurea.montana.ssp..semidecurrens","resource",1
"1356","Erica.multiflora","resource",2
"1358","Psoralera.bituminosa","resource",1
"1362","Polygala.rupestris","resource",1
"1365","Echium.vulgare","resource",1
"1366","Linum.stricticum","resource",1
"1367","Potentilla.sp.","resource",1
"1369","Aristolochia.pistolochia","resource",1
"1370","Orobanche.latisquama","resource",1
