"","species","trophic_level","sites"
"399","Plant-Csa","resource",18
"417","Plant-Cal","resource",9
"426","Plant-Ecy","resource",2
"428","Plant-Csc","resource",11
"439","Plant-Upa","resource",2
"539","Plant-Lst","resource",14
"553","Plant-TvuF","resource",13
"566","Plant-TvuHF","resource",11
"577","Plant-Ech","resource",10
"587","Plant-Lta","resource",1
"588","Plant-Bra","resource",2
"653","Plant-Aza","resource",4
"657","Plant-Gtr","resource",2
"659","Plant-Tar","resource",1
"660","Plant-Soc","resource",5
"665","Plant-Ger","resource",5
"670","Plant-Rbu","resource",6
"676","Plant-Ata","resource",1
"677","Plant-Gal","resource",1
"678","Plant-Lina","resource",1
"718","Plant-Tpr","resource",2
"720","Plant-Son","resource",4
"724","Plant-Sho","resource",2
"756","Plant-Cem","resource",1
"757","Plant-Lco","resource",4
"761","Plant-Lvu","resource",2
"763","Plant-Hie","resource",1
"764","Plant-Pgr","resource",1
"765","Plant-Fve","resource",2
"798","Plant-Eam","resource",1
"799","Plant-Ama","resource",2
"814","Plant-Lat","resource",1
"815","Plant-Sen","resource",1
"816","Plant-Tof","resource",3
"819","Plant-Cer","resource",1
"820","Plant-Hgu","resource",1
"845","Plant-Ese","resource",1
"846","Plant-Vcr","resource",1
"847","Plant-Vic","resource",1
"848","Plant-Ain","resource",1
"849","Plant-Svu","resource",2
"851","Plant-Cmon","resource",1
"884","Plant-Pbi","resource",4
"888","Plant-Sin","resource",2
"890","Plant-Vpu","resource",1
"921","Plant-Cmo","resource",2
"923","Plant-Lin","resource",1
"933","Plant-Dpe","resource",1
"934","Plant-Evu","resource",1
"935","Plant-Lob","resource",1
