"","species","trophic_level","sites"
"59","Ch. emarginata","resource",2
"61","Ch. florisomnis","resource",3
"64","Heriades truncorum","resource",4
"68","Hy. communis","resource",9
"77","M. apicalis","resource",1
"78","Microdynerus timidus","resource",3
"81","O. caerulescens","resource",11
"92","O. cornuta","resource",10
"102","O. rufa","resource",12
"114","O. submicans","resource",7
"121","Passaloecus spp","resource",8
"129","Psenulus fuscipennis","resource",13
"142","Trypoxylon figulus (suma 2)","resource",2
"144","Trypoxylon spp (clavicerum+minus)","resource",11
"179","E. posticus","resource",12
"191","Hoplitis adunca","resource",3
"194","Hy. taeniolatus","resource",8
"202","Trypoxylon figulus","resource",4
"242","Ch. campanularum","resource",1
"243","M. rotundata","resource",5
"248","Microdynerus nugdunensis","resource",1
"249","Pison atrum","resource",2
"255","M. centicularis","resource",2
"257","Trypoxylon figulus(suma2)","resource",4
"261","A. florentinum","resource",2
"264","Alastor","resource",1
"265","I. mexicana","resource",2
"267","Trypoxylon figulus (suma2)","resource",1
"268","Trypoxylon spp (clav+min)(suma2)","resource",1
"275","O. fulviventris","resource",2
"277","Passaloecus spp (suma2)","resource",2
"281","Discoelius zonalis","resource",1
"282","Soleriella","resource",1
"283","Hy. signatus","resource",1
"285","H. truncorum","resource",1
"286","Hy. Communis","resource",1
"287","Hy. Taenoliatus","resource",1
"288","M. timidus","resource",1
"289","P. fuscipennis","resource",1
