"","species","interactions","indegree","rep"
"1","Adela_aldrovandella",5,6,1
"2","Anaspis",5,2,1
"3","Andrena_angustior_impressa",2,5,1
"4","Andrena_djelfensis",8,5,1
"5","Andrena_fulva",1,1,1
"6","Andrena_lepida",2,2,1
"7","Andrena_limata",2,2,1
"8","Andrena_nana",4,3,1
"9","Andrena_nigroaenea",4,5,1
"10","Andrena_vulpecula",1,2,1
"11","Anthaxia",3,1,1
"12","Anthophora_acervorum",4,4,1
"13","Anthophora_dispar",2,7,1
"14","Anthrenus_1",3,2,1
"15","Anthrenus_2",2,1,1
"16","Anthrenus_3",1,3,1
"17","Apis",11,10,1
"18","Aplocnemus_calidus",1,1,1
"19","Attalus_pictus",1,1,1
"20","Bibio_sp",1,4,1
"21","Bombus_pascuorum",1,2,1
"22","Bombus_terrestris",1,2,1
"23","Bombylius_cruciatus",1,1,1
"24","Bombylius_discolor",2,3,1
"25","Bombylius_sp_1",1,1,1
"26","Braconidae",1,1,1
"27","Bruchid_2",1,1,1
"28","Bruchidius_1",1,1,1
"29","Bruchidius_2",1,1,1
"30","Butterfly",1,1,1
"31","Calliphoridae_3",2,1,1
"32","Callophrys_rubi",1,1,1
"33","Ceratina_cyanea",3,3,1
"34","Chalcididae_1",1,1,1
"35","Chalcididae_3",2,1,1
"36","Chalcididae_4",1,1,1
"37","Chalcididae_5",1,1,1
"38","Chalcididae_6",1,1,1
"39","Chamaesyrphus",6,4,1
"40","Chrysotoxum_cautum",5,4,1
"41","Chrysotoxum_intermedium",1,1,1
"42","Chrysura_dichroa",1,1,1
"43","Clanoptilus_abdominalis",4,2,1
"44","Clytra_quadripunctata",1,1,1
"45","Coleòpter_vermell_gruixut",1,1,1
"46","Coleoptera_3",1,1,1
"47","Conophorus",1,1,1
"48","Conòpid_llarg_vermell",1,1,1
"49","Cryptocephalus_ramburi",1,1,1
"50","Danacea_longiceps",1,1,1
"51","Dasytes_nigroaeneus",6,5,1
"52","Diodontus",1,1,1
"53","Dipter_2",1,1,1
"54","Dipter_blanc",1,1,1
"55","Dipter_elipse_1",1,1,1
"56","Dipter_gran_1",1,1,1
"57","Dipter_molt_llarg._mes_que_apis._ales_fosques._grisos",1,1,1
"58","Empididae",5,7,1
"59","Empididae_2",2,4,1
"60","Epysirphus_balteatus",1,1,1
"61","Eristalinus_aeneus",1,1,1
"62","Eristalis_tenax",1,1,1
"63","Escarabat_2",1,1,1
"64","Escarabat_petit_1",1,2,1
"65","Escarabat_rodonet_com_una_marieta_però_blau",1,1,1
"66","Eucera_nigrilabris",1,1,1
"67","Eumenes_coarctatus",1,1,1
"68","Euodynerus_bidentoides",2,1,1
"69","Eurydema_oleracea",1,1,1
"70","Fals_conòpid",3,1,1
"71","Gasteruption_1",1,1,1
"72","Gonopteryx_cleopatra",1,1,1
