"","species","interactions","outdegree","rep"
"1","Ampulex ruficollis",1,8,1
"2","Ancistrocerus longispinosus",15,12,1
"3","Anthidium nigricolle",1,2,1
"4","Auplopus carbonaria",2,1,1
"5","Chelostoma edentulum ",2,2,1
"6","Diodontus sp.1",1,3,1
"7","Heriades crenulatus",3,3,1
"8","Hoplitis adunca",3,2,1
"9","Hylaeus taeniolatus",1,1,1
"10","Megachile apicalis",5,2,1
"11","Megachile ericetorum",1,0,1
"12","Megachile rotundata",8,5,1
"13","Nitela fallax",1,1,1
"14","Nitela sp.1",2,0,1
"15","Nitela sp1",1,1,1
"16","Nitela_fallax",1,2,1
"17","Osmia bicornis",3,0,1
"18","Osmia caerulescens",10,8,1
"19","Osmia nasoproducta",1,0,1
"20","Osmia submicans",8,5,1
"21","Osmia tricornis",2,2,1
"22","Passaloecus gracilis",5,4,1
"23","Psenulus fuscipennis",3,4,1
"24","Solierella compedita",3,3,1
"25","Solierella sp1",1,1,1
"26","Trypoxylon sp.1",4,1,1
"27","Trypoxylon sp1",2,2,1
"28","Ampulex ruficollis",1,5,2
"29","Ancistrocerus longispinosus",15,17,2
"30","Anthidium nigricolle",1,0,2
"31","Auplopus carbonaria",2,0,2
"32","Chelostoma edentulum ",2,2,2
"33","Diodontus sp.1",1,0,2
"34","Heriades crenulatus",3,3,2
"35","Hoplitis adunca",3,1,2
"36","Hylaeus taeniolatus",1,0,2
"37","Megachile apicalis",5,4,2
"38","Megachile ericetorum",1,0,2
"39","Megachile rotundata",8,4,2
"40","Nitela fallax",1,1,2
"41","Nitela sp.1",2,1,2
"42","Nitela sp1",1,3,2
"43","Nitela_fallax",1,0,2
"44","Osmia bicornis",3,1,2
"45","Osmia caerulescens",10,4,2
"46","Osmia nasoproducta",1,0,2
"47","Osmia submicans",8,4,2
"48","Osmia tricornis",2,3,2
"49","Passaloecus gracilis",5,8,2
"50","Psenulus fuscipennis",3,0,2
"51","Solierella compedita",3,3,2
"52","Solierella sp1",1,0,2
"53","Trypoxylon sp.1",4,1,2
"54","Trypoxylon sp1",2,1,2
"55","Ampulex ruficollis",1,4,3
"56","Ancistrocerus longispinosus",15,18,3
"57","Anthidium nigricolle",1,0,3
"58","Auplopus carbonaria",2,3,3
"59","Chelostoma edentulum ",2,0,3
"60","Diodontus sp.1",1,2,3
"61","Heriades crenulatus",3,1,3
"62","Hoplitis adunca",3,8,3
"63","Hylaeus taeniolatus",1,0,3
"64","Megachile apicalis",5,4,3
"65","Megachile ericetorum",1,1,3
"66","Megachile rotundata",8,5,3
"67","Nitela fallax",1,0,3
"68","Nitela sp.1",2,1,3
"69","Nitela sp1",1,4,3
"70","Nitela_fallax",1,0,3
"71","Osmia bicornis",3,0,3
"72","Osmia caerulescens",10,3,3
"73","Osmia nasoproducta",1,0,3
"74","Osmia submicans",8,3,3
"75","Osmia tricornis",2,3,3
"76","Passaloecus gracilis",5,3,3
"77","Psenulus fuscipennis",3,5,3
"78","Solierella compedita",3,3,3
"79","Solierella sp1",1,0,3
