"","species","interactions","outdegree","rep"
"1","AMO",5,11,1
"2","AZA",1,5,1
"3","BLA",6,5,1
"4","CAL",7,5,1
"5","CSA",18,7,1
"6","CSP",4,63,1
"7","DPE",2,5,1
"8","ECH",7,10,1
"9","EFL",32,20,1
"10","EMU",1,2,1
"11","ESE",3,5,1
"12","FAB",1,2,1
"13","FLA",7,12,1
"14","HOE",23,14,1
"15","LIN",1,1,1
"16","OLA",4,12,1
"17","POT",1,2,1
"18","PRUNUS",2,4,1
"19","RGR",2,2,1
"20","ROF",79,49,1
"21","SHI",1,1,1
"22","TVUF",62,44,1
"23","TVUH",55,34,1
"24","UMBE",1,3,1
"25","AMO",5,6,2
"26","AZA",1,3,2
"27","BLA",6,13,2
"28","CAL",7,8,2
"29","CSA",18,10,2
"30","CSP",4,61,2
"31","DPE",2,1,2
"32","ECH",7,5,2
"33","EFL",32,25,2
"34","EMU",1,2,2
"35","ESE",3,3,2
"36","FAB",1,4,2
"37","FLA",7,6,2
"38","HOE",23,21,2
"39","LIN",1,0,2
"40","OLA",4,10,2
"41","POT",1,0,2
"42","PRUNUS",2,1,2
"43","RGR",2,2,2
"44","ROF",79,37,2
"45","SHI",1,2,2
"46","TVUF",62,56,2
"47","TVUH",55,39,2
"48","UMBE",1,4,2
"49","AMO",5,3,3
"50","AZA",1,0,3
"51","BLA",6,4,3
"52","CAL",7,2,3
"53","CSA",18,14,3
"54","CSP",4,56,3
"55","DPE",2,1,3
"56","ECH",7,8,3
"57","EFL",32,22,3
"58","EMU",1,2,3
"59","ESE",3,3,3
"60","FAB",1,1,3
"61","FLA",7,5,3
"62","HOE",23,17,3
"63","LIN",1,1,3
"64","OLA",4,11,3
"65","POT",1,2,3
"66","PRUNUS",2,1,3
"67","RGR",2,2,3
"68","ROF",79,47,3
"69","SHI",1,1,3
"70","TVUF",62,43,3
"71","TVUH",55,40,3
"72","UMBE",1,0,3
"73","AMO",5,7,4
"74","AZA",1,5,4
"75","BLA",6,7,4
"76","CAL",7,5,4
"77","CSA",18,20,4
"78","CSP",4,63,4
"79","DPE",2,1,4
"80","ECH",7,4,4
"81","EFL",32,20,4
"82","EMU",1,1,4
"83","ESE",3,3,4
"84","FAB",1,4,4
"85","FLA",7,6,4
"86","HOE",23,16,4
"87","LIN",1,0,4
"88","OLA",4,9,4
"89","POT",1,2,4
"90","PRUNUS",2,2,4
"91","RGR",2,0,4
"92","ROF",79,51,4
"93","SHI",1,1,4
"94","TVUF",62,37,4
"95","TVUH",55,37,4
"96","UMBE",1,2,4
"97","AMO",5,2,5
"98","AZA",1,6,5
"99","BLA",6,10,5
"100","CAL",7,4,5
"101","CSA",18,16,5
"102","CSP",4,60,5
"103","DPE",2,2,5
"104","ECH",7,2,5
"105","EFL",32,19,5
"106","EMU",1,1,5
"107","ESE",3,2,5
"108","FAB",1,0,5
"109","FLA",7,8,5
"110","HOE",23,10,5
"111","LIN",1,2,5
"112","OLA",4,14,5
"113","POT",1,2,5
"114","PRUNUS",2,0,5
"115","RGR",2,2,5
"116","ROF",79,45,5
"117","SHI",1,4,5
"118","TVUF",62,40,5
"119","TVUH",55,32,5
"120","UMBE",1,0,5
"121","AMO",5,5,6
"122","AZA",1,3,6
"123","BLA",6,5,6
"124","CAL",7,4,6
"125","CSA",18,15,6
"126","CSP",4,66,6
"127","DPE",2,5,6
"128","ECH",7,5,6
"129","EFL",32,25,6
"130","EMU",1,0,6
"131","ESE",3,3,6
"132","FAB",1,3,6
"133","FLA",7,9,6
"134","HOE",23,21,6
"135","LIN",1,1,6
"136","OLA",4,14,6
"137","POT",1,1,6
"138","PRUNUS",2,1,6
"139","RGR",2,2,6
"140","ROF",79,43,6
"141","SHI",1,2,6
"142","TVUF",62,34,6
"143","TVUH",55,36,6
"144","UMBE",1,2,6
"145","AMO",5,4,7
"146","AZA",1,4,7
"147","BLA",6,6,7
"148","CAL",7,8,7
"149","CSA",18,14,7
"150","CSP",4,54,7
"151","DPE",2,1,7
"152","ECH",7,6,7
"153","EFL",32,20,7
"154","EMU",1,2,7
"155","ESE",3,4,7
"156","FAB",1,2,7
"157","FLA",7,9,7
"158","HOE",23,24,7
"159","LIN",1,1,7
"160","OLA",4,12,7
"161","POT",1,3,7
"162","PRUNUS",2,0,7
"163","RGR",2,0,7
"164","ROF",79,47,7
"165","SHI",1,3,7
"166","TVUF",62,44,7
"167","TVUH",55,37,7
"168","UMBE",1,0,7
"169","AMO",5,3,8
"170","AZA",1,1,8
"171","BLA",6,6,8
"172","CAL",7,3,8
"173","CSA",18,14,8
"174","CSP",4,74,8
"175","DPE",2,4,8
"176","ECH",7,8,8
"177","EFL",32,17,8
"178","EMU",1,0,8
"179","ESE",3,3,8
"180","FAB",1,3,8
"181","FLA",7,8,8
"182","HOE",23,19,8
"183","LIN",1,1,8
"184","OLA",4,7,8
"185","POT",1,0,8
"186","PRUNUS",2,1,8
"187","RGR",2,0,8
"188","ROF",79,41,8
"189","SHI",1,4,8
"190","TVUF",62,48,8
"191","TVUH",55,30,8
"192","UMBE",1,1,8
"193","AMO",5,7,9
"194","AZA",1,2,9
"195","BLA",6,3,9
"196","CAL",7,4,9
"197","CSA",18,8,9
"198","CSP",4,60,9
"199","DPE",2,3,9
"200","ECH",7,6,9
"201","EFL",32,22,9
"202","EMU",1,0,9
"203","ESE",3,5,9
"204","FAB",1,2,9
"205","FLA",7,3,9
"206","HOE",23,21,9
"207","LIN",1,2,9
"208","OLA",4,9,9
"209","POT",1,5,9
"210","PRUNUS",2,0,9
"211","RGR",2,1,9
"212","ROF",79,43,9
"213","SHI",1,3,9
"214","TVUF",62,42,9
"215","TVUH",55,42,9
"216","UMBE",1,2,9
"217","AMO",5,4,10
"218","AZA",1,2,10
"219","BLA",6,8,10
"220","CAL",7,5,10
"221","CSA",18,12,10
"222","CSP",4,62,10
"223","DPE",2,1,10
"224","ECH",7,6,10
"225","EFL",32,22,10
"226","EMU",1,1,10
"227","ESE",3,3,10
"228","FAB",1,3,10
"229","FLA",7,10,10
"230","HOE",23,15,10
"231","LIN",1,1,10
"232","OLA",4,11,10
"233","POT",1,1,10
"234","PRUNUS",2,0,10
"235","RGR",2,3,10
"236","ROF",79,51,10
"237","SHI",1,1,10
"238","TVUF",62,40,10
"239","TVUH",55,34,10
"240","UMBE",1,1,10
"241","AMO",5,5,11
"242","AZA",1,2,11
"243","BLA",6,5,11
"244","CAL",7,3,11
"245","CSA",18,12,11
"246","CSP",4,69,11
"247","DPE",2,4,11
"248","ECH",7,4,11
"249","EFL",32,18,11
"250","EMU",1,0,11
"251","ESE",3,1,11
"252","FAB",1,7,11
"253","FLA",7,3,11
"254","HOE",23,17,11
"255","LIN",1,0,11
"256","OLA",4,15,11
"257","POT",1,2,11
"258","PRUNUS",2,2,11
"259","RGR",2,1,11
"260","ROF",79,39,11
"261","SHI",1,1,11
"262","TVUF",62,39,11
"263","TVUH",55,27,11
"264","UMBE",1,2,11
"265","AMO",5,6,12
"266","AZA",1,6,12
"267","BLA",6,9,12
"268","CAL",7,6,12
"269","CSA",18,18,12
"270","CSP",4,51,12
"271","DPE",2,2,12
"272","ECH",7,5,12
"273","EFL",32,16,12
"274","EMU",1,0,12
"275","ESE",3,5,12
"276","FAB",1,2,12
"277","FLA",7,7,12
"278","HOE",23,22,12
"279","LIN",1,0,12
"280","OLA",4,17,12
"281","POT",1,2,12
"282","PRUNUS",2,2,12
"283","RGR",2,2,12
"284","ROF",79,50,12
"285","SHI",1,3,12
"286","TVUF",62,37,12
"287","TVUH",55,36,12
"288","UMBE",1,0,12
"289","AMO",5,5,13
"290","AZA",1,1,13
"291","BLA",6,10,13
"292","CAL",7,6,13
"293","CSA",18,12,13
"294","CSP",4,70,13
"295","DPE",2,3,13
"296","ECH",7,4,13
"297","EFL",32,15,13
"298","EMU",1,5,13
"299","ESE",3,0,13
"300","FAB",1,1,13
"301","FLA",7,11,13
"302","HOE",23,12,13
"303","LIN",1,0,13
"304","OLA",4,9,13
"305","POT",1,3,13
"306","PRUNUS",2,0,13
"307","RGR",2,2,13
"308","ROF",79,46,13
"309","SHI",1,2,13
"310","TVUF",62,40,13
"311","TVUH",55,37,13
"312","UMBE",1,5,13
"313","AMO",5,1,14
"314","AZA",1,1,14
"315","BLA",6,8,14
"316","CAL",7,7,14
"317","CSA",18,15,14
"318","CSP",4,63,14
"319","DPE",2,2,14
"320","ECH",7,8,14
"321","EFL",32,21,14
"322","EMU",1,1,14
"323","ESE",3,3,14
"324","FAB",1,1,14
"325","FLA",7,8,14
"326","HOE",23,19,14
"327","LIN",1,3,14
"328","OLA",4,11,14
"329","POT",1,2,14
"330","PRUNUS",2,0,14
"331","RGR",2,5,14
"332","ROF",79,38,14
"333","SHI",1,2,14
"334","TVUF",62,50,14
"335","TVUH",55,37,14
"336","UMBE",1,1,14
"337","AMO",5,3,15
"338","AZA",1,1,15
"339","BLA",6,11,15
"340","CAL",7,2,15
"341","CSA",18,13,15
"342","CSP",4,63,15
"343","DPE",2,2,15
"344","ECH",7,9,15
"345","EFL",32,20,15
"346","EMU",1,0,15
"347","ESE",3,2,15
"348","FAB",1,2,15
"349","FLA",7,7,15
"350","HOE",23,29,15
"351","LIN",1,0,15
"352","OLA",4,11,15
"353","POT",1,3,15
"354","PRUNUS",2,0,15
"355","RGR",2,2,15
"356","ROF",79,39,15
"357","SHI",1,4,15
"358","TVUF",62,47,15
"359","TVUH",55,36,15
"360","UMBE",1,1,15
"361","AMO",5,5,16
"362","AZA",1,2,16
"363","BLA",6,1,16
"364","CAL",7,4,16
"365","CSA",18,21,16
"366","CSP",4,76,16
"367","DPE",2,5,16
"368","ECH",7,8,16
"369","EFL",32,16,16
"370","EMU",1,4,16
"371","ESE",3,4,16
"372","FAB",1,2,16
"373","FLA",7,4,16
"374","HOE",23,17,16
"375","LIN",1,1,16
"376","OLA",4,11,16
"377","POT",1,2,16
"378","PRUNUS",2,2,16
"379","RGR",2,4,16
"380","ROF",79,45,16
"381","SHI",1,1,16
"382","TVUF",62,43,16
"383","TVUH",55,42,16
"384","UMBE",1,1,16
"385","AMO",5,7,17
"386","AZA",1,1,17
"387","BLA",6,9,17
"388","CAL",7,7,17
