"","species","interactions","outdegree","rep"
"1","Allium.sphaerocephalon",31,14,1
"2","Anagallis.arvensis",22,18,1
"3","Aphyllanthes.monspeliensis",6,63,1
"4","Argyrolobium.zanonii",3,36,1
"5","Biscutella.laevigata",63,54,1
"6","Centaurea.linifolia.",43,24,1
"7","Centaurea.montana.ssp..semidecurrens",32,4,1
"8","Cistus.albidus",66,25,1
"9","Cistus.monspeliensis",8,7,1
"10","Cistus.salviifolius",64,41,1
"11","Convolvulus.lanuginosus",32,7,1
"12","Dorycnium.hirsutum",33,6,1
"13","Dorycnium.pentaphyllum",27,51,1
"14","Echium.vulgare",9,7,1
"15","Erica.multiflora",1,15,1
"16","Euphorbia.characias",7,21,1
"17","Euphorbia.flavicoma",47,48,1
"18","Fumana.ericifolia",7,36,1
"19","Fumana.laevipes",4,27,1
"20","Fumana.laevis",4,27,1
"21","Galium.aparine",34,31,1
"22","Gladiolus.illyricus",24,61,1
"23","Helianthemum.oelandicum.spp.italicum",17,38,1
"24","Helichrysum.stoechas",2,7,1
"25","Hypericum.perforatum",4,5,1
"26","Leuzea.conifera",22,6,1
"27","Linum.stricticum",11,1,1
"28","Muscari.neglectum",16,13,1
"29","Ononis.minutissima",35,42,1
"30","Orobanche.latisquama",12,2,1
"31","Phlomis.lychnitis",19,3,1
"32","Potentilla.sp.",1,6,1
"33","Psoralera.bituminosa",1,5,1
"34","Ranunculus.gramineus",26,5,1
"35","Rosmarinus.officinalis",67,67,1
"36","Scorpiurus.muricatus",23,23,1
"37","Sedum.sediforme",11,12,1
"38","Sideritis.hirsuta",22,4,1
"39","Teucrium.chamaedrys",35,23,1
"40","Thesium.divaricatum",3,7,1
"41","Thymus.vulgaris",70,66,1
"42","Viccia.cracca",3,6,1
"43","Allium.sphaerocephalon",31,8,2
"44","Anagallis.arvensis",22,19,2
"45","Aphyllanthes.monspeliensis",6,64,2
"46","Argyrolobium.zanonii",3,22,2
"47","Biscutella.laevigata",63,46,2
"48","Centaurea.linifolia.",43,24,2
"49","Centaurea.montana.ssp..semidecurrens",32,4,2
"50","Cistus.albidus",66,22,2
"51","Cistus.monspeliensis",8,10,2
"52","Cistus.salviifolius",64,39,2
"53","Convolvulus.lanuginosus",32,9,2
