"","species","interactions","outdegree","rep"
"1","Ch. campanularum",1,2,1
"2","Ch. emarginata",2,1,1
"3","Ch. florisomnis",2,2,1
"4","E. posticus",8,9,1
"5","H. truncorum",1,1,1
"6","Heriades truncorum",1,1,1
"7","Hoplitis adunca",1,1,1
"8","Hy. communis",2,5,1
"9","Hy. Communis",1,2,1
"10","Hy. taeniolatus",3,5,1
"11","Hy. Taenoliatus",1,0,1
"12","M. apicalis",2,0,1
"13","M. centicularis",2,0,1
"14","M. rotundata",3,2,1
"15","M. timidus",1,0,1
"16","Microdynerus nugdunensis",1,2,1
"17","Microdynerus timidus",1,0,1
"18","O. caerulescens",6,3,1
"19","O. cornuta",7,9,1
"20","O. rufa",9,4,1
"21","O. submicans",5,6,1
"22","Passaloecus spp",4,7,1
"23","Passaloecus spp (suma2)",4,0,1
"24","Pison atrum",1,1,1
"25","Psenulus fuscipennis",5,5,1
"26","Trypoxylon figulus",3,4,1
"27","Trypoxylon figulus (suma 2)",5,2,1
"28","Trypoxylon figulus (suma2)",3,1,1
"29","Trypoxylon figulus(suma2)",2,5,1
"30","Trypoxylon spp (clav+min)(suma2)",1,1,1
"31","Trypoxylon spp (clavicerum+minus)",5,8,1
"32","Ch. campanularum",1,3,2
"33","Ch. emarginata",2,2,2
"34","Ch. florisomnis",2,1,2
"35","E. posticus",8,8,2
"36","H. truncorum",1,1,2
"37","Heriades truncorum",1,5,2
"38","Hoplitis adunca",1,1,2
"39","Hy. communis",2,7,2
"40","Hy. Communis",1,0,2
"41","Hy. taeniolatus",3,4,2
"42","Hy. Taenoliatus",1,1,2
"43","M. apicalis",2,1,2
"44","M. centicularis",2,0,2
"45","M. rotundata",3,5,2
"46","M. timidus",1,0,2
"47","Microdynerus nugdunensis",1,0,2
"48","Microdynerus timidus",1,1,2
"49","O. caerulescens",6,8,2
"50","O. cornuta",7,9,2
"51","O. rufa",9,5,2
"52","O. submicans",5,6,2
"53","Passaloecus spp",4,4,2
"54","Passaloecus spp (suma2)",4,2,2
"55","Pison atrum",1,0,2
"56","Psenulus fuscipennis",5,6,2
"57","Trypoxylon figulus",3,5,2
"58","Trypoxylon figulus (suma 2)",5,1,2
"59","Trypoxylon figulus (suma2)",3,0,2
"60","Trypoxylon figulus(suma2)",2,2,2
"61","Trypoxylon spp (clav+min)(suma2)",1,1,2
"62","Trypoxylon spp (clavicerum+minus)",5,6,2
"63","Ch. campanularum",1,1,3
"64","Ch. emarginata",2,1,3
"65","Ch. florisomnis",2,1,3
"66","E. posticus",8,9,3
"67","H. truncorum",1,1,3
"68","Heriades truncorum",1,4,3
"69","Hoplitis adunca",1,1,3
"70","Hy. communis",2,7,3
"71","Hy. Communis",1,0,3
"72","Hy. taeniolatus",3,3,3
"73","Hy. Taenoliatus",1,0,3
"74","M. apicalis",2,1,3
"75","M. centicularis",2,1,3
"76","M. rotundata",3,1,3
"77","M. timidus",1,1,3
"78","Microdynerus nugdunensis",1,0,3
"79","Microdynerus timidus",1,2,3
"80","O. caerulescens",6,4,3
"81","O. cornuta",7,8,3
"82","O. rufa",9,5,3
"83","O. submicans",5,4,3
"84","Passaloecus spp",4,2,3
"85","Passaloecus spp (suma2)",4,1,3
"86","Pison atrum",1,3,3
"87","Psenulus fuscipennis",5,7,3
"88","Trypoxylon figulus",3,2,3
"89","Trypoxylon figulus (suma 2)",5,2,3
"90","Trypoxylon figulus (suma2)",3,2,3
"91","Trypoxylon figulus(suma2)",2,4,3
"92","Trypoxylon spp (clav+min)(suma2)",1,1,3
"93","Trypoxylon spp (clavicerum+minus)",5,8,3
"94","Ch. campanularum",1,0,4
"95","Ch. emarginata",2,0,4
"96","Ch. florisomnis",2,2,4
"97","E. posticus",8,8,4
"98","H. truncorum",1,0,4
"99","Heriades truncorum",1,4,4
"100","Hoplitis adunca",1,3,4
"101","Hy. communis",2,5,4
"102","Hy. Communis",1,2,4
"103","Hy. taeniolatus",3,5,4
"104","Hy. Taenoliatus",1,1,4
"105","M. apicalis",2,0,4
"106","M. centicularis",2,0,4
"107","M. rotundata",3,4,4
"108","M. timidus",1,1,4
"109","Microdynerus nugdunensis",1,2,4
"110","Microdynerus timidus",1,3,4
"111","O. caerulescens",6,7,4
"112","O. cornuta",7,4,4
"113","O. rufa",9,10,4
"114","O. submicans",5,3,4
"115","Passaloecus spp",4,4,4
"116","Passaloecus spp (suma2)",4,2,4
"117","Pison atrum",1,2,4
"118","Psenulus fuscipennis",5,6,4
"119","Trypoxylon figulus",3,2,4
"120","Trypoxylon figulus (suma 2)",5,1,4
"121","Trypoxylon figulus (suma2)",3,1,4
"122","Trypoxylon figulus(suma2)",2,1,4
"123","Trypoxylon spp (clav+min)(suma2)",1,0,4
"124","Trypoxylon spp (clavicerum+minus)",5,5,4
"125","Ch. campanularum",1,1,5
"126","Ch. emarginata",2,0,5
"127","Ch. florisomnis",2,1,5
"128","E. posticus",8,7,5
"129","H. truncorum",1,0,5
"130","Heriades truncorum",1,3,5
"131","Hoplitis adunca",1,1,5
"132","Hy. communis",2,4,5
"133","Hy. Communis",1,1,5
"134","Hy. taeniolatus",3,6,5
"135","Hy. Taenoliatus",1,0,5
"136","M. apicalis",2,0,5
"137","M. centicularis",2,1,5
"138","M. rotundata",3,2,5
"139","M. timidus",1,0,5
"140","Microdynerus nugdunensis",1,0,5
"141","Microdynerus timidus",1,0,5
"142","O. caerulescens",6,8,5
"143","O. cornuta",7,12,5
"144","O. rufa",9,6,5
"145","O. submicans",5,5,5
"146","Passaloecus spp",4,4,5
"147","Passaloecus spp (suma2)",4,1,5
"148","Pison atrum",1,2,5
"149","Psenulus fuscipennis",5,7,5
"150","Trypoxylon figulus",3,3,5
"151","Trypoxylon figulus (suma 2)",5,3,5
"152","Trypoxylon figulus (suma2)",3,1,5
"153","Trypoxylon figulus(suma2)",2,1,5
"154","Trypoxylon spp (clav+min)(suma2)",1,0,5
"155","Trypoxylon spp (clavicerum+minus)",5,10,5
"156","Ch. campanularum",1,1,6
"157","Ch. emarginata",2,3,6
"158","Ch. florisomnis",2,1,6
"159","E. posticus",8,8,6
"160","H. truncorum",1,1,6
"161","Heriades truncorum",1,1,6
"162","Hoplitis adunca",1,3,6
"163","Hy. communis",2,2,6
"164","Hy. Communis",1,0,6
"165","Hy. taeniolatus",3,2,6
"166","Hy. Taenoliatus",1,3,6
"167","M. apicalis",2,1,6
"168","M. centicularis",2,3,6
"169","M. rotundata",3,3,6
"170","M. timidus",1,2,6
"171","Microdynerus nugdunensis",1,0,6
"172","Microdynerus timidus",1,0,6
"173","O. caerulescens",6,6,6
"174","O. cornuta",7,5,6
"175","O. rufa",9,6,6
"176","O. submicans",5,3,6
"177","Passaloecus spp",4,1,6
"178","Passaloecus spp (suma2)",4,1,6
"179","Pison atrum",1,1,6
"180","Psenulus fuscipennis",5,8,6
"181","Trypoxylon figulus",3,2,6
"182","Trypoxylon figulus (suma 2)",5,1,6
"183","Trypoxylon figulus (suma2)",3,0,6
"184","Trypoxylon figulus(suma2)",2,2,6
"185","Trypoxylon spp (clav+min)(suma2)",1,1,6
"186","Trypoxylon spp (clavicerum+minus)",5,8,6
"187","Ch. campanularum",1,1,7
"188","Ch. emarginata",2,1,7
"189","Ch. florisomnis",2,2,7
"190","E. posticus",8,4,7
"191","H. truncorum",1,0,7
"192","Heriades truncorum",1,1,7
"193","Hoplitis adunca",1,4,7
"194","Hy. communis",2,4,7
"195","Hy. Communis",1,0,7
"196","Hy. taeniolatus",3,2,7
"197","Hy. Taenoliatus",1,2,7
"198","M. apicalis",2,0,7
"199","M. centicularis",2,1,7
"200","M. rotundata",3,4,7
"201","M. timidus",1,0,7
"202","Microdynerus nugdunensis",1,1,7
"203","Microdynerus timidus",1,0,7
"204","O. caerulescens",6,3,7
"205","O. cornuta",7,6,7
"206","O. rufa",9,4,7
"207","O. submicans",5,5,7
"208","Passaloecus spp",4,4,7
"209","Passaloecus spp (suma2)",4,0,7
"210","Pison atrum",1,3,7
"211","Psenulus fuscipennis",5,6,7
"212","Trypoxylon figulus",3,3,7
"213","Trypoxylon figulus (suma 2)",5,2,7
"214","Trypoxylon figulus (suma2)",3,0,7
"215","Trypoxylon figulus(suma2)",2,4,7
"216","Trypoxylon spp (clav+min)(suma2)",1,0,7
"217","Trypoxylon spp (clavicerum+minus)",5,3,7
"218","Ch. campanularum",1,2,8
"219","Ch. emarginata",2,1,8
"220","Ch. florisomnis",2,0,8
"221","E. posticus",8,4,8
"222","H. truncorum",1,2,8
"223","Heriades truncorum",1,1,8
"224","Hoplitis adunca",1,2,8
"225","Hy. communis",2,5,8
"226","Hy. Communis",1,0,8
"227","Hy. taeniolatus",3,3,8
"228","Hy. Taenoliatus",1,1,8
"229","M. apicalis",2,0,8
"230","M. centicularis",2,1,8
"231","M. rotundata",3,1,8
"232","M. timidus",1,2,8
"233","Microdynerus nugdunensis",1,0,8
"234","Microdynerus timidus",1,0,8
"235","O. caerulescens",6,4,8
"236","O. cornuta",7,6,8
"237","O. rufa",9,9,8
"238","O. submicans",5,3,8
"239","Passaloecus spp",4,5,8
"240","Passaloecus spp (suma2)",4,1,8
"241","Pison atrum",1,3,8
"242","Psenulus fuscipennis",5,6,8
"243","Trypoxylon figulus",3,0,8
"244","Trypoxylon figulus (suma 2)",5,2,8
"245","Trypoxylon figulus (suma2)",3,1,8
"246","Trypoxylon figulus(suma2)",2,3,8
"247","Trypoxylon spp (clav+min)(suma2)",1,1,8
"248","Trypoxylon spp (clavicerum+minus)",5,6,8
"249","Ch. campanularum",1,3,9
"250","Ch. emarginata",2,0,9
"251","Ch. florisomnis",2,1,9
"252","E. posticus",8,6,9
"253","H. truncorum",1,0,9
"254","Heriades truncorum",1,2,9
