"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability"
"Anthrax.anthrax","Osmia.leaiana",1,1,1
"Cacoxenus.indagator","Osmia.rufa",20,20,1
"Chrysis.fulgida","Eumenidae.spec",1,1,1
"Chrysis.ignita.agg.","Ancistrocerus.antilope",2,4,0.5
"Chrysis.ignita.agg.","Ancistrocerus.gazella",4,4,1
"Chrysis.ignita.agg.","Ancistrocerus.nigricornis",17,19,0.894736842105263
"Chrysis.ignita.agg.","Ancistrocerus.trifasciatus",11,12,0.916666666666667
"Chrysis.ignita.agg.","Chelostoma.campanularum",1,2,0.5
"Chrysis.ignita.agg.","Eumenidae.spec",26,28,0.928571428571429
"Chrysis.ignita.agg.","Euodynerus.quadrifasciatus",1,2,0.5
"Chrysis.ignita.agg.","Hylaeus.communis",2,7,0.285714285714286
"Chrysis.ignita.agg.","Osmia.rufa",2,21,0.0952380952380952
"Chrysis.ignita.agg.","Passaloecus.corniger",1,3,0.333333333333333
"Chrysis.ignita.agg.","Symmorphus.bifasciatus",2,2,1
"Chrysis.ignita.agg.","Symmorphus.gracilis",2,2,1
"Chrysis.ignita.agg.","Trypoxylon.clavicerum",1,16,0.0625
"Coelioxys.mandibularis","Megachile.spec",4,5,0.8
"Coelioxys.mandibularis","Megachile.versicolor",5,6,0.833333333333333
"Encyrtidae.spec","Hylaeus.spec",2,2,1
"Gasteruption.assector","Hylaeus.communis",2,5,0.4
"Gasteruption.assector","Hylaeus.spec",6,7,0.857142857142857
"Gasteruption.assector","Osmia.rufa",1,5,0.2
"Gasteruption.jaculator","Hylaeus.spec",1,1,1
"Gasteruption.spec","Hylaeus.communis",1,2,0.5
"Gasteruption.spec","Hylaeus.spec",3,3,1
"Ichneumonidae.spec","Eumenidae.spec",2,14,0.142857142857143
"Ichneumonidae.spec","Euodynerus.quadrifasciatus",1,1,1
"Ichneumonidae.spec","Megachile.versicolor",1,5,0.2
"Ichneumonidae.spec","Osmia.leaiana",1,4,0.25
"Ichneumonidae.spec","Osmia.rufa",2,10,0.2
"Ichneumonidae.spec","Osmia.spec",2,4,0.5
"Ichneumonidae.spec","Passaloecus.corniger",2,2,1
"Ichneumonidae.spec","Passaloecus.eremita",1,2,0.5
"Ichneumonidae.spec","Passaloecus.spec",4,8,0.5
"Ichneumonidae.spec","Psenulus.pallipes",1,1,1
"Ichneumonidae.spec","Trypoxylon.clavicerum",7,9,0.777777777777778
"Ichneumonidae.spec","Trypoxylon.spec",6,11,0.545454545454545
"Megatoma.spec","Ancistrocerus.antilope",1,3,0.333333333333333
"Megatoma.spec","Ancistrocerus.nigricornis",1,8,0.125
"Megatoma.spec","Ancistrocerus.trifasciatus",1,6,0.166666666666667
"Megatoma.spec","Chelostoma.rapunculi",1,1,1
"Megatoma.spec","Crossocerus.spec",1,2,0.5
"Megatoma.spec","Discoelius.zonalis",2,2,1
"Megatoma.spec","Eumenidae.spec",2,12,0.166666666666667
"Megatoma.spec","Heriades.truncorum",1,4,0.25
