"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Anthrax.anthrax","Osmia.leaiana",1,1,1,"empirical",NA
"Cacoxenus.indagator","Osmia.rufa",20,20,1,"empirical",NA
"Chrysis.fulgida","Eumenidae.spec",1,1,1,"empirical",NA
"Chrysis.ignita.agg.","Ancistrocerus.antilope",2,4,0.5,"empirical",NA
"Chrysis.ignita.agg.","Ancistrocerus.gazella",4,4,1,"empirical",NA
"Chrysis.ignita.agg.","Ancistrocerus.nigricornis",17,19,0.894736842105263,"empirical",NA
"Chrysis.ignita.agg.","Ancistrocerus.trifasciatus",11,12,0.916666666666667,"empirical",NA
"Chrysis.ignita.agg.","Chelostoma.campanularum",1,2,0.5,"empirical",NA
"Chrysis.ignita.agg.","Eumenidae.spec",26,28,0.928571428571429,"empirical",NA
"Chrysis.ignita.agg.","Euodynerus.quadrifasciatus",1,2,0.5,"empirical",NA
"Chrysis.ignita.agg.","Hylaeus.communis",2,7,0.285714285714286,"empirical",NA
"Chrysis.ignita.agg.","Osmia.rufa",2,21,0.0952380952380952,"empirical",NA
"Chrysis.ignita.agg.","Passaloecus.corniger",1,3,0.333333333333333,"empirical",NA
"Chrysis.ignita.agg.","Symmorphus.bifasciatus",2,2,1,"empirical",NA
"Chrysis.ignita.agg.","Symmorphus.gracilis",2,2,1,"empirical",NA
"Chrysis.ignita.agg.","Trypoxylon.clavicerum",1,16,0.0625,"empirical",NA
"Coelioxys.mandibularis","Megachile.spec",4,5,0.8,"empirical",NA
"Coelioxys.mandibularis","Megachile.versicolor",5,6,0.833333333333333,"empirical",NA
"Encyrtidae.spec","Hylaeus.spec",2,2,1,"empirical",NA
"Gasteruption.assector","Hylaeus.communis",2,5,0.4,"empirical",NA
"Gasteruption.assector","Hylaeus.spec",6,7,0.857142857142857,"empirical",NA
"Gasteruption.assector","Osmia.rufa",1,5,0.2,"empirical",NA
"Gasteruption.jaculator","Hylaeus.spec",1,1,1,"empirical",NA
"Gasteruption.spec","Hylaeus.communis",1,2,0.5,"empirical",NA
"Gasteruption.spec","Hylaeus.spec",3,3,1,"empirical",NA
"Ichneumonidae.spec","Eumenidae.spec",2,14,0.142857142857143,"empirical",NA
"Ichneumonidae.spec","Euodynerus.quadrifasciatus",1,1,1,"empirical",NA
"Ichneumonidae.spec","Megachile.versicolor",1,5,0.2,"empirical",NA
"Ichneumonidae.spec","Osmia.leaiana",1,4,0.25,"empirical",NA
"Ichneumonidae.spec","Osmia.rufa",2,10,0.2,"empirical",NA
"Ichneumonidae.spec","Osmia.spec",2,4,0.5,"empirical",NA
"Ichneumonidae.spec","Passaloecus.corniger",2,2,1,"empirical",NA
"Ichneumonidae.spec","Passaloecus.eremita",1,2,0.5,"empirical",NA
"Ichneumonidae.spec","Passaloecus.spec",4,8,0.5,"empirical",NA
"Ichneumonidae.spec","Psenulus.pallipes",1,1,1,"empirical",NA
"Ichneumonidae.spec","Trypoxylon.clavicerum",7,9,0.777777777777778,"empirical",NA
"Ichneumonidae.spec","Trypoxylon.spec",6,11,0.545454545454545,"empirical",NA
"Megatoma.spec","Ancistrocerus.antilope",1,3,0.333333333333333,"empirical",NA
"Megatoma.spec","Ancistrocerus.nigricornis",1,8,0.125,"empirical",NA
"Megatoma.spec","Ancistrocerus.trifasciatus",1,6,0.166666666666667,"empirical",NA
"Megatoma.spec","Chelostoma.rapunculi",1,1,1,"empirical",NA
"Megatoma.spec","Crossocerus.spec",1,2,0.5,"empirical",NA
"Megatoma.spec","Discoelius.zonalis",2,2,1,"empirical",NA
"Megatoma.spec","Eumenidae.spec",2,12,0.166666666666667,"empirical",NA
"Megatoma.spec","Heriades.truncorum",1,4,0.25,"empirical",NA
"Megatoma.spec","Megachile.spec",1,5,0.2,"empirical",NA
"Megatoma.spec","Osmia.leaiana",2,4,0.5,"empirical",NA
"Megatoma.spec","Osmia.rufa",5,8,0.625,"empirical",NA
"Megatoma.spec","Trypoxylon.clavicerum",1,6,0.166666666666667,"empirical",NA
"Megatoma.spec","Trypoxylon.spec",1,11,0.0909090909090909,"empirical",NA
"Melittobia.spec","Ancistrocerus.antilope",1,4,0.25,"empirical",NA
"Melittobia.spec","Ancistrocerus.gazella",1,4,0.25,"empirical",NA
"Melittobia.spec","Ancistrocerus.nigricornis",4,19,0.210526315789474,"empirical",NA
"Melittobia.spec","Chelostoma.campanularum",1,2,0.5,"empirical",NA
"Melittobia.spec","Chelostoma.florisomne",1,3,0.333333333333333,"empirical",NA
"Melittobia.spec","Chelostoma.rapunculi",1,2,0.5,"empirical",NA
"Melittobia.spec","Chelostoma.spec",4,4,1,"empirical",NA
"Melittobia.spec","Crossocerus.spec",3,4,0.75,"empirical",NA
"Melittobia.spec","Dipogon.subintermedius",4,7,0.571428571428571,"empirical",NA
"Melittobia.spec","Discoelius.zonalis",1,3,0.333333333333333,"empirical",NA
"Melittobia.spec","Eumenidae.spec",17,28,0.607142857142857,"empirical",NA
"Melittobia.spec","Hylaeus.spec",1,11,0.0909090909090909,"empirical",NA
"Melittobia.spec","Megachile.spec",7,11,0.636363636363636,"empirical",NA
"Melittobia.spec","Megachile.versicolor",3,8,0.375,"empirical",NA
"Melittobia.spec","Nitela.spinolae",7,7,1,"empirical",NA
"Melittobia.spec","Osmia.leaiana",3,6,0.5,"empirical",NA
"Melittobia.spec","Osmia.rufa",3,21,0.142857142857143,"empirical",NA
"Melittobia.spec","Osmia.spec",4,8,0.5,"empirical",NA
"Melittobia.spec","Passaloecus.spec",3,12,0.25,"empirical",NA
"Melittobia.spec","Pemphredon.lethifer",1,1,1,"empirical",NA
"Melittobia.spec","Psenulus.pallipes",1,3,0.333333333333333,"empirical",NA
"Melittobia.spec","Trypoxylon.clavicerum",2,15,0.133333333333333,"empirical",NA
"Melittobia.spec","Trypoxylon.figulus",1,1,1,"empirical",NA
"Melittobia.spec","Trypoxylon.spec",20,25,0.8,"empirical",NA
"Monodontomerus.spec","Osmia.rufa",7,7,1,"empirical",NA
"Omalus.aeneus","Hylaeus.spec",1,6,0.166666666666667,"empirical",NA
"Omalus.aeneus","Megachile.versicolor",1,3,0.333333333333333,"empirical",NA
"Omalus.aeneus","Passaloecus.corniger",1,1,1,"empirical",NA
"Omalus.aeneus","Passaloecus.eremita",3,3,1,"empirical",NA
"Omalus.aeneus","Passaloecus.insignis",1,1,1,"empirical",NA
"Omalus.aeneus","Passaloecus.spec",4,8,0.5,"empirical",NA
"Omalus.aeneus","Psenulus.pallipes",1,2,0.5,"empirical",NA
"Omalus.aeneus","Trypoxylon.spec",1,8,0.125,"empirical",NA
"Pseudomalus.auratus","Eumenidae.spec",1,10,0.1,"empirical",NA
"Pseudomalus.auratus","Heriades.truncorum",1,2,0.5,"empirical",NA
"Pseudomalus.auratus","Passaloecus.corniger",1,3,0.333333333333333,"empirical",NA
"Pseudomalus.auratus","Passaloecus.gracilis",1,1,1,"empirical",NA
"Pseudomalus.auratus","Passaloecus.spec",5,7,0.714285714285714,"empirical",NA
"Pseudomalus.auratus","Pemphredon.lugens",2,2,1,"empirical",NA
"Sapyga.clavicornis","Chelostoma.florisomne",3,3,1,"empirical",NA
"Sapyga.quinquepunctata","Osmia.leaiana",1,1,1,"empirical",NA
"Sapygina.decemguttata","Heriades.truncorum",4,4,1,"empirical",NA
"Trichrysis.cyanea","Ancistrocerus.nigricornis",1,15,0.0666666666666667,"empirical",NA
"Trichrysis.cyanea","Dipogon.subintermedius",5,7,0.714285714285714,"empirical",NA
"Trichrysis.cyanea","Eumenidae.spec",1,25,0.04,"empirical",NA
"Trichrysis.cyanea","Hylaeus.communis",1,4,0.25,"empirical",NA
"Trichrysis.cyanea","Megachile.versicolor",1,7,0.142857142857143,"empirical",NA
"Trichrysis.cyanea","Trypoxylon.clavicerum",15,15,1,"empirical",NA
