"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
1,102,1.27450980392157,1,2,6,0.813725490196078,0.412647196133355,0.25
2,103,1.22330097087379,1,2,4,0.825242718446602,0.367438557715091,0.25
3,96,1.26041666666667,1,2.25,4,0.802083333333333,0.362766555286389,0.25
4,114,1.30701754385965,1,2,5,0.745614035087719,0.380760509609703,0.267857142857143
5,91,1.24175824175824,1,2,4,0.813186813186813,0.39022986620731,0.25
6,101,1.20792079207921,1,2,4,0.841584158415842,0.321955513220495,0.25
7,113,1.25663716814159,1,2.39999999999999,5,0.814159292035398,0.368937401653298,0.25
8,90,1.23333333333333,1,2.55,4,0.833333333333333,0.348172372776862,0.2
9,101,1.18811881188119,1,2,3,0.841584158415842,0.330849658827006,0.2
10,115,1.30434782608696,1,2,4,0.756521739130435,0.392489259263792,0.333333333333333
11,101,1.25742574257426,1,3,4,0.821782178217822,0.381394255524624,0.25
12,97,1.16494845360825,1,2,4,0.896907216494845,0.349576373767909,0.25
13,103,1.23300970873786,1,2,3,0.796116504854369,0.358763693582293,0.25
14,110,1.26363636363636,1,2,6,0.818181818181818,0.339486396370931,0.25
15,130,1.23846153846154,1,2,4,0.815384615384615,0.405144928944465,0.30952380952381
16,100,1.28,1,3,5,0.81,0.362719799498747,0.30952380952381
17,112,1.17857142857143,1,2,4,0.866071428571429,0.325889208554235,0.25
18,119,1.20168067226891,1,2,4,0.857142857142857,0.378880368734416,0.25
19,111,1.21621621621622,1,2,5,0.855855855855856,0.382781085536503,0.25
20,97,1.22680412371134,1,2,4,0.814432989690722,0.352381722678713,0.25
21,103,1.25242718446602,1,2,5,0.83495145631068,0.356485183612164,0.25
22,118,1.25423728813559,1,2,5,0.805084745762712,0.377271900217931,0.333333333333333
23,120,1.125,1,2,3,0.9,0.354116439345541,0.25
24,106,1.27358490566038,1,2,3,0.773584905660377,0.388642671868182,0.25
25,115,1.2,1,2,4,0.826086956521739,0.33606463457722,0.25
26,115,1.22608695652174,1,2,3,0.808695652173913,0.388301068877728,0.25
27,111,1.32432432432432,1,3,4,0.747747747747748,0.390508394587342,0.25
28,114,1.19298245614035,1,2,5,0.859649122807018,0.416909616878453,0.333333333333333
29,105,1.21904761904762,1,2,4,0.819047619047619,0.351131188360512,0.25
30,110,1.17272727272727,1,2,4,0.872727272727273,0.374770294822293,0.25
31,115,1.3304347826087,1,2,6,0.721739130434783,0.3644444337613,0.25
32,112,1.1875,1,2,3,0.848214285714286,0.354857738849128,0.25
33,107,1.25233644859813,1,2,4,0.803738317757009,0.358223171022497,0.25
34,99,1.22222222222222,1,2,4,0.828282828282828,0.367999023220198,0.25
35,96,1.22916666666667,1,2,4,0.8125,0.330561150746184,0.236111111111111
36,101,1.32673267326733,1,2,6,0.762376237623762,0.343822953723944,0.25
37,105,1.27619047619048,1,2,5,0.80952380952381,0.380774320360787,0.25
38,105,1.32380952380952,1,2.8,5,0.752380952380952,0.393911698438014,0.25
39,98,1.26530612244898,1,2,3,0.76530612244898,0.369627407581853,0.25
40,109,1.21100917431193,1,2,4,0.844036697247706,0.336667434030956,0.25
41,106,1.30188679245283,1,2,5,0.783018867924528,0.37313700476429,0.25
42,101,1.18811881188119,1,2,4,0.861386138613861,0.3783645446588,0.25
43,103,1.2621359223301,1,2,5,0.825242718446602,0.328754729745292,0.2
44,120,1.25,1,2,4,0.791666666666667,0.368553080190077,0.25
45,103,1.28155339805825,1,2.89999999999999,5,0.805825242718447,0.371768546411457,0.25
46,101,1.28712871287129,1,2,5,0.782178217821782,0.349905850160425,0.238095238095238
47,104,1.27884615384615,1,2.84999999999999,4,0.798076923076923,0.36523159460079,0.25
48,101,1.23762376237624,1,2,5,0.861386138613861,0.412814315266113,0.333333333333333
49,102,1.24509803921569,1,2,3,0.794117647058823,0.393368352047327,0.267857142857143
50,128,1.28125,1,2,6,0.7890625,0.364307036722683,0.25
51,124,1.20161290322581,1,2,3,0.814516129032258,0.37837570312634,0.25
52,115,1.2,1,2,4,0.843478260869565,0.371660195497657,0.25
53,98,1.37755102040816,1,3,5,0.755102040816326,0.313585523409637,0.25
54,99,1.25252525252525,1,2.09999999999999,3,0.797979797979798,0.370411607395846,0.25
55,115,1.30434782608696,1,2.3,4,0.765217391304348,0.339443691671246,0.25
56,107,1.21495327102804,1,2,6,0.85981308411215,0.317110717470371,0.214285714285714
57,105,1.3047619047619,1,3,4,0.79047619047619,0.372432001721475,0.25
58,116,1.32758620689655,1,3,5,0.767241379310345,0.391337502855732,0.274436090225564
59,101,1.1980198019802,1,2,3,0.831683168316832,0.348872360477976,0.25
60,113,1.21238938053097,1,2,4,0.805309734513274,0.384748870247172,0.285714285714286
61,106,1.31132075471698,1,3,4,0.773584905660377,0.37459979732316,0.25
62,112,1.27678571428571,1,3,4,0.830357142857143,0.407371397522326,0.25
63,113,1.27433628318584,1,2,4,0.778761061946903,0.373169803580774,0.222222222222222
64,123,1.21951219512195,1,2.89999999999999,4,0.845528455284553,0.413639452474497,0.285714285714286
65,111,1.28828828828829,1,2.5,4,0.774774774774775,0.362425255962408,0.25
66,86,1.38372093023256,1,3,6,0.779069767441861,0.333537456505543,0.25
67,106,1.18867924528302,1,2,3,0.830188679245283,0.378493200912516,0.25
68,92,1.26086956521739,1,2.45,5,0.815217391304348,0.320435933717499,0.2
69,108,1.30555555555556,1,3,4,0.777777777777778,0.412246918792326,0.30952380952381
70,101,1.2970297029703,1,2,5,0.782178217821782,0.352372441246778,0.25
71,109,1.22935779816514,1,2.59999999999999,4,0.834862385321101,0.352161819617155,0.25
72,109,1.29357798165138,1,2,6,0.788990825688073,0.374402282341613,0.25
73,105,1.26666666666667,1,2.8,4,0.8,0.350904457264033,0.25
74,104,1.18269230769231,1,2,4,0.865384615384615,0.404670788877445,0.25
75,94,1.27659574468085,1,2,4,0.776595744680851,0.31819758535604,0.2
76,107,1.25233644859813,1,2,3,0.766355140186916,0.35664611075392,0.25
77,102,1.23529411764706,1,2,4,0.823529411764706,0.360372804718097,0.25
78,98,1.30612244897959,1,3,4,0.816326530612245,0.295821435090327,0.2
79,112,1.24107142857143,1,2,5,0.8125,0.374267722539574,0.25
80,105,1.28571428571429,1,2.8,7,0.819047619047619,0.334493900696908,0.2
81,106,1.30188679245283,1,2,5,0.773584905660377,0.346514024420517,0.25
82,110,1.32727272727273,1,2,4,0.727272727272727,0.347644341164043,0.25
83,113,1.24778761061947,1,2.39999999999999,4,0.823008849557522,0.35740714416774,0.25
84,101,1.31683168316832,1,3,4,0.772277227722772,0.328229312648204,0.25
85,108,1.25,1,2,3,0.787037037037037,0.405648478660175,0.285714285714286
86,105,1.21904761904762,1,2,5,0.857142857142857,0.365937241669661,0.25
87,105,1.38095238095238,1,3,5,0.723809523809524,0.340309792816648,0.25
88,117,1.22222222222222,1,2,3,0.803418803418803,0.411977352999025,0.25
89,102,1.23529411764706,1,3,4,0.843137254901961,0.357095092157012,0.25
90,122,1.25409836065574,1,2,4,0.80327868852459,0.363368944225793,0.25
91,108,1.22222222222222,1,2,4,0.842592592592593,0.355174877780872,0.222222222222222
92,118,1.29661016949153,1,3,4,0.771186440677966,0.383573110508226,0.25
93,120,1.225,1,2,4,0.816666666666667,0.386207231723099,0.25
94,97,1.27835051546392,1,3,4,0.804123711340206,0.351618874584149,0.25
95,116,1.25,1,2.25,4,0.818965517241379,0.402445856443001,0.333333333333333
96,91,1.21978021978022,1,2,4,0.846153846153846,0.363900856379848,0.25
97,111,1.28828828828829,1,3,4,0.81981981981982,0.345500146924296,0.25
98,98,1.16326530612245,1,2,3,0.846938775510204,0.336032408634449,0.25
99,105,1.19047619047619,1,2,4,0.857142857142857,0.393132372353513,0.25
