"","species","total_pot_pred"
"1","Ancistrocerus.nigricornis",20
"21","Eumenidae.spec",22
"43","Hylaeus.communis",17
"60","Hylaeus.spec",17
"77","Megachile.versicolor",16
"93","Nitela.spinolae",18
"111","Osmia.rufa",20
"131","Passaloecus.eremita",16
"147","Passaloecus.spec",19
"166","Pemphredon.lethifer",11
"177","Symmorphus.bifasciatus",13
"190","Trypoxylon.clavicerum",18
"208","Trypoxylon.spec",20
"228","Ancistrocerus.gazella",14
"242","Megachile.spec",17
"259","Osmia.leaiana",15
"274","Heriades.truncorum",16
"290","Chelostoma.florisomne",11
"301","Dipogon.subintermedius",18
"319","Osmia.spec",15
"334","Chelostoma.rapunculi",7
"341","Ancistrocerus.trifasciatus",19
"360","Chelostoma.spec",12
"372","Passaloecus.corniger",14
"386","Psenulus.pallipes",12
"398","Osmia.brevicornis",10
"408","Ancistrocerus.antilope",13
"421","Crossocerus.spec",14
"435","Passaloecus.gracilis",8
"443","Symmorphus.gracilis",11
"454","Trypoxylon.figulus",8
"462","Discoelius.zonalis",10
"472","Trypoxylon.minus",7
"479","Megachile.alpicola",9
"488","Pemphredon.lugens",10
"498","Chelostoma.campanularum",7
"505","Euodynerus.quadrifasciatus",10
"515","Agenioideus.cinctellus",4
"519","Passaloecus.insignis",6
