"","species","total_pot_pred"
"1","Campanula.rotundifolia",126
"127","Carlina.vulgaris",81
"208","Centaurea.jacea",127
"335","Cirsium.acaule",121
"456","Daucus.carota",131
"587","Galium.verum",94
"681","Hieracium.pilosella",104
"785","Hippocrepis.comosa",126
"911","Hypericum.perforatum",115
"1026","Knautia.arvensis",138
"1164","Lotus.corniculatus",132
"1296","Ononis.spinosa",103
"1399","Pimpinella.saxifraga",138
"1537","Potentilla.neumanniana",103
"1640","Potentilla.reptans",83
"1723","Ranunculus.bulbosus",124
"1847","Sanguisorba.minor",72
"1919","Sedum.sexangulare",57
"1976","Thymus.pulegioides",125
"2101","Achillea.millefolium",120
"2221","Anthemis.arvensis",40
"2261","Anthemis.tinctoria",49
"2310","Anthyllis.vulneraria",59
"2369","Campanula.glomerata",61
"2430","Centaurea.scabiosa",116
"2546","Cornus.sanguinea",55
"2601","Genista.tinctoria",73
"2674","Rosa.NA",92
"2766","Rubus.fruticosus",52
"2818","Salvia.pratensis",40
"2858","Senecio.jacobaea",108
"2966","Bellis.perennis",61
"3027","Crepis.biennis",70
"3097","Euphorbia.cyparissias",39
"3136","Euphrasia.stricta",39
"3175","Fragaria.vesca",85
"3260","Galium.mollugo",102
"3362","Helianthemum.nummularium",95
"3457","Lathyrus.pratensis",39
"3496","Leontodon.hispidus",116
"3612","Leucanthemum.vulgare",91
"3703","Medicago.falcata",76
"3779","Orchis.mascula",57
"3836","Pastinaca.sativa",53
"3889","Plantago.media",93
"3982","Primula.veris",78
"4060","Prunella.vulgaris",68
"4128","Taraxacum.officinale",75
"4203","Trifolium.pratense",111
"4314","Trifolium.repens",52
"4366","Centaurium.erythraea",69
"4435","Polygala.comosa",56
"4491","Prunella.grandiflora",95
"4586","Veronica.teucrium",91
"4677","Vincetoxicum.hirundinaria",44
"4721","Clinopodium.vulgare",87
"4808","Medicago.lupulina",72
"4880","Plantago.lanceolata",43
"4923","Solidago.canadensis",30
"4953","Veronica.chamaedrys",46
"4999","Vicia.cracca",66
"5065","Agrimonia.eupatoria",70
"5135","Gymnadenia.conopsea",51
"5186","Potentilla.erecta",30
"5216","Anthriscus.sylvestris",38
"5254","Solidago.virgaurea",66
"5320","Papaver.rhoeas",27
"5347","Ranunculus.acris",27
"5374","Rhinanthus.minor",37
"5411","Senecio.erucifolius",57
"5468","Stachys.germanica",27
"5495","Valeriana.officinalis",43
"5538","Vicia.sepium",27
"5565","Crataegus.laevigata",38
"5603","Echium.vulgare",58
"5661","Gentiana.ciliata",30
"5691","Heracleum.sphondylium",37
"5728","Hieracium.NA",39
"5767","Tanacetum.vulgare",32
"5799","Ligustrum.vulgare",28
"5827","Melampyrum.arvense",35
"5862","Astragalus.glycyphyllos",48
"5910","Cirsium.arvense",49
"5959","Convolvulus.arvensis",40
"5999","Stellaria.media",36
"6035","Cichorium.intybus",29
"6064","Picris.hieracioides",20
"6084","Trifolium.campestre",20
"6104","Orchis.militaris",34
"6138","Ononis.repens",27
"6165","Polygala.vulgaris",27
"6192","Prunus.spinosa",35
"6227","Lathyrus.tuberosus",35
"6262","Senecio.fucsii",35
"6297","Viola.arvensis",35
"6332","Clematis.vitalba",17
"6349","Tilia.cordata",17
"6366","Tilia.platyphyllos",17
"6383","Trifolium.medium",17
"6400","Aegopodium.podagraria",20
"6420","Origanum.vulgare",18
