"","species","trophic_level","sites"
"140","Ancistrocerus.nigricornis","resource",19
"159","Eumenidae.spec","resource",30
"189","Hylaeus.communis","resource",7
"196","Hylaeus.spec","resource",11
"207","Megachile.versicolor","resource",8
"215","Nitela.spinolae","resource",7
"222","Osmia.rufa","resource",23
"245","Passaloecus.eremita","resource",4
"249","Passaloecus.spec","resource",12
"261","Pemphredon.lethifer","resource",1
"262","Symmorphus.bifasciatus","resource",2
"264","Trypoxylon.clavicerum","resource",16
"280","Trypoxylon.spec","resource",26
"339","Ancistrocerus.gazella","resource",4
"343","Megachile.spec","resource",11
"354","Osmia.leaiana","resource",6
"377","Heriades.truncorum","resource",5
"385","Chelostoma.florisomne","resource",3
"388","Dipogon.subintermedius","resource",7
"395","Osmia.spec","resource",8
"403","Chelostoma.rapunculi","resource",2
"409","Ancistrocerus.trifasciatus","resource",12
"421","Chelostoma.spec","resource",4
"425","Passaloecus.corniger","resource",4
"429","Psenulus.pallipes","resource",3
"432","Osmia.brevicornis","resource",2
"438","Ancistrocerus.antilope","resource",4
"442","Crossocerus.spec","resource",4
"446","Passaloecus.gracilis","resource",1
"447","Symmorphus.gracilis","resource",2
"449","Trypoxylon.figulus","resource",1
"450","Discoelius.zonalis","resource",3
"453","Trypoxylon.minus","resource",1
"454","Megachile.alpicola","resource",1
"455","Pemphredon.lugens","resource",2
"457","Chelostoma.campanularum","resource",2
"460","Euodynerus.quadrifasciatus","resource",2
"463","Agenioideus.cinctellus","resource",1
"465","Passaloecus.insignis","resource",1
