"","species","trophic_level","sites"
"517","Campanula.rotundifolia","resource",18
"535","Carlina.vulgaris","resource",5
"540","Centaurea.jacea","resource",23
"563","Cirsium.acaule","resource",20
"583","Daucus.carota","resource",22
"605","Galium.verum","resource",8
"613","Hieracium.pilosella","resource",11
"624","Hippocrepis.comosa","resource",21
"645","Hypericum.perforatum","resource",21
"666","Knautia.arvensis","resource",32
"698","Lotus.corniculatus","resource",26
"724","Ononis.spinosa","resource",11
"735","Pimpinella.saxifraga","resource",31
"766","Potentilla.neumanniana","resource",10
"776","Potentilla.reptans","resource",5
"781","Ranunculus.bulbosus","resource",19
"800","Sanguisorba.minor","resource",4
"804","Sedum.sexangulare","resource",2
"806","Thymus.pulegioides","resource",20
"964","Achillea.millefolium","resource",22
"986","Anthemis.arvensis","resource",1
"987","Anthemis.tinctoria","resource",2
"989","Anthyllis.vulneraria","resource",4
"993","Campanula.glomerata","resource",3
"996","Centaurea.scabiosa","resource",23
"1019","Cornus.sanguinea","resource",3
"1022","Genista.tinctoria","resource",5
"1027","Rosa.NA","resource",12
"1039","Rubus.fruticosus","resource",3
"1042","Salvia.pratensis","resource",1
"1043","Senecio.jacobaea","resource",16
"1126","Bellis.perennis","resource",2
"1128","Crepis.biennis","resource",5
"1133","Euphorbia.cyparissias","resource",1
"1134","Euphrasia.stricta","resource",1
"1135","Fragaria.vesca","resource",8
"1143","Galium.mollugo","resource",17
"1160","Helianthemum.nummularium","resource",11
"1171","Lathyrus.pratensis","resource",1
"1172","Leontodon.hispidus","resource",18
"1190","Leucanthemum.vulgare","resource",11
"1201","Medicago.falcata","resource",5
"1206","Orchis.mascula","resource",2
"1208","Pastinaca.sativa","resource",2
"1210","Plantago.media","resource",12
"1222","Primula.veris","resource",5
"1227","Prunella.vulgaris","resource",3
"1230","Taraxacum.officinale","resource",6
"1236","Trifolium.pratense","resource",19
"1255","Trifolium.repens","resource",2
"1302","Centaurium.erythraea","resource",4
"1306","Polygala.comosa","resource",2
"1308","Prunella.grandiflora","resource",12
"1320","Veronica.teucrium","resource",10
"1330","Vincetoxicum.hirundinaria","resource",1
"1362","Clinopodium.vulgare","resource",9
"1371","Medicago.lupulina","resource",9
"1380","Plantago.lanceolata","resource",2
"1382","Solidago.canadensis","resource",1
"1383","Veronica.chamaedrys","resource",3
"1386","Vicia.cracca","resource",5
"1421","Agrimonia.eupatoria","resource",6
"1427","Gymnadenia.conopsea","resource",3
"1430","Potentilla.erecta","resource",1
"1445","Anthriscus.sylvestris","resource",1
"1446","Solidago.virgaurea","resource",5
"1462","Papaver.rhoeas","resource",1
"1463","Ranunculus.acris","resource",1
"1464","Rhinanthus.minor","resource",2
"1466","Senecio.erucifolius","resource",3
"1469","Stachys.germanica","resource",1
"1470","Valeriana.officinalis","resource",2
"1472","Vicia.sepium","resource",1
"1473","Crataegus.laevigata","resource",3
"1476","Echium.vulgare","resource",4
"1480","Gentiana.ciliata","resource",1
"1481","Heracleum.sphondylium","resource",2
"1483","Hieracium.NA","resource",2
"1488","Tanacetum.vulgare","resource",1
"1489","Ligustrum.vulgare","resource",1
"1490","Melampyrum.arvense","resource",2
"1498","Astragalus.glycyphyllos","resource",2
"1500","Cirsium.arvense","resource",4
"1504","Convolvulus.arvensis","resource",2
"1506","Stellaria.media","resource",1
"1510","Cichorium.intybus","resource",2
"1514","Picris.hieracioides","resource",1
"1515","Trifolium.campestre","resource",1
"1523","Orchis.militaris","resource",1
"1526","Ononis.repens","resource",1
"1527","Polygala.vulgaris","resource",1
"1535","Prunus.spinosa","resource",1
"1537","Lathyrus.tuberosus","resource",1
"1538","Senecio.fucsii","resource",1
"1539","Viola.arvensis","resource",1
"1540","Clematis.vitalba","resource",1
"1541","Tilia.cordata","resource",1
"1542","Tilia.platyphyllos","resource",1
"1543","Trifolium.medium","resource",1
"1548","Aegopodium.podagraria","resource",1
"1550","Origanum.vulgare","resource",1
