"","species","interactions","indegree","rep"
"1","Anthrax.anthrax",1,1,1
"2","Cacoxenus.indagator",1,7,1
"3","Chrysis.fulgida",1,1,1
"4","Chrysis.ignita.agg.",13,15,1
"5","Coelioxys.mandibularis",2,4,1
"6","Encyrtidae.spec",1,1,1
"7","Gasteruption.assector",3,1,1
"8","Gasteruption.jaculator",1,1,1
"9","Gasteruption.spec",2,2,1
"10","Ichneumonidae.spec",12,6,1
"11","indet",3,3,1
"12","Megatoma.spec",13,10,1
"13","Melittobia.spec",24,16,1
"14","mites",5,5,1
"15","Monodontomerus.spec",1,3,1
"16","Omalus.aeneus",8,7,1
"17","Pseudomalus.auratus",6,6,1
"18","Sapyga.clavicornis",1,3,1
"19","Sapyga.quinquepunctata",1,1,1
"20","Sapygina.decemguttata",1,2,1
"21","Trichrysis.cyanea",8,5,1
"22","Anthrax.anthrax",1,2,2
"23","Cacoxenus.indagator",1,14,2
"24","Chrysis.fulgida",1,1,2
"25","Chrysis.ignita.agg.",13,14,2
"26","Coelioxys.mandibularis",2,4,2
"27","Encyrtidae.spec",1,1,2
"28","Gasteruption.assector",3,6,2
"29","Gasteruption.jaculator",1,0,2
"30","Gasteruption.spec",2,3,2
"31","Ichneumonidae.spec",12,9,2
"32","indet",3,6,2
"33","Megatoma.spec",13,6,2
"34","Melittobia.spec",24,15,2
"35","mites",5,7,2
"36","Monodontomerus.spec",1,6,2
"37","Omalus.aeneus",8,6,2
"38","Pseudomalus.auratus",6,12,2
"39","Sapyga.clavicornis",1,1,2
"40","Sapyga.quinquepunctata",1,1,2
"41","Sapygina.decemguttata",1,2,2
"42","Trichrysis.cyanea",8,10,2
"43","Anthrax.anthrax",1,1,3
"44","Cacoxenus.indagator",1,6,3
"45","Chrysis.fulgida",1,1,3
"46","Chrysis.ignita.agg.",13,11,3
"47","Coelioxys.mandibularis",2,4,3
"48","Encyrtidae.spec",1,3,3
"49","Gasteruption.assector",3,5,3
"50","Gasteruption.jaculator",1,0,3
"51","Gasteruption.spec",2,2,3
"52","Ichneumonidae.spec",12,10,3
"53","indet",3,1,3
"54","Megatoma.spec",13,5,3
"55","Melittobia.spec",24,17,3
"56","mites",5,3,3
"57","Monodontomerus.spec",1,4,3
"58","Omalus.aeneus",8,7,3
