"","species","interactions","indegree","rep"
"1","Andrena.angustior",2,1,1
"2","Andrena.bicolor",1,3,1
"3","Andrena.falsifica",2,6,1
"4","Andrena.flavipes",5,1,1
"5","Andrena.fucata",1,1,1
"6","Andrena.fulvago",1,4,1
"7","Andrena.haemorrhoa",1,1,1
"8","Andrena.humilis",1,1,1
"9","Andrena.labialis",1,1,1
"10","Andrena.labiata",1,1,1
"11","Andrena.minutula",11,13,1
"12","Andrena.minutuloides",6,10,1
"13","Andrena.nigroaenea",1,1,1
"14","Andrena.strohmella",1,1,1
"15","Andrena.subopaca",15,9,1
"16","Andrena.wilkella",1,4,1
"17","Anthidium.manicatum",1,1,1
"18","Anthidium.punctatum",1,1,1
"19","Anthidium.strigatum",4,1,1
"20","Anthophora.plumipes",1,4,1
"21","Bombus.hortorum",3,3,1
"22","Bombus.hypnorum",3,3,1
"23","Bombus.lapidarius",39,20,1
"24","Bombus.pascuorum",31,21,1
"25","Bombus.pratorum",6,3,1
"26","Bombus.soroeensis",2,1,1
"27","Bombus.sylvarum",1,1,1
"28","Bombus.terrestris.agg",39,22,1
"29","Ceratina.cyanea",6,2,1
"30","Cheilosia.antiqua",1,1,1
"31","Cheilosia.barbata",2,3,1
"32","Cheilosia.fraterna",1,2,1
"33","Cheilosia.impressa",2,2,1
"34","Cheilosia.ranunculi/albitarsis",2,11,1
"35","Cheilosia.scutellata",1,1,1
"36","Cheilosia.soror",4,12,1
"37","Cheilosia.vulpina",2,5,1
"38","Chelostoma.campanularum",2,3,1
"39","Chelostoma.florisomne",1,1,1
"40","Chelostoma.rapunculi",8,4,1
"41","Chrysogaster.solstitialis",2,2,1
"42","Chrysotoxum.bicinctum",5,6,1
"43","Chrysotoxum.verralli",1,1,1
"44","Colletes.daviesanus",1,3,1
"45","Dasysyrphus.albostriatus",1,1,1
"46","Dasysyrphus.tricinctus",1,1,1
"47","Didea.fasciata",4,3,1
"48","Didea.intermedia",1,4,1
"49","Epistrophe.grossulariae",1,1,1
"50","Episyrphus.balteatus",42,24,1
"51","Eristalis.arbustorum",8,10,1
"52","Eristalis.interrupta",11,20,1
"53","Eristalis.intricaria",2,1,1
"54","Eristalis.lineata",3,4,1
"55","Eristalis.pertinax",11,15,1
"56","Eristalis.tenax",19,26,1
"57","Eumerus.ornatus",1,1,1
"58","Eupeodes.corollae",15,8,1
"59","Eupeodes.lapponicus",2,4,1
"60","Eupeodes.luniger",1,1,1
"61","Eupeodes.nitens",1,1,1
"62","Ferdinandea.cuprea",2,2,1
"63","Halictus.maculatus",1,2,1
"64","Halictus.rubicundus",7,7,1
"65","Halictus.simplex",4,1,1
"66","Halictus.tumulorum",22,19,1
"67","Helophilus.hybridus",2,2,1
"68","Helophilus.pendulus",9,7,1
"69","Helophilus.trivittatus",5,8,1
"70","Heriades.truncorum",2,1,1
"71","Heringia.heringi",1,1,1
"72","Heringia.spec",4,5,1
"73","Hylaeus.annularis",1,2,1
"74","Hylaeus.brevicornis",3,4,1
"75","Hylaeus.communis",7,4,1
"76","Hylaeus.confusus",5,6,1
"77","Hylaeus.gredleri",1,3,1
"78","Hylaeus.nigritus",2,1,1
"79","Lasioglossum.albipes",5,3,1
"80","Lasioglossum.calceatum",9,11,1
"81","Lasioglossum.fulvicorne",8,10,1
"82","Lasioglossum.lativentre",1,1,1
"83","Lasioglossum.leucopus",6,4,1
"84","Lasioglossum.leucozonium",1,1,1
"85","Lasioglossum.lineare",2,1,1
"86","Lasioglossum.lucidulum",1,1,1
"87","Lasioglossum.minutulum",1,2,1
"88","Lasioglossum.morio",24,17,1
"89","Lasioglossum.pauxillum",29,19,1
"90","Lasioglossum.pygmaeum",2,1,1
"91","Lasioglossum.villosulum",5,14,1
"92","Megachile.apicalis",1,1,1
"93","Megachile.versicolor",2,7,1
"94","Megachile.willughbiella",3,4,1
"95","Melanostoma.spec",12,6,1
"96","Meliscaeva.cinctella",1,1,1
"97","Melitta.haemorrhoidalis",1,2,1
"98","Melitta.leporina",1,1,1
"99","Myathropa.florea",5,13,1
"100","Nomada.flava",1,1,1
"101","Nomada.flavoguttata",9,10,1
"102","Nomada.goodeniana",1,2,1
"103","Nomada.sheppardana",1,2,1
"104","Osmia.aurulenta",3,6,1
"105","Osmia.bicolor",11,10,1
"106","Osmia.leaiana",3,2,1
"107","Osmia.rufa",2,1,1
"108","Osmia.spinulosa",3,1,1
"109","Osmia.uncinata",1,1,1
"110","Paragus.spec",5,11,1
"111","Pipiza.noctiluca/bimaculata",2,1,1
"112","Pipizella.spec",11,14,1
"113","Platycheirus.albimanus",1,1,1
"114","Psithyrus.bohemicus",5,10,1
"115","Psithyrus.campestris",1,1,1
"116","Psithyrus.rupestris",6,8,1
"117","Psithyrus.sylvestris",3,5,1
"118","Scaeva.pyrastri",7,4,1
"119","Scaeva.selenitica",6,5,1
"120","Sericomyia.silentis",1,1,1
"121","Sphaerophoria.spec",38,22,1
"122","Sphecodes.crassus",2,4,1
"123","Sphecodes.ephippius",8,2,1
"124","Sphecodes.ferruginatus",6,1,1
"125","Sphecodes.geoffrellus",1,1,1
"126","Sphecodes.gibbus",2,4,1
"127","Sphecodes.hyalinatus",4,3,1
"128","Sphecodes.monilicornis",1,3,1
"129","Sphecodes.niger",3,3,1
"130","Sphecodes.rufiventris",1,1,1
"131","Syritta.pipiens",8,13,1
"132","Syrphus.ribesii",18,22,1
"133","Syrphus.torvus",31,14,1
"134","Syrphus.vitripennis",25,24,1
"135","Volucella.bombylans",1,2,1
"136","Volucella.pellucens",1,3,1
"137","Xanthandrus.comtus",1,2,1
"138","Xanthogramma.pedissequum",2,4,1
"139","Andrena.angustior",2,2,2
"140","Andrena.bicolor",1,3,2
"141","Andrena.falsifica",2,6,2
"142","Andrena.flavipes",5,2,2
"143","Andrena.fucata",1,1,2
"144","Andrena.fulvago",1,2,2
"145","Andrena.haemorrhoa",1,2,2
"146","Andrena.humilis",1,1,2
"147","Andrena.labialis",1,1,2
"148","Andrena.labiata",1,1,2
"149","Andrena.minutula",11,13,2
"150","Andrena.minutuloides",6,9,2
