"","species","interactions","outdegree","rep"
"1","Ancistrocerus.antilope",4,2,1
"2","Ancistrocerus.gazella",2,0,1
"3","Ancistrocerus.nigricornis",4,6,1
"4","Ancistrocerus.trifasciatus",2,5,1
"5","Chelostoma.campanularum",2,0,1
"6","Chelostoma.florisomne",2,3,1
"7","Chelostoma.rapunculi",2,1,1
"8","Chelostoma.spec",1,3,1
"9","Crossocerus.spec",2,1,1
"10","Dipogon.subintermedius",2,0,1
"11","Discoelius.zonalis",2,1,1
"12","Eumenidae.spec",7,6,1
"13","Euodynerus.quadrifasciatus",3,0,1
"14","Heriades.truncorum",4,4,1
"15","Hylaeus.communis",4,4,1
"16","Hylaeus.spec",6,4,1
"17","Megachile.spec",3,6,1
"18","Megachile.versicolor",5,6,1
"19","Nitela.spinolae",1,5,1
"20","Osmia.brevicornis",1,2,1
"21","Osmia.leaiana",6,3,1
"22","Osmia.rufa",8,7,1
"23","Osmia.spec",3,2,1
"24","Passaloecus.corniger",4,4,1
"25","Passaloecus.eremita",2,0,1
"26","Passaloecus.gracilis",1,0,1
"27","Passaloecus.insignis",1,1,1
"28","Passaloecus.spec",4,5,1
"29","Pemphredon.lethifer",1,0,1
"30","Pemphredon.lugens",1,1,1
"31","Psenulus.pallipes",3,2,1
"32","Symmorphus.bifasciatus",1,3,1
"33","Symmorphus.gracilis",1,1,1
"34","Trypoxylon.clavicerum",5,4,1
"35","Trypoxylon.figulus",1,0,1
"36","Trypoxylon.minus",1,0,1
"37","Trypoxylon.spec",6,7,1
"38","Ancistrocerus.antilope",4,5,2
"39","Ancistrocerus.gazella",2,2,2
"40","Ancistrocerus.nigricornis",4,9,2
"41","Ancistrocerus.trifasciatus",2,4,2
"42","Chelostoma.campanularum",2,1,2
"43","Chelostoma.florisomne",2,2,2
"44","Chelostoma.rapunculi",2,0,2
"45","Chelostoma.spec",1,4,2
"46","Crossocerus.spec",2,2,2
"47","Dipogon.subintermedius",2,4,2
"48","Discoelius.zonalis",2,2,2
"49","Eumenidae.spec",7,11,2
"50","Euodynerus.quadrifasciatus",3,1,2
"51","Heriades.truncorum",4,6,2
"52","Hylaeus.communis",4,5,2
"53","Hylaeus.spec",6,5,2
"54","Megachile.spec",3,5,2
"55","Megachile.versicolor",5,9,2
"56","Nitela.spinolae",1,1,2
"57","Osmia.brevicornis",1,3,2
"58","Osmia.leaiana",6,1,2
"59","Osmia.rufa",8,5,2
"60","Osmia.spec",3,6,2
"61","Passaloecus.corniger",4,3,2
"62","Passaloecus.eremita",2,3,2
"63","Passaloecus.gracilis",1,0,2
"64","Passaloecus.insignis",1,0,2
"65","Passaloecus.spec",4,4,2
"66","Pemphredon.lethifer",1,1,2
"67","Pemphredon.lugens",1,0,2
"68","Psenulus.pallipes",3,1,2
"69","Symmorphus.bifasciatus",1,3,2
"70","Symmorphus.gracilis",1,2,2
"71","Trypoxylon.clavicerum",5,2,2
"72","Trypoxylon.figulus",1,1,2
"73","Trypoxylon.minus",1,1,2
"74","Trypoxylon.spec",6,11,2
"75","Ancistrocerus.antilope",4,5,3
"76","Ancistrocerus.gazella",2,2,3
"77","Ancistrocerus.nigricornis",4,9,3
"78","Ancistrocerus.trifasciatus",2,3,3
"79","Chelostoma.campanularum",2,1,3
"80","Chelostoma.florisomne",2,1,3
"81","Chelostoma.rapunculi",2,1,3
"82","Chelostoma.spec",1,3,3
"83","Crossocerus.spec",2,0,3
"84","Dipogon.subintermedius",2,4,3
"85","Discoelius.zonalis",2,1,3
"86","Eumenidae.spec",7,8,3
"87","Euodynerus.quadrifasciatus",3,1,3
"88","Heriades.truncorum",4,4,3
"89","Hylaeus.communis",4,1,3
"90","Hylaeus.spec",6,7,3
"91","Megachile.spec",3,5,3
"92","Megachile.versicolor",5,3,3
"93","Nitela.spinolae",1,4,3
"94","Osmia.brevicornis",1,1,3
"95","Osmia.leaiana",6,3,3
"96","Osmia.rufa",8,7,3
"97","Osmia.spec",3,0,3
"98","Passaloecus.corniger",4,4,3
"99","Passaloecus.eremita",2,2,3
"100","Passaloecus.gracilis",1,0,3
"101","Passaloecus.insignis",1,0,3
"102","Passaloecus.spec",4,6,3
"103","Pemphredon.lethifer",1,0,3
"104","Pemphredon.lugens",1,3,3
"105","Psenulus.pallipes",3,1,3
"106","Symmorphus.bifasciatus",1,0,3
"107","Symmorphus.gracilis",1,1,3
"108","Trypoxylon.clavicerum",5,5,3
"109","Trypoxylon.figulus",1,0,3
"110","Trypoxylon.minus",1,0,3
"111","Trypoxylon.spec",6,11,3
"112","Ancistrocerus.antilope",4,2,4
"113","Ancistrocerus.gazella",2,4,4
"114","Ancistrocerus.nigricornis",4,7,4
"115","Ancistrocerus.trifasciatus",2,5,4
"116","Chelostoma.campanularum",2,2,4
"117","Chelostoma.florisomne",2,1,4
"118","Chelostoma.rapunculi",2,1,4
"119","Chelostoma.spec",1,1,4
"120","Crossocerus.spec",2,3,4
"121","Dipogon.subintermedius",2,6,4
"122","Discoelius.zonalis",2,1,4
"123","Eumenidae.spec",7,8,4
"124","Euodynerus.quadrifasciatus",3,1,4
"125","Heriades.truncorum",4,6,4
"126","Hylaeus.communis",4,1,4
"127","Hylaeus.spec",6,4,4
"128","Megachile.spec",3,5,4
"129","Megachile.versicolor",5,6,4
"130","Nitela.spinolae",1,5,4
"131","Osmia.brevicornis",1,1,4
"132","Osmia.leaiana",6,2,4
"133","Osmia.rufa",8,5,4
"134","Osmia.spec",3,3,4
"135","Passaloecus.corniger",4,1,4
"136","Passaloecus.eremita",2,4,4
"137","Passaloecus.gracilis",1,0,4
"138","Passaloecus.insignis",1,0,4
"139","Passaloecus.spec",4,5,4
"140","Pemphredon.lethifer",1,1,4
"141","Pemphredon.lugens",1,2,4
"142","Psenulus.pallipes",3,1,4
"143","Symmorphus.bifasciatus",1,0,4
"144","Symmorphus.gracilis",1,0,4
"145","Trypoxylon.clavicerum",5,5,4
"146","Trypoxylon.figulus",1,0,4
"147","Trypoxylon.minus",1,0,4
"148","Trypoxylon.spec",6,10,4
"149","Ancistrocerus.antilope",4,4,5
"150","Ancistrocerus.gazella",2,0,5
"151","Ancistrocerus.nigricornis",4,7,5
"152","Ancistrocerus.trifasciatus",2,5,5
"153","Chelostoma.campanularum",2,1,5
"154","Chelostoma.florisomne",2,2,5
"155","Chelostoma.rapunculi",2,1,5
"156","Chelostoma.spec",1,3,5
"157","Crossocerus.spec",2,5,5
"158","Dipogon.subintermedius",2,5,5
"159","Discoelius.zonalis",2,1,5
"160","Eumenidae.spec",7,7,5
"161","Euodynerus.quadrifasciatus",3,1,5
"162","Heriades.truncorum",4,7,5
"163","Hylaeus.communis",4,3,5
"164","Hylaeus.spec",6,4,5
"165","Megachile.spec",3,5,5
"166","Megachile.versicolor",5,5,5
"167","Nitela.spinolae",1,3,5
"168","Osmia.brevicornis",1,1,5
"169","Osmia.leaiana",6,2,5
"170","Osmia.rufa",8,6,5
"171","Osmia.spec",3,0,5
"172","Passaloecus.corniger",4,3,5
"173","Passaloecus.eremita",2,1,5
"174","Passaloecus.gracilis",1,2,5
"175","Passaloecus.insignis",1,0,5
"176","Passaloecus.spec",4,5,5
"177","Pemphredon.lethifer",1,0,5
"178","Pemphredon.lugens",1,0,5
"179","Psenulus.pallipes",3,2,5
"180","Symmorphus.bifasciatus",1,0,5
"181","Symmorphus.gracilis",1,2,5
"182","Trypoxylon.clavicerum",5,8,5
"183","Trypoxylon.figulus",1,0,5
"184","Trypoxylon.minus",1,0,5
"185","Trypoxylon.spec",6,8,5
"186","Ancistrocerus.antilope",4,2,6
"187","Ancistrocerus.gazella",2,0,6
"188","Ancistrocerus.nigricornis",4,6,6
"189","Ancistrocerus.trifasciatus",2,5,6
"190","Chelostoma.campanularum",2,2,6
"191","Chelostoma.florisomne",2,3,6
"192","Chelostoma.rapunculi",2,1,6
"193","Chelostoma.spec",1,2,6
"194","Crossocerus.spec",2,3,6
"195","Dipogon.subintermedius",2,7,6
"196","Discoelius.zonalis",2,4,6
"197","Eumenidae.spec",7,9,6
"198","Euodynerus.quadrifasciatus",3,1,6
"199","Heriades.truncorum",4,6,6
"200","Hylaeus.communis",4,3,6
"201","Hylaeus.spec",6,4,6
"202","Megachile.spec",3,5,6
"203","Megachile.versicolor",5,1,6
"204","Nitela.spinolae",1,6,6
"205","Osmia.brevicornis",1,0,6
"206","Osmia.leaiana",6,5,6
"207","Osmia.rufa",8,3,6
"208","Osmia.spec",3,4,6
"209","Passaloecus.corniger",4,1,6
"210","Passaloecus.eremita",2,2,6
"211","Passaloecus.gracilis",1,0,6
"212","Passaloecus.insignis",1,0,6
"213","Passaloecus.spec",4,5,6
"214","Pemphredon.lethifer",1,3,6
"215","Pemphredon.lugens",1,0,6
"216","Psenulus.pallipes",3,0,6
"217","Symmorphus.bifasciatus",1,2,6
"218","Symmorphus.gracilis",1,0,6
"219","Trypoxylon.clavicerum",5,10,6
"220","Trypoxylon.figulus",1,0,6
"221","Trypoxylon.minus",1,0,6
"222","Trypoxylon.spec",6,10,6
"223","Ancistrocerus.antilope",4,2,7
"224","Ancistrocerus.gazella",2,3,7
"225","Ancistrocerus.nigricornis",4,10,7
"226","Ancistrocerus.trifasciatus",2,4,7
"227","Chelostoma.campanularum",2,0,7
"228","Chelostoma.florisomne",2,1,7
"229","Chelostoma.rapunculi",2,0,7
"230","Chelostoma.spec",1,1,7
"231","Crossocerus.spec",2,1,7
"232","Dipogon.subintermedius",2,5,7
"233","Discoelius.zonalis",2,0,7
"234","Eumenidae.spec",7,10,7
"235","Euodynerus.quadrifasciatus",3,0,7
"236","Heriades.truncorum",4,7,7
"237","Hylaeus.communis",4,5,7
"238","Hylaeus.spec",6,6,7
"239","Megachile.spec",3,6,7
"240","Megachile.versicolor",5,3,7
"241","Nitela.spinolae",1,6,7
"242","Osmia.brevicornis",1,1,7
"243","Osmia.leaiana",6,2,7
"244","Osmia.rufa",8,9,7
"245","Osmia.spec",3,1,7
"246","Passaloecus.corniger",4,2,7
"247","Passaloecus.eremita",2,5,7
"248","Passaloecus.gracilis",1,0,7
"249","Passaloecus.insignis",1,2,7
"250","Passaloecus.spec",4,7,7
"251","Pemphredon.lethifer",1,0,7
"252","Pemphredon.lugens",1,0,7
"253","Psenulus.pallipes",3,0,7
"254","Symmorphus.bifasciatus",1,1,7
"255","Symmorphus.gracilis",1,2,7
"256","Trypoxylon.clavicerum",5,5,7
"257","Trypoxylon.figulus",1,0,7
"258","Trypoxylon.minus",1,1,7
"259","Trypoxylon.spec",6,5,7
"260","Ancistrocerus.antilope",4,1,8
"261","Ancistrocerus.gazella",2,4,8
"262","Ancistrocerus.nigricornis",4,9,8
