"","species","interactions","indegree","rep"
"1","Pol1",2,6,1
"2","Pol10",2,2,1
"3","Pol11",2,1,1
"4","Pol12",1,1,1
"5","Pol13",3,4,1
"6","Pol14",5,1,1
"7","Pol15",4,1,1
"8","Pol16",2,1,1
"9","Pol17",3,2,1
"10","Pol18",1,1,1
"11","Pol19",2,1,1
"12","Pol2",10,3,1
"13","Pol20",4,2,1
"14","Pol21",3,2,1
"15","Pol22",1,1,1
"16","Pol23",2,1,1
"17","Pol24",1,1,1
"18","Pol25",1,1,1
"19","Pol26",1,5,1
"20","Pol27",4,2,1
"21","Pol28",1,2,1
"22","Pol29",1,5,1
"23","Pol3",6,4,1
"24","Pol30",3,4,1
"25","Pol31",2,1,1
"26","Pol32",1,1,1
"27","Pol33",1,2,1
"28","Pol34",2,4,1
"29","Pol35",1,1,1
"30","Pol36",2,1,1
"31","Pol37",2,3,1
"32","Pol38",2,5,1
"33","Pol39",3,1,1
"34","Pol4",4,2,1
"35","Pol40",1,1,1
"36","Pol41",1,2,1
"37","Pol42",3,2,1
"38","Pol43",3,1,1
"39","Pol44",1,3,1
"40","Pol45",1,1,1
"41","Pol46",1,1,1
"42","Pol47",1,1,1
"43","Pol48",1,1,1
"44","Pol49",1,1,1
"45","Pol5",3,3,1
"46","Pol50",1,1,1
"47","Pol51",1,2,1
"48","Pol52",1,1,1
"49","Pol53",1,1,1
"50","Pol54",1,1,1
"51","Pol55",2,1,1
"52","Pol56",2,1,1
"53","Pol57",1,1,1
"54","Pol58",1,1,1
"55","Pol59",2,1,1
"56","Pol6",4,5,1
"57","Pol60",1,1,1
"58","Pol61",1,1,1
"59","Pol62",1,1,1
"60","Pol63",1,1,1
"61","Pol65",1,1,1
"62","Pol66",1,1,1
"63","Pol67",1,1,1
"64","Pol68",1,1,1
"65","Pol69",1,1,1
"66","Pol7",4,6,1
"67","Pol70",1,1,1
"68","Pol71",1,1,1
"69","Pol72",1,1,1
"70","Pol73",1,1,1
"71","Pol74",1,1,1
"72","Pol75",1,1,1
"73","Pol76",1,1,1
"74","Pol77",1,1,1
"75","Pol78",1,1,1
"76","Pol79",1,1,1
"77","Pol8",3,2,1
"78","Pol80",1,1,1
"79","Pol81",1,1,1
"80","Pol82",1,1,1
"81","Pol83",1,1,1
"82","Pol84",1,1,1
"83","Pol85",1,1,1
"84","Pol86",1,1,1
"85","Pol87",1,1,1
"86","Pol88",1,1,1
"87","Pol89",1,1,1
"88","Pol9",7,4,1
"89","Pol90",1,2,1
"90","Pol1",2,2,2
"91","Pol10",2,4,2
"92","Pol11",2,5,2
"93","Pol12",1,1,2
"94","Pol13",3,4,2
"95","Pol14",5,3,2
"96","Pol15",4,2,2
"97","Pol16",2,1,2
"98","Pol17",3,3,2
"99","Pol18",1,1,2
