"","species","interactions","outdegree","rep"
"1","Plant1",6,38,1
"2","Plant10",4,2,1
"3","Plant11",12,13,1
"4","Plant12",3,11,1
"5","Plant13",3,2,1
"6","Plant14",1,1,1
"7","Plant2",50,18,1
"8","Plant3",27,16,1
"9","Plant4",11,13,1
"10","Plant5",3,11,1
"11","Plant6",22,6,1
"12","Plant7",6,1,1
"13","Plant8",9,9,1
"14","Plant9",6,10,1
"15","Plant1",6,31,2
"16","Plant10",4,3,2
"17","Plant11",12,12,2
"18","Plant12",3,5,2
"19","Plant13",3,8,2
"20","Plant14",1,1,2
"21","Plant2",50,21,2
"22","Plant3",27,12,2
"23","Plant4",11,9,2
"24","Plant5",3,14,2
"25","Plant6",22,13,2
"26","Plant7",6,1,2
"27","Plant8",9,10,2
"28","Plant9",6,5,2
"29","Plant1",6,42,3
"30","Plant10",4,5,3
"31","Plant11",12,5,3
"32","Plant12",3,7,3
"33","Plant13",3,3,3
"34","Plant14",1,1,3
"35","Plant2",50,20,3
"36","Plant3",27,13,3
"37","Plant4",11,10,3
"38","Plant5",3,8,3
"39","Plant6",22,10,3
"40","Plant7",6,2,3
"41","Plant8",9,14,3
"42","Plant9",6,10,3
"43","Plant1",6,42,4
"44","Plant10",4,6,4
"45","Plant11",12,8,4
"46","Plant12",3,6,4
"47","Plant13",3,2,4
"48","Plant14",1,1,4
"49","Plant2",50,22,4
"50","Plant3",27,10,4
"51","Plant4",11,11,4
"52","Plant5",3,10,4
"53","Plant6",22,8,4
"54","Plant7",6,1,4
"55","Plant8",9,7,4
"56","Plant9",6,9,4
"57","Plant1",6,45,5
"58","Plant10",4,6,5
"59","Plant11",12,7,5
"60","Plant12",3,8,5
"61","Plant13",3,6,5
"62","Plant14",1,1,5
"63","Plant2",50,10,5
"64","Plant3",27,10,5
"65","Plant4",11,16,5
"66","Plant5",3,11,5
"67","Plant6",22,11,5
"68","Plant7",6,1,5
"69","Plant8",9,11,5
"70","Plant9",6,9,5
"71","Plant1",6,31,6
"72","Plant10",4,9,6
"73","Plant11",12,8,6
"74","Plant12",3,2,6
"75","Plant13",3,2,6
"76","Plant14",1,4,6
"77","Plant2",50,14,6
"78","Plant3",27,16,6
"79","Plant4",11,16,6
"80","Plant5",3,12,6
"81","Plant6",22,11,6
"82","Plant7",6,3,6
"83","Plant8",9,10,6
"84","Plant9",6,7,6
"85","Plant1",6,39,7
"86","Plant10",4,6,7
"87","Plant11",12,9,7
"88","Plant12",3,5,7
"89","Plant13",3,5,7
"90","Plant14",1,1,7
"91","Plant2",50,20,7
"92","Plant3",27,17,7
"93","Plant4",11,10,7
"94","Plant5",3,14,7
"95","Plant6",22,11,7
"96","Plant7",6,2,7
"97","Plant8",9,15,7
"98","Plant9",6,7,7
"99","Plant1",6,41,8
"100","Plant10",4,4,8
"101","Plant11",12,11,8
"102","Plant12",3,9,8
"103","Plant13",3,1,8
"104","Plant14",1,1,8
"105","Plant2",50,21,8
"106","Plant3",27,9,8
"107","Plant4",11,17,8
"108","Plant5",3,9,8
"109","Plant6",22,10,8
"110","Plant7",6,4,8
"111","Plant8",9,4,8
"112","Plant9",6,6,8
"113","Plant1",6,33,9
"114","Plant10",4,6,9
"115","Plant11",12,9,9
"116","Plant12",3,4,9
"117","Plant13",3,3,9
"118","Plant14",1,3,9
"119","Plant2",50,18,9
"120","Plant3",27,13,9
"121","Plant4",11,10,9
"122","Plant5",3,10,9
"123","Plant6",22,9,9
"124","Plant7",6,1,9
"125","Plant8",9,4,9
"126","Plant9",6,12,9
"127","Plant1",6,49,10
"128","Plant10",4,3,10
"129","Plant11",12,6,10
"130","Plant12",3,2,10
"131","Plant13",3,2,10
"132","Plant14",1,1,10
"133","Plant2",50,14,10
"134","Plant3",27,12,10
"135","Plant4",11,13,10
"136","Plant5",3,10,10
"137","Plant6",22,9,10
"138","Plant7",6,2,10
"139","Plant8",9,6,10
"140","Plant9",6,11,10
"141","Plant1",6,41,11
"142","Plant10",4,4,11
"143","Plant11",12,12,11
"144","Plant12",3,8,11
"145","Plant13",3,2,11
"146","Plant14",1,0,11
"147","Plant2",50,20,11
"148","Plant3",27,12,11
"149","Plant4",11,16,11
"150","Plant5",3,17,11
"151","Plant6",22,14,11
"152","Plant7",6,1,11
"153","Plant8",9,7,11
"154","Plant9",6,2,11
"155","Plant1",6,37,12
"156","Plant10",4,2,12
"157","Plant11",12,11,12
