"","species","total_pot_pred"
"1","AcalS",54
"55","AcurS",56
"111","AglaS",54
"165","AquaA",56
"221","NqueS",54
"275","Amit",56
"331","Calc",55
"386","Colfl",14
"400","Ealb",56
"456","Hser",53
"509","Phy",52
"561","Ppyg",55
"616","Sti",55
"671","Tdod",47
"718","Teke",56
"774","AinfA",42
"816","ClonA",52
"868","NnumS",30
"898","Col",54
"952","NantA",17
"969","NqueA",53
"1022","AinfS",39
"1061","AqueS",29
"1090","Clon asex",8
"1098","AfecS",10
"1108","Colfllu",10
"1118","Phyhar",24
"1142","NnumA",30
"1172","Phyque",21
