"","species","interactions","indegree","rep"
"1","Aaet",5,5,1
"2","Aars",4,3,1
"3","Abula",3,4,1
"4","Abut",1,2,1
"5","Alat",1,1,1
"6","Aski",2,7,1
"7","Aspci",1,3,1
"8","Bapa",2,4,1
"9","Brac5",1,1,1
"10","Cdia",8,9,1
"11","Ceur",1,2,1
"12","Clyn.",5,4,1
"13","Cnau",2,1,1
"14","Cpen",2,4,1
"15","Cpic",1,2,1
"16","Ctri",1,3,1
"17","Dmes",1,3,1
"18","Ebru",1,1,1
"19","Euro",5,2,1
"20","Gpum",1,2,1
"21","Mama",1,3,1
"22","Mdor",2,1,1
"23","Mdub",3,5,1
"24","Mfas",8,2,1
"25","Mser",2,2,1
"26","Mtar",1,1,1
"27","Mtho",1,1,1
"28","Mtib",1,2,1
"29","Mxan",7,4,1
"30","Nchl",1,1,1
"31","Omit",1,3,1
"32","Opom",4,1,1
"33","Pagr",1,2,1
"34","Plon",3,2,1
"35","Psau",1,2,1
"36","PteA",2,1,1
"37","Scam",1,1,1
"38","Scat",1,5,1
"39","Sgor",2,1,1
"40","Sser",2,2,1
"41","Sxan",2,1,1
"42","Syn",5,1,1
"43","Syn1",2,1,1
"44","Syn2",6,2,1
"45","Syn3",1,1,1
"46","Syn4",1,2,1
"47","Taur",2,1,1
"48","Tceno",1,3,1
"49","Tcya",4,1,1
"50","Tfla",5,1,1
"51","TflaA",1,1,1
"52","TflaB",1,1,1
"53","Tger",6,1,1
"54","Tnot",1,1,1
"55","Trob",1,1,1
"56","Tscu",1,1,1
"57","Aaet",5,3,2
"58","Aars",4,2,2
"59","Abula",3,3,2
"60","Abut",1,2,2
"61","Alat",1,1,2
"62","Aski",2,4,2
"63","Aspci",1,1,2
"64","Bapa",2,3,2
"65","Brac5",1,1,2
"66","Cdia",8,2,2
"67","Ceur",1,2,2
"68","Clyn.",5,1,2
"69","Cnau",2,3,2
"70","Cpen",2,3,2
"71","Cpic",1,1,2
"72","Ctri",1,3,2
"73","Dmes",1,4,2
"74","Ebru",1,5,2
"75","Euro",5,2,2
"76","Gpum",1,1,2
"77","Mama",1,2,2
"78","Mdor",2,2,2
"79","Mdub",3,1,2
"80","Mfas",8,4,2
"81","Mser",2,3,2
"82","Mtar",1,3,2
"83","Mtho",1,1,2
"84","Mtib",1,1,2
"85","Mxan",7,3,2
"86","Nchl",1,3,2
"87","Omit",1,1,2
"88","Opom",4,3,2
"89","Pagr",1,1,2
"90","Plon",3,1,2
"91","Psau",1,1,2
"92","PteA",2,2,2
"93","Scam",1,4,2
"94","Scat",1,1,2
"95","Sgor",2,2,2
"96","Sser",2,2,2
"97","Sxan",2,1,2
"98","Syn",5,6,2
"99","Syn1",2,2,2
"100","Syn2",6,6,2
"101","Syn3",1,2,2
"102","Syn4",1,2,2
"103","Taur",2,1,2
"104","Tceno",1,1,2
"105","Tcya",4,2,2
"106","Tfla",5,1,2
"107","TflaA",1,1,2
"108","TflaB",1,2,2
"109","Tger",6,3,2
"110","Tnot",1,5,2
"111","Trob",1,2,2
"112","Tscu",1,1,2
"113","Aaet",5,1,3
"114","Aars",4,4,3
"115","Abula",3,2,3
"116","Abut",1,1,3
"117","Alat",1,2,3
"118","Aski",2,2,3
"119","Aspci",1,1,3
"120","Bapa",2,2,3
"121","Brac5",1,5,3
"122","Cdia",8,3,3
"123","Ceur",1,5,3
"124","Clyn.",5,3,3
"125","Cnau",2,1,3
"126","Cpen",2,1,3
"127","Cpic",1,1,3
"128","Ctri",1,2,3
"129","Dmes",1,4,3
"130","Ebru",1,4,3
"131","Euro",5,2,3
"132","Gpum",1,5,3
"133","Mama",1,3,3
