"","species","trophic_level","sites"
"186","AcalS","resource",16
"202","AcurS","resource",21
"223","AglaS","resource",17
"240","AquaA","resource",21
"261","NqueS","resource",21
"282","Amit","resource",20
"302","Calc","resource",18
"320","Colfl","resource",1
"321","Ealb","resource",21
"342","Hser","resource",13
"355","Phy","resource",20
"375","Ppyg","resource",20
"395","Sti","resource",20
"415","Tdod","resource",11
"426","Teke","resource",22
"477","AinfA","resource",5
"482","ClonA","resource",17
"499","NnumS","resource",4
"503","Col","resource",16
"542","NantA","resource",2
"544","NqueA","resource",14
"578","AinfS","resource",5
"594","AqueS","resource",2
"596","Clon asex","resource",1
"625","AfecS","resource",1
"626","Colfllu","resource",1
"639","Phyhar","resource",2
"651","NnumA","resource",3
"660","Phyque","resource",1
