"","species","interactions","outdegree","rep"
"1","AcalS",5,25,1
"2","AcurS",16,8,1
"3","AglaS",4,6,1
"4","AinfS",5,2,1
"5","Amit",5,8,1
"6","AquaA",13,5,1
"7","AqueS",2,0,1
"8","Calc",1,7,1
"9","Clon asex",2,0,1
"10","ClonA",16,9,1
"11","Col",1,10,1
"12","Colfllu",1,1,1
"13","Ealb",6,3,1
"14","NantA",2,1,1
"15","NqueA",4,5,1
"16","NqueS",20,7,1
"17","Phy",11,4,1
"18","Phyhar",4,1,1
"19","Phyque",2,1,1
"20","Ppyg",4,6,1
"21","Sti",2,5,1
"22","Tdod",1,1,1
"23","Teke",6,10,1
"24","AcalS",5,20,2
"25","AcurS",16,7,2
"26","AglaS",4,3,2
"27","AinfS",5,2,2
"28","Amit",5,7,2
"29","AquaA",13,4,2
"30","AqueS",2,1,2
"31","Calc",1,10,2
"32","Clon asex",2,0,2
"33","ClonA",16,2,2
"34","Col",1,7,2
"35","Colfllu",1,0,2
"36","Ealb",6,6,2
"37","NantA",2,0,2
"38","NqueA",4,10,2
"39","NqueS",20,8,2
"40","Phy",11,5,2
"41","Phyhar",4,0,2
"42","Phyque",2,0,2
"43","Ppyg",4,9,2
"44","Sti",2,8,2
"45","Tdod",1,4,2
"46","Teke",6,7,2
"47","AcalS",5,25,3
"48","AcurS",16,2,3
"49","AglaS",4,6,3
"50","AinfS",5,2,3
"51","Amit",5,4,3
"52","AquaA",13,7,3
"53","AqueS",2,2,3
"54","Calc",1,9,3
"55","Clon asex",2,0,3
"56","ClonA",16,7,3
"57","Col",1,10,3
"58","Colfllu",1,0,3
"59","Ealb",6,8,3
"60","NantA",2,2,3
"61","NqueA",4,4,3
"62","NqueS",20,8,3
"63","Phy",11,3,3
"64","Phyhar",4,1,3
"65","Phyque",2,1,3
"66","Ppyg",4,6,3
"67","Sti",2,9,3
"68","Tdod",1,5,3
"69","Teke",6,6,3
"70","AcalS",5,24,4
"71","AcurS",16,5,4
"72","AglaS",4,5,4
"73","AinfS",5,1,4
"74","Amit",5,7,4
"75","AquaA",13,6,4
"76","AqueS",2,1,4
"77","Calc",1,4,4
"78","Clon asex",2,0,4
"79","ClonA",16,5,4
"80","Col",1,2,4
