"n_cooccurring_sites","empirical_n_links","empirical_mean_interacting_sites","empirical_median_interacting_sites","empirical_q95_interacting_sites","empirical_mean_repeatability","empirical_median_repeatability","empirical_proportion_single_site_links","model_n_links_median","model_mean_interacting_sites_q025","model_mean_interacting_sites_q500","model_mean_interacting_sites_q975","model_mean_repeatability_q025","model_mean_repeatability_q500","model_mean_repeatability_q975","model_prop_single_q025","model_prop_single_q500","model_prop_single_q975","enough_empirical_links","empirical_repeatability_above_model","empirical_repeatability_below_model","empirical_interacting_sites_above_model","empirical_interacting_sites_below_model","empirical_single_site_below_model","empirical_single_site_above_model"
1,184,1,1,1,1,1,1,183,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,137,1.35036496350365,1,2,0.675182481751825,0.5,0.64963503649635,114,1.02458024854574,1.06306306306306,1.11293778801843,0.512290124272871,0.531531531531532,0.556468894009217,0.887062211981567,0.936936936936937,0.975419751454257,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
3,120,1.80833333333333,2,3,0.602777777777778,0.666666666666667,0.408333333333333,103,1.06837121212121,1.13144603934078,1.20371315192744,0.356123737373737,0.377148679780259,0.401237717309146,0.808499892542446,0.873911726852903,0.934579439252336,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
4,69,2.04347826086957,2,4,0.510869565217391,0.5,0.391304347826087,67,1.09803921568627,1.19684550422255,1.3117086038961,0.274509803921569,0.299211376055638,0.327927150974026,0.714285714285714,0.819444444444444,0.906286057692308,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
5,55,2.56363636363636,3,5,0.512727272727273,0.6,0.381818181818182,56,1.14813296903461,1.26984126984127,1.41670454545455,0.229626593806922,0.253968253968254,0.283340909090909,0.653826530612245,0.76271186440678,0.862767379679144,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
6,59,3.03389830508475,3,6,0.505649717514124,0.5,0.203389830508475,61,1.20634920634921,1.33823529411765,1.50838242827869,0.201058201058201,0.223039215686274,0.251397071379781,0.587241689128482,0.714285714285714,0.815454545454545,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
7,52,3.5,3,6.45,0.5,0.428571428571429,0.230769230769231,48,1.25443181818182,1.41742424242424,1.61224489795918,0.179204545454545,0.202489177489177,0.230320699708455,0.521716485507246,0.659090909090909,0.795454545454545,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
8,49,4.12244897959184,4,7,0.51530612244898,0.5,0.163265306122449,42,1.31246527777778,1.5,1.718125,0.164058159722222,0.1875,0.214765625,0.465116279069767,0.610433604336043,0.755555555555556,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
9,30,3.73333333333333,4,7.55,0.414814814814815,0.444444444444444,0.166666666666667,33,1.33333333333333,1.58620689655172,1.86677419354839,0.148148148148148,0.176245210727969,0.20741935483871,0.393912337662338,0.5625,0.727272727272727,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
10,29,5.37931034482759,4,10,0.537931034482759,0.4,0.172413793103448,36,1.40622888513514,1.65821566110398,1.96434523809524,0.140622888513514,0.165821566110398,0.196434523809524,0.36579822616408,0.526315789473684,0.685758928571429,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
