"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability"
"Aacumi","Eappen",1,1,1
"Aacumi","Eatraa",3,3,1
"Aacumi","Eaurit",5,5,1
"Aacumi","Eciner",1,1,1
"Aacumi","Eelaea",6,7,0.857142857142857
"Aacumi","Egemmh",1,1,1
"Aacumi","Emucro",2,4,0.5
"Aacumi","Enigri",1,1,1
"Aacumi","Epurpu",6,6,1
"Aacumi","Etesta",3,3,1
"Aacumi","Hischn",1,2,0.5
"Aalvea","Ovaria",1,1,1
"Aalvea","Ovesic",1,2,0.5
"Aalvea","Ovimin",2,2,1
"Acubic","Heryth",1,1,1
"Acubic","Hplicd",1,1,1
"Acubic","Oarcti",4,6,0.666666666666667
"Acubic","Oherba",2,4,0.5
"Acubic","Olappo",10,11,0.909090909090909
"Acubic","Onival",2,10,0.2
"Acubic","Opustu",2,3,0.666666666666667
"Acubic","Osamol",5,9,0.555555555555556
"Adelog","Halien",3,5,0.6
"Adelog","Hangli",3,7,0.428571428571429
"Adelog","Hanoma",3,6,0.5
"Adelog","Hcarin",1,1,1
"Adelog","Heryth",2,3,0.666666666666667
"Adelog","Hischn",2,6,0.333333333333333
"Adelog","Hleuca",8,12,0.666666666666667
"Adelog","Hleuco",1,5,0.2
"Adelog","Hoblit",1,7,0.142857142857143
"Adelog","Hplicd",3,4,0.75
"Adelog","Hplicg",3,3,1
"Adelog","Hpolit",8,14,0.571428571428571
"Adelog","Hpruss",7,12,0.583333333333333
"Adelog","Hpurpu",1,5,0.2
"Adelog","Hsglab",3,3,1
"Adelog","Hspira",9,11,0.818181818181818
"Adelog","Hspirh",1,2,0.5
"Adelog","Htuber",1,2,0.5
"Agalli","Hplicg",2,2,1
"Aminim","Edaphn",1,1,1
"Aminim","Eelaea",2,2,1
"Aminim","Etesta",1,1,1
"Aminim","Evenus",1,1,1
"Aminim","Oadaph",2,3,0.666666666666667
"Aminim","Obella",1,2,0.5
"Aminim","Obridg",1,3,0.333333333333333
"Aminim","Ocolla",6,6,1
"Aminim","Ogalla",1,1,1
"Aminim","Opedun",3,5,0.6
"Aminim","Oproxi",1,5,0.2
"Aminim","Ovaria",2,2,1
"Aminim","Ovesic",1,4,0.25
"Aminim","Ovimin",5,7,0.714285714285714
"Aminim","Oviril",1,3,0.333333333333333
"Amorri","Ovesic",1,1,1
"Anigro","Oadaph",1,4,0.25
"Anigro","Ofoeti",1,2,0.5
"Anigro","Ohasta",1,4,0.25
"Anigro","Ohelve",1,1,1
"Anigro","Olappo",1,3,0.333333333333333
"Anigro","Onigri",1,2,0.5
"Anigro","Onorve",1,1,1
"Anigro","Oobscu",1,2,0.5
"Anigro","Oretus",1,1,1
"Anigro","Ovaria",1,2,0.5
"Anigro","Oviril",1,2,0.5
"Apante","Oproxi",1,1,1
"Aprost","Eelaea",1,1,1
"Apusil","Hacuti",2,5,0.4
"Apusil","Halien",5,8,0.625
"Apusil","Hangli",3,9,0.333333333333333
"Apusil","Heryth",3,9,0.333333333333333
"Apusil","Hischn",2,5,0.4
"Apusil","Hleuca",8,19,0.421052631578947
"Apusil","Hleuco",8,11,0.727272727272727
"Apusil","Hplicd",1,2,0.5
"Apusil","Hplicg",6,12,0.5
"Apusil","Hplicl",3,7,0.428571428571429
"Apusil","Hpolit",5,9,0.555555555555556
"Apusil","Hpruss",8,20,0.4
"Apusil","Hscapr",1,1,1
"Apusil","Hspira",3,3,1
"Apusil","Hspirh",1,1,1
"Apusil","Htuber",1,2,0.5
"Atroch","Hnudip",2,2,1
"Atroch","Htuber",1,1,1
"Atymbe","Oelaea",1,1,1
"Axanth","Ovesic",1,1,1
"Bbrevi","Enigri",1,2,0.5
"Bbrevi","Obella",1,1,1
"Bbrevi","Obridg",1,1,1
"Bbrevi","Ogalla",1,2,0.5
"Bbrevi","Okriec",1,2,0.5
"Bbrevi","Oproxi",6,6,1
"Bconju","Oproxi",2,3,0.666666666666667
"Bconju","Ovesic",1,1,1
"Bconju","Ovimin",1,3,0.333333333333333
"Bdisco","Obella",1,2,0.5
"Bdisco","Obridg",2,3,0.666666666666667
"Bdisco","Ofoeti",1,1,1
"Bdisco","Oproxi",8,8,1
"Bdisco","Ovaria",1,3,0.333333333333333
"Bdisco","Ovesic",3,5,0.6
"Bepitr","Oadaph",1,2,0.5
"Bepitr","Obella",1,1,1
"Bepitr","Ogalla",1,1,1
"Bepitr","Okriec",1,2,0.5
"Bepitr","Onival",1,1,1
"Bepitr","Oobscu",1,1,1
"Bepitr","Ovesic",3,5,0.6
"Bepitr","Ovimin",3,6,0.5
"Bimmut","Enigri",1,1,1
"Bimmut","Obrevi",1,1,1
"Bimmut","Opprox",2,2,1
"Bimmut","Oproxi",1,1,1
"Binter","Oadaph",1,1,1
"Binter","Obella",2,2,1
"Binter","Obridg",1,4,0.25
"Binter","Ofoeti",1,1,1
"Binter","Okriec",1,1,1
"Binter","Onigri",1,1,1
"Binter","Ovesic",3,4,0.75
"Binter","Ovimin",3,6,0.5
"Bkopel","Obrevi",2,2,1
"Bkopel","Obridg",1,2,0.5
"Bkopel","Ofoeti",1,3,0.333333333333333
"Bkopel","Oglauc",1,1,1
"Bkopel","Oherba",4,4,1
"Bkopel","Oobscu",2,3,0.666666666666667
"Bkopel","Opprox",1,1,1
"Bkopel","Oproxi",1,1,1
"Bkopel","Oretic",2,6,0.333333333333333
"Bkopel","Ovaria",1,4,0.25
"Blivid","Ovesic",1,1,1
"Blivid","Ovimin",1,2,0.5
"Bobscu","Obrevi",1,2,0.5
"Bobscu","Ovaria",1,1,1
"Bpicti","Ogalla",2,2,1
"Bpicti","Okriec",1,1,1
"Bpicti","Ovaria",1,1,1
"Bpicti","Ovesic",3,3,1
"Bpicti","Ovimin",1,3,0.333333333333333
"Bpulch","Okriec",1,1,1
"Bpulch","Ovesic",2,2,1
"Bracin","Eboreo",1,5,0.2
"Bracin","Eelaea",1,5,0.2
"Bracin","Elappo",1,7,0.142857142857143
"Bracin","Enigri",1,1,1
"Bracin","Eweiff",1,2,0.5
"Bracin","Hacuti",1,4,0.25
"Bracin","Hangli",2,7,0.285714285714286
"Bracin","Hanoma",1,4,0.25
"Bracin","Hischn",1,9,0.111111111111111
"Bracin","Hleuca",1,7,0.142857142857143
"Bracin","Hnudip",1,6,0.166666666666667
"Bracin","Hoblit",1,5,0.2
"Bracin","Hplicg",2,8,0.25
"Bracin","Hplicp",1,2,0.5
"Bracin","Hpolit",3,6,0.5
"Bracin","Hpruss",1,11,0.0909090909090909
"Bracin","Oaacut",1,1,1
"Bracin","Oadaph",3,7,0.428571428571429
"Bracin","Oarcti",2,6,0.333333333333333
"Bracin","Obella",1,2,0.5
"Bracin","Obrevi",2,2,1
"Bracin","Obridg",1,6,0.166666666666667
"Bracin","Ocolla",1,2,0.5
"Bracin","Odolic",2,6,0.333333333333333
"Bracin","Ofoeti",4,8,0.5
"Bracin","Ogalla",1,2,0.5
"Bracin","Oglabr",1,5,0.2
"Bracin","Oglauc",2,4,0.5
"Bracin","Ohasta",1,11,0.0909090909090909
"Bracin","Ohelve",1,2,0.5
"Bracin","Okriec",4,5,0.8
"Bracin","Olappo",3,5,0.6
"Bracin","Omacul",1,5,0.2
"Bracin","Omonti",1,3,0.333333333333333
"Bracin","Omyrti",1,2,0.5
"Bracin","Onigri",2,6,0.333333333333333
"Bracin","Onival",2,11,0.181818181818182
"Bracin","Onorve",1,2,0.5
"Bracin","Oobscu",5,8,0.625
"Bracin","Opedun",2,3,0.666666666666667
"Bracin","Opprox",1,1,1
"Bracin","Oproxi",6,9,0.666666666666667
"Bracin","Opustu",1,1,1
"Bracin","Oretus",2,3,0.666666666666667
"Bracin","Ospset",1,2,0.5
"Bracin","Otrian",1,2,0.5
"Bracin","Ovaria",3,14,0.214285714285714
"Bracin","Ovesic",3,8,0.375
"Bracin","Ovimin",4,11,0.363636363636364
"Bracsp","Eweiff",2,2,1
"Broman","Egemmh",2,8,0.25
"Broman","Elappc",3,7,0.428571428571429
"Broman","Oaacut",1,1,1
"Broman","Oarcti",1,7,0.142857142857143
"Broman","Obella",2,3,0.666666666666667
"Broman","Obrevi",3,3,1
"Broman","Obridg",2,9,0.222222222222222
"Broman","Odolic",5,7,0.714285714285714
"Broman","Ofoeti",6,11,0.545454545454545
"Broman","Ogalla",1,1,1
"Broman","Oglabr",5,8,0.625
"Broman","Oglauc",2,3,0.666666666666667
"Broman","Ohasta",7,15,0.466666666666667
"Broman","Oherba",8,8,1
"Broman","Okriec",1,2,0.5
"Broman","Olappl",5,12,0.416666666666667
"Broman","Olappo",5,11,0.454545454545455
"Broman","Omacul",3,8,0.375
"Broman","Omonti",1,2,0.5
"Broman","Omyrsi",4,5,0.8
