"source","model_rep","subset_id","removal_fraction","site_rep","n_sites_kept","n_observed_links","n_cooc_links","expected_links_raw","expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned"
"empirical",NA,1,0,1,341,939,3168,900.405902734709,937.864207231116,38.5940972652913,0.0428629989519988,1.13579276888379,0.00121104181194527
"empirical",NA,2,0.1,1,307,877,2882,800.698706798483,839.585752325562,76.3012932015172,0.0952933888286152,37.4142476744382,0.044562747248634
"empirical",NA,3,0.1,2,307,904,3054,836.860237712448,874.104409661854,67.1397622875521,0.0802281662599698,29.8955903381458,0.0342013951739596
"empirical",NA,4,0.1,3,307,912,3108,857.601676606797,894.901609523995,54.3983233932031,0.0634307568152578,17.0983904760049,0.019106447339054
"empirical",NA,5,0.1,4,307,885,2949,804.573746508158,841.540169298529,80.4262534918416,0.0999613196936772,43.4598307014714,0.0516432040762804
"empirical",NA,6,0.1,5,307,897,3052,841.122710808718,875.554854907327,55.877289191282,0.0664317922619845,21.4451450926728,0.0244932056198153
"empirical",NA,7,0.1,6,307,896,3054,848.679482635925,883.427258928954,47.320517364075,0.0557578194504027,12.572741071046,0.0142317785012531
"empirical",NA,8,0.1,7,307,902,3070,854.076647019205,889.85811347538,47.923352980795,0.056111302361505,12.1418865246203,0.0136447444157132
"empirical",NA,9,0.1,8,307,897,3073,851.599569405395,887.999888531823,45.4004305946055,0.0533119463955402,9.0001114681769,0.0101352619346127
"empirical",NA,10,0.1,9,307,898,3082,853.39394540136,891.055186008645,44.6060545986396,0.0522690075773398,6.94481399135498,0.00779392129735901
"empirical",NA,11,0.1,10,307,888,2998,838.179743311266,875.519517962319,49.8202566887338,0.0594386312557694,12.4804820376813,0.0142549443863095
"empirical",NA,12,0.1,11,307,902,2998,835.594696104567,869.653525345548,66.4053038954328,0.0794707101481204,32.3464746544523,0.0371946685797655
"empirical",NA,13,0.1,12,307,886,3037,829.297266239487,864.506236647323,56.7027337605131,0.0683744370913413,21.4937633526766,0.0248624734461517
"empirical",NA,14,0.1,13,307,874,2864,803.495512581554,838.780591486465,70.5044874184464,0.0877472074385609,35.219408513535,0.0419888214760907
"empirical",NA,15,0.1,14,307,900,3032,830.511644983372,867.25189190774,69.4883550166276,0.0836693325570634,32.7481080922604,0.0377607802275561
"empirical",NA,16,0.1,15,307,899,3047,843.263676777559,880.933506121754,55.7363232224415,0.0660959611534933,18.0664938782458,0.0205083513712427
"empirical",NA,17,0.1,16,307,896,3035,824.310436550993,861.417703593858,71.6895634490071,0.0869691323440769,34.5822964061416,0.040145792525349
"empirical",NA,18,0.1,17,307,907,3033,838.801581783241,875.099042243168,68.1984182167588,0.0813045894259917,31.9009577568324,0.0364541111541612
"empirical",NA,19,0.1,18,307,907,3062,839.597029828276,876.299901293768,67.4029701717241,0.0802801436607155,30.7000987062321,0.0350337808561961
"empirical",NA,20,0.1,19,307,907,3095,847.89890397517,884.280527015775,59.1010960248298,0.0697029984916226,22.7194729842253,0.0256926080470162
"empirical",NA,21,0.1,20,307,890,3003,836.344466769446,872.654197025263,53.6555332305536,0.0641548253888846,17.3458029747374,0.0198770635996096
"empirical",NA,22,0.1,21,307,888,2931,806.382446464269,843.016595154412,81.6175535357313,0.101214447181481,44.983404845588,0.0533600466516896
"empirical",NA,23,0.1,22,307,901,3074,859.783823170676,897.155493703784,41.2161768293236,0.0479378370685415,3.84450629621585,0.00428521735997439
"empirical",NA,24,0.1,23,307,889,3063,835.002694025857,870.203167245316,53.9973059741426,0.064667223663437,18.7968327546843,0.0216005106189016
"empirical",NA,25,0.1,24,307,909,3077,842.381328016801,880.23636817004,66.6186719831985,0.07908374719088,28.7636318299599,0.0326771681676341
"empirical",NA,26,0.1,25,307,876,2907,811.590291296481,846.243802770101,64.4097087035193,0.079362345008622,29.756197229899,0.0351626766807566
"empirical",NA,27,0.1,26,307,914,3129,870.288948889779,905.836557192053,43.7110511102211,0.0502259061958479,8.16344280794704,0.00901204830289958
"empirical",NA,28,0.1,27,307,885,2960,827.257957605549,864.728025306677,57.7420423944508,0.0697993193822902,20.2719746933232,0.0234431799364126
"empirical",NA,29,0.1,28,307,896,3020,828.601786272651,866.309468812971,67.3982137273493,0.0813396915670805,29.6905311870288,0.034272430645034
"empirical",NA,30,0.1,29,307,874,2921,800.712052305442,836.129216822411,73.2879476945578,0.0915284682971166,37.8707831775886,0.045292979142041
"empirical",NA,31,0.1,30,307,898,3029,843.783225705879,882.098629523082,54.2167742941213,0.0642543874331769,15.901370476918,0.0180267488744601
"empirical",NA,32,0.1,31,307,901,3044,845.387945641918,881.014668218735,55.612054358082,0.0657828806819037,19.9853317812648,0.0226844484004697
"empirical",NA,33,0.1,32,307,884,3031,829.356036965026,866.565288716833,54.643963034974,0.065887219239327,17.4347112831666,0.0201193280069908
"empirical",NA,34,0.1,33,307,899,3063,843.131554753146,877.463705463744,55.8684452468541,0.0662630225756542,21.5362945362559,0.024543800959692
"empirical",NA,35,0.1,34,307,874,2927,815.18404289708,852.561885203067,58.8159571029196,0.0721505255351831,21.4381147969331,0.0251455233561454
"empirical",NA,36,0.1,35,307,881,2976,814.080845719622,850.766424096089,66.9191542803777,0.0822020990080208,30.2335759039111,0.0355368701063082
"empirical",NA,37,0.1,36,307,923,3120,863.633501397595,901.059690474629,59.3664986024046,0.0687403840938701,21.9403095253712,0.0243494518257877
"empirical",NA,38,0.1,37,307,896,3043,836.973673509939,874.923587964183,59.0263264900613,0.0705235162804202,21.0764120358172,0.0240894317238135
"empirical",NA,39,0.1,38,307,915,3063,845.347884476204,881.890154917391,69.6521155237964,0.0823946174147634,33.1098450826094,0.0375441826830586
"empirical",NA,40,0.1,39,307,899,3016,829.123345406194,866.674425113706,69.8766545938059,0.0842777555124477,32.3255748862936,0.0372984063560575
"empirical",NA,41,0.1,40,307,899,3020,828.250479455633,865.778458940671,70.7495205443665,0.0854204401920377,33.2215410593288,0.0383718729846632
"empirical",NA,42,0.1,41,307,912,3080,859.249059838494,897.001160749338,52.750940161506,0.0613919090832886,14.9988392506622,0.0167210923541419
"empirical",NA,43,0.1,42,307,853,2732,756.881211268517,792.450781538125,96.1187887314831,0.126993228660532,60.5492184618753,0.076407544635581
"empirical",NA,44,0.1,43,307,897,3074,853.230665316277,889.265433775227,43.7693346837231,0.0512983609977245,7.73456622477329,0.00869770254302755
"empirical",NA,45,0.1,44,307,899,3046,828.924195079734,866.361544998198,70.0758049202664,0.0845382549287584,32.6384550018018,0.0376730190648867
"empirical",NA,46,0.1,45,307,892,2982,812.439531870202,851.008239774512,79.5604681297982,0.0979278641779695,40.9917602254884,0.0481684645454782
"empirical",NA,47,0.1,46,307,919,3097,859.328182086376,895.00919369763,59.6718179136241,0.0694400802365703,23.9908063023699,0.0268050948205958
"empirical",NA,48,0.1,47,307,883,2927,802.546531953713,838.374323040796,80.4534680462871,0.100247729998199,44.6256769592042,0.0532288212231336
"empirical",NA,49,0.1,48,307,890,3000,834.797053339186,871.676376383724,55.2029466608136,0.0661273856202558,18.3236236162761,0.0210211313656271
"empirical",NA,50,0.1,49,307,869,2880,797.857505039503,834.315023710334,71.1424949604972,0.089166918291976,34.6849762896655,0.0415729973738407
"empirical",NA,51,0.1,50,307,912,3085,858.141614606241,895.317269107147,53.8583853937595,0.0627616520129635,16.6827308928526,0.0186333174490083
"empirical",NA,52,0.1,51,307,900,3058,850.145416763515,886.374754615612,49.8545832364846,0.0586424184068178,13.6252453843884,0.0153718788959611
"empirical",NA,53,0.1,52,307,889,3029,842.737874827679,879.730310336018,46.2621251723215,0.0548950350448899,9.26968966398215,0.0105369674718171
"empirical",NA,54,0.1,53,307,902,3038,840.151087196971,876.585609006937,61.8489128030291,0.0736164170296774,25.4143909930626,0.0289924802916329
"empirical",NA,55,0.1,54,307,900,3097,862.532373154004,897.313777942962,37.4676268459961,0.0434390963309458,2.68622205703821,0.00299362622425815
"empirical",NA,56,0.1,55,307,887,2939,810.469336340548,846.633075614028,76.530663659452,0.0944275868659081,40.3669243859724,0.0476793614006823
"empirical",NA,57,0.1,56,307,886,2937,811.669294811184,849.449601983194,74.3307051888161,0.0915775743446195,36.550398016806,0.0430283302640585
"empirical",NA,58,0.1,57,307,902,3027,846.693708896364,881.448400804063,55.3062911036359,0.0653203047601779,20.5515991959367,0.0233157144277411
"empirical",NA,59,0.1,58,307,911,3103,862.32730484851,898.173652064589,48.6726951514901,0.0564434117739559,12.826347935411,0.0142804767273319
"empirical",NA,60,0.1,59,307,904,3108,868.398369540773,905.878371697434,35.6016304592272,0.0409968877279837,-1.87837169743364,-0.00207353631140784
"empirical",NA,61,0.1,60,307,893,2997,833.966102439426,869.565925625133,59.0338975605742,0.0707869269361126,23.4340743748669,0.0269491635818412
"empirical",NA,62,0.1,61,307,906,3067,843.254647207836,880.736456621922,62.7453527921642,0.0744085466945544,25.2635433780777,0.0286845664081811
"empirical",NA,63,0.1,62,307,909,3105,872.608067109124,908.34352230812,36.3919328908755,0.0417047862179854,0.656477691879786,0.000722719627274561
"empirical",NA,64,0.1,63,307,903,2974,832.958262780969,867.560910162386,70.0417372190307,0.0840879313510676,35.4390898376142,0.0408491086014709
"empirical",NA,65,0.1,64,307,866,2812,775.539456060417,810.307630497875,90.4605439395825,0.116642091169808,55.6923695021252,0.0687299087482445
"empirical",NA,66,0.1,65,307,899,3015,830.987730677565,867.008543483904,68.0122693224354,0.0818450944720688,31.9914565160962,0.0368986635212898
"empirical",NA,67,0.1,66,307,895,3102,853.856712996513,889.390700932044,41.1432870034871,0.0481852357394948,5.6092990679565,0.00630690096273572
"empirical",NA,68,0.1,67,307,859,2813,777.687044432457,816.107502781056,81.312955567543,0.104557425959029,42.8924972189444,0.0525574107244197
"empirical",NA,69,0.1,68,307,872,2877,784.781332064332,822.521436825345,87.218667935668,0.111137541595495,49.4785631746553,0.0601547399975687
"empirical",NA,70,0.1,69,307,905,3054,836.235272338881,874.703658084977,68.7647276611185,0.0822313168742443,30.2963419150233,0.0346361211994383
"empirical",NA,71,0.1,70,307,914,3118,860.998068636788,895.725612317658,53.0019313632116,0.0615587110980738,18.2743876823422,0.0204017697284081
"empirical",NA,72,0.1,71,307,905,3017,818.97539063574,855.894678908246,86.02460936426,0.105039309297783,49.1053210917545,0.0573730884206358
"empirical",NA,73,0.1,72,307,912,3118,862.423063607575,900.009997163977,49.5769363924254,0.0574856337735701,11.9900028360227,0.0133220773922561
"empirical",NA,74,0.1,73,307,907,3087,850.041248408472,886.899366030765,56.9587515915276,0.0670070443030514,20.1006339692348,0.0226639399452874
"empirical",NA,75,0.1,74,307,908,3091,855.672381574413,892.810165982923,52.327618425587,0.0611538008616168,15.1898340170769,0.0170135092495883
"empirical",NA,76,0.1,75,307,896,3041,842.408699268585,878.47318954592,53.5913007314153,0.0636167465719972,17.5268104540804,0.0199514460573805
"empirical",NA,77,0.1,76,307,898,3026,839.692207997454,874.547549339409,58.3077920025457,0.0694394820473581,23.4524506605907,0.0268166672907671
"empirical",NA,78,0.1,77,307,882,2894,771.157230458129,809.072580117363,110.842769541871,0.143735628953413,72.9274198826371,0.0901370552837897
"empirical",NA,79,0.1,78,307,875,2892,797.634627616482,835.851463661722,77.3653723835183,0.0969934976553163,39.1485363382783,0.0468367144645237
"empirical",NA,80,0.1,79,307,894,3049,833.975133169868,869.648136950065,60.0248668301324,0.071974408399904,24.3518630499351,0.0280019723095588
"empirical",NA,81,0.1,80,307,894,2969,825.905948645421,862.291756791471,68.0940513545794,0.0824477066259922,31.708243208529,0.0367720588290362
"empirical",NA,82,0.1,81,307,897,2917,800.817188478136,839.435154081197,96.182811521864,0.120105828028802,57.5648459188028,0.0685756912120393
"empirical",NA,83,0.1,82,307,904,3104,866.96021999299,901.645849972546,37.0397800070103,0.0427237365138966,2.35415002745367,0.00261094755499108
"empirical",NA,84,0.1,83,307,865,2830,772.389923588388,811.585675959511,92.6100764116122,0.119900679156147,53.4143240404886,0.0658147693123571
"empirical",NA,85,0.1,84,307,917,3127,873.29335273986,909.65090900434,43.7066472601397,0.0500480704714114,7.34909099565959,0.00807902341756966
"empirical",NA,86,0.1,85,307,876,2950,814.085898545712,844.428184184738,61.9141014542885,0.0760535240383014,31.5718158152616,0.0373883965582496
"empirical",NA,87,0.1,86,307,896,3024,838.438785479836,875.485636664128,57.5612145201641,0.0686528527985761,20.5143633358722,0.0234319816074177
"empirical",NA,88,0.1,87,307,907,3033,844.75002560013,879.503799872967,62.2499743998699,0.0736904084206994,27.4962001270326,0.0312633102108303
"empirical",NA,89,0.1,88,307,895,3015,813.445809204211,852.289529691663,81.5541907957891,0.100257681425113,42.7104703083368,0.0501126305327115
