"removal_fraction","rep","n_sites_kept","n_predators","n_resources","n_realised_links","n_cooc_links","n_expected_links_raw","n_expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned","mean_abs_species_error_raw","mean_abs_species_error_conditioned"
0,1,374,126,94,939,3168,900.405902734709,937.864207231116,38.5940972652913,0.0428629989519988,1.13579276888379,0.00121104181194527,1.85082666055324,1.78806827664135
0.1,1,337,121,94,896,2998,821.269782538908,858.410807350449,74.7302174610921,0.0909935067013765,37.5891926495514,0.0437892816908647,1.77534394814396,1.69241542007794
0.1,2,337,124,93,912,3084,861.744613159409,899.019207897712,50.255386840591,0.0583181908806368,12.9807921022876,0.0144388373332337,1.82791761513965,1.76197589438535
0.1,3,337,117,93,869,2914,803.645762236777,838.677657112776,65.3542377632234,0.0813221954674704,30.3223428872242,0.036154942998734,1.81485472949793,1.73167277681812
0.1,4,337,115,93,872,2858,799.141342869299,833.069919287414,72.8586571307007,0.0911711773903517,38.930080712586,0.0467308683356203,1.87742359105759,1.78448518572042
0.1,5,337,119,94,881,2954,802.565559738689,837.296375358193,78.4344402613109,0.097729636301424,43.7036246418065,0.0521961230551252,1.82665395182774,1.76799563430232
0.1,6,337,119,92,892,2949,805.316778570673,841.17885694589,86.6832214293272,0.107638663114878,50.8211430541103,0.0604165720933942,1.78799635987605,1.69608377738852
0.1,7,337,124,94,893,2995,822.69585043527,861.311636698644,70.3041495647295,0.0854558212825957,31.6883633013558,0.0367908222194877,1.84313875773565,1.77968283027353
0.1,8,337,124,93,912,3075,854.782173548886,892.465754999046,57.2178264511141,0.0669384882157252,19.5342450009538,0.0218879490798778,1.81458814261838,1.75451257590552
0.1,9,337,118,93,870,2881,805.9154601558,841.621847474676,64.0845398442004,0.0795176951088786,28.378152525324,0.0337184123849374,1.88647090294352,1.81967013812137
0.1,10,337,122,93,904,3042,837.212714867365,873.636285355284,66.7872851326346,0.0797733765226144,30.3637146447162,0.0347555557772742,1.79825357355177,1.73984771700612
0.1,11,337,125,93,886,2972,812.709369382369,851.612270643423,73.2906306176305,0.090180614840615,34.3877293565765,0.0403795606780012,1.83716144693133,1.76182442856703
0.1,12,337,122,94,892,3041,826.857637865001,863.17863646593,65.1423621349988,0.0787830445676242,28.8213635340696,0.0333898017356772,1.79921890636153,1.76164230985218
0.1,13,337,122,93,894,3009,834.592540485032,872.257019065301,59.4074595149683,0.0711813928751904,21.7429809346993,0.0249272639364929,1.83023721210043,1.75098740101588
0.1,14,337,117,94,896,2972,822.158327618988,856.099731063012,73.8416723810118,0.0898144188295957,39.9002689369879,0.0466070336074561,1.83158539071815,1.75895052934929
0.1,15,337,116,93,862,2811,776.610359202686,813.027468720913,85.3896407973144,0.109951714892112,48.9725312790868,0.060234780697056,1.9060147663145,1.81211308755825
0.1,16,337,122,94,906,3089,854.493855292788,890.102227750683,51.5061447072121,0.0602767877009061,15.8977722493173,0.0178606139313812,1.87664159010448,1.8247501976406
0.1,17,337,121,94,889,2937,817.906281841152,855.56993688913,71.0937181588482,0.0869215944873444,33.4300631108697,0.0390734429407631,1.82639879599384,1.73579702710027
0.1,18,337,121,94,891,3007,847.294193037257,884.290800987708,43.7058069627431,0.0515828000733403,6.70919901229206,0.00758709578884935,1.90116431505354,1.82375971417394
0.1,19,337,119,93,896,2959,834.457329371043,870.44009852689,61.5426706289571,0.0737517287736496,25.5599014731098,0.0293643428380272,1.8898262287792,1.80391194865265
0.1,20,337,116,94,881,2985,832.163298446784,865.881724816856,48.836701553216,0.058686440082576,15.1182751831439,0.0174599772114853,1.9391648533543,1.87209880792711
0.1,21,337,119,94,895,2970,812.928307458098,849.381224580384,82.0716925419016,0.100958094076619,45.6187754196163,0.0537082456021478,1.85110268654859,1.75433198696024
0.1,22,337,118,94,856,2816,777.215873083071,814.41128022227,78.7841269169289,0.101367110021064,41.5887197777296,0.0510659918246456,1.9225777848158,1.83158237527142
0.1,23,337,124,94,914,3137,876.10718257126,912.048353154456,37.89281742874,0.0432513489017743,1.95164684554413,0.00213985019411972,1.76929195265704,1.72226762840476
0.1,24,337,119,93,873,2877,775.926942817172,812.280810879134,97.0730571828279,0.125105924058241,60.7191891208655,0.0747514754843819,1.69040595638157,1.60323075231622
0.1,25,337,121,93,891,2968,817.603707481326,855.788985377555,73.3962925186743,0.0897700094154119,35.2110146224453,0.0411445055078747,1.8502079960326,1.75219749188658
0.1,26,337,121,94,912,3064,851.328806524714,886.668253629247,60.6711934752865,0.0712664636862905,25.3317463707526,0.0285695876299467,1.87723910084914,1.80067105401498
0.1,27,337,124,93,880,2995,830.911529358034,869.602239751355,49.0884706419655,0.059077854750543,10.3977602486449,0.0119569152117385,1.76618978921077,1.69929635928704
0.1,28,337,116,93,859,2832,781.26179029949,816.482155780379,77.7382097005095,0.0995034067526958,42.5178442196213,0.0520744316561132,1.93545443765417,1.8404132293207
0.1,29,337,122,93,899,3012,840.730761387844,878.311934122093,58.269238612156,0.0693078465643002,20.6880658779073,0.0235543490577591,1.83797675123711,1.75664862596658
0.1,30,337,122,94,904,3055,844.677452030896,881.30941142706,59.3225479691043,0.0702310069085809,22.6905885729395,0.0257464498605521,1.78895244512895,1.73290298193272
0.1,31,337,121,93,910,3079,865.724782631781,901.670344457442,44.275217368219,0.0511423702503046,8.32965554255782,0.00923802761592429,1.84535640969494,1.77274348294995
