"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Aacumi","Eappen",1,1,1,"empirical",NA
"Aacumi","Eatraa",3,3,1,"empirical",NA
"Aacumi","Eaurit",5,5,1,"empirical",NA
"Aacumi","Eciner",1,1,1,"empirical",NA
"Aacumi","Eelaea",6,7,0.857142857142857,"empirical",NA
"Aacumi","Egemmh",1,1,1,"empirical",NA
"Aacumi","Emucro",2,4,0.5,"empirical",NA
"Aacumi","Enigri",1,1,1,"empirical",NA
"Aacumi","Epurpu",6,6,1,"empirical",NA
"Aacumi","Etesta",3,3,1,"empirical",NA
"Aacumi","Hischn",1,2,0.5,"empirical",NA
"Aalvea","Ovaria",1,1,1,"empirical",NA
"Aalvea","Ovesic",1,2,0.5,"empirical",NA
"Aalvea","Ovimin",2,2,1,"empirical",NA
"Acubic","Heryth",1,1,1,"empirical",NA
"Acubic","Hplicd",1,1,1,"empirical",NA
"Acubic","Oarcti",4,6,0.666666666666667,"empirical",NA
"Acubic","Oherba",2,4,0.5,"empirical",NA
"Acubic","Olappo",10,11,0.909090909090909,"empirical",NA
"Acubic","Onival",2,10,0.2,"empirical",NA
"Acubic","Opustu",2,3,0.666666666666667,"empirical",NA
"Acubic","Osamol",5,9,0.555555555555556,"empirical",NA
"Adelog","Halien",3,5,0.6,"empirical",NA
"Adelog","Hangli",3,7,0.428571428571429,"empirical",NA
"Adelog","Hanoma",3,6,0.5,"empirical",NA
"Adelog","Hcarin",1,1,1,"empirical",NA
"Adelog","Heryth",2,3,0.666666666666667,"empirical",NA
"Adelog","Hischn",2,6,0.333333333333333,"empirical",NA
"Adelog","Hleuca",8,12,0.666666666666667,"empirical",NA
"Adelog","Hleuco",1,5,0.2,"empirical",NA
"Adelog","Hoblit",1,7,0.142857142857143,"empirical",NA
"Adelog","Hplicd",3,4,0.75,"empirical",NA
"Adelog","Hplicg",3,3,1,"empirical",NA
"Adelog","Hpolit",8,14,0.571428571428571,"empirical",NA
"Adelog","Hpruss",7,12,0.583333333333333,"empirical",NA
"Adelog","Hpurpu",1,5,0.2,"empirical",NA
"Adelog","Hsglab",3,3,1,"empirical",NA
"Adelog","Hspira",9,11,0.818181818181818,"empirical",NA
"Adelog","Hspirh",1,2,0.5,"empirical",NA
"Adelog","Htuber",1,2,0.5,"empirical",NA
"Agalli","Hplicg",2,2,1,"empirical",NA
"Aminim","Edaphn",1,1,1,"empirical",NA
"Aminim","Eelaea",2,2,1,"empirical",NA
"Aminim","Etesta",1,1,1,"empirical",NA
"Aminim","Evenus",1,1,1,"empirical",NA
"Aminim","Oadaph",2,3,0.666666666666667,"empirical",NA
"Aminim","Obella",1,2,0.5,"empirical",NA
"Aminim","Obridg",1,3,0.333333333333333,"empirical",NA
"Aminim","Ocolla",6,6,1,"empirical",NA
"Aminim","Ogalla",1,1,1,"empirical",NA
"Aminim","Opedun",3,5,0.6,"empirical",NA
"Aminim","Oproxi",1,5,0.2,"empirical",NA
"Aminim","Ovaria",2,2,1,"empirical",NA
"Aminim","Ovesic",1,4,0.25,"empirical",NA
"Aminim","Ovimin",5,7,0.714285714285714,"empirical",NA
"Aminim","Oviril",1,3,0.333333333333333,"empirical",NA
"Amorri","Ovesic",1,1,1,"empirical",NA
"Anigro","Oadaph",1,4,0.25,"empirical",NA
"Anigro","Ofoeti",1,2,0.5,"empirical",NA
"Anigro","Ohasta",1,4,0.25,"empirical",NA
"Anigro","Ohelve",1,1,1,"empirical",NA
"Anigro","Olappo",1,3,0.333333333333333,"empirical",NA
"Anigro","Onigri",1,2,0.5,"empirical",NA
"Anigro","Onorve",1,1,1,"empirical",NA
"Anigro","Oobscu",1,2,0.5,"empirical",NA
"Anigro","Oretus",1,1,1,"empirical",NA
"Anigro","Ovaria",1,2,0.5,"empirical",NA
"Anigro","Oviril",1,2,0.5,"empirical",NA
"Apante","Oproxi",1,1,1,"empirical",NA
"Aprost","Eelaea",1,1,1,"empirical",NA
"Apusil","Hacuti",2,5,0.4,"empirical",NA
"Apusil","Halien",5,8,0.625,"empirical",NA
"Apusil","Hangli",3,9,0.333333333333333,"empirical",NA
"Apusil","Heryth",3,9,0.333333333333333,"empirical",NA
"Apusil","Hischn",2,5,0.4,"empirical",NA
"Apusil","Hleuca",8,19,0.421052631578947,"empirical",NA
"Apusil","Hleuco",8,11,0.727272727272727,"empirical",NA
"Apusil","Hplicd",1,2,0.5,"empirical",NA
"Apusil","Hplicg",6,12,0.5,"empirical",NA
"Apusil","Hplicl",3,7,0.428571428571429,"empirical",NA
"Apusil","Hpolit",5,9,0.555555555555556,"empirical",NA
"Apusil","Hpruss",8,20,0.4,"empirical",NA
"Apusil","Hscapr",1,1,1,"empirical",NA
"Apusil","Hspira",3,3,1,"empirical",NA
"Apusil","Hspirh",1,1,1,"empirical",NA
"Apusil","Htuber",1,2,0.5,"empirical",NA
"Atroch","Hnudip",2,2,1,"empirical",NA
"Atroch","Htuber",1,1,1,"empirical",NA
"Atymbe","Oelaea",1,1,1,"empirical",NA
"Axanth","Ovesic",1,1,1,"empirical",NA
"Bbrevi","Enigri",1,2,0.5,"empirical",NA
"Bbrevi","Obella",1,1,1,"empirical",NA
"Bbrevi","Obridg",1,1,1,"empirical",NA
"Bbrevi","Ogalla",1,2,0.5,"empirical",NA
"Bbrevi","Okriec",1,2,0.5,"empirical",NA
"Bbrevi","Oproxi",6,6,1,"empirical",NA
"Bconju","Oproxi",2,3,0.666666666666667,"empirical",NA
"Bconju","Ovesic",1,1,1,"empirical",NA
"Bconju","Ovimin",1,3,0.333333333333333,"empirical",NA
"Bdisco","Obella",1,2,0.5,"empirical",NA
"Bdisco","Obridg",2,3,0.666666666666667,"empirical",NA
"Bdisco","Ofoeti",1,1,1,"empirical",NA
"Bdisco","Oproxi",8,8,1,"empirical",NA
"Bdisco","Ovaria",1,3,0.333333333333333,"empirical",NA
"Bdisco","Ovesic",3,5,0.6,"empirical",NA
"Bepitr","Oadaph",1,2,0.5,"empirical",NA
"Bepitr","Obella",1,1,1,"empirical",NA
"Bepitr","Ogalla",1,1,1,"empirical",NA
"Bepitr","Okriec",1,2,0.5,"empirical",NA
"Bepitr","Onival",1,1,1,"empirical",NA
"Bepitr","Oobscu",1,1,1,"empirical",NA
