"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
1,851,1.38660399529965,1,3,7,0.739130434782609,0.43002858707282,0.333333333333333
2,880,1.3375,1,3,5,0.748863636363636,0.427769658036381,0.333333333333333
3,905,1.39337016574586,1,3,8,0.750276243093923,0.428947250772845,0.333333333333333
4,912,1.37938596491228,1,3,6,0.744517543859649,0.428241474362512,0.333333333333333
5,885,1.4180790960452,1,3,8,0.728813559322034,0.422712090765575,0.3
6,916,1.3853711790393,1,3,6,0.739082969432314,0.437283148017026,0.333333333333333
7,898,1.37416481069042,1,3,8,0.750556792873051,0.426653364126563,0.333333333333333
8,900,1.40666666666667,1,3,7,0.715555555555556,0.435527418124103,0.333333333333333
9,904,1.40265486725664,1,3,8,0.757743362831858,0.437804787511512,0.333333333333333
10,896,1.41964285714286,1,3,8,0.734375,0.432690374410053,0.333333333333333
11,930,1.41182795698925,1,3,7,0.736559139784946,0.441721580370923,0.333333333333333
12,905,1.40883977900552,1,3,8,0.729281767955801,0.424436261651965,0.333333333333333
13,898,1.36748329621381,1,3,11,0.759465478841871,0.423809472418245,0.333333333333333
14,928,1.35560344827586,1,3,10,0.764008620689655,0.432005631221857,0.333333333333333
15,894,1.3993288590604,1,3,7,0.749440715883669,0.423925092816078,0.333333333333333
16,927,1.39697950377562,1,3,8,0.730312837108954,0.431491053591952,0.333333333333333
17,907,1.41565600882029,1,3,7,0.729878721058434,0.432785856096204,0.333333333333333
18,883,1.34428086070215,1,3,7,0.774631936579841,0.420479786209826,0.333333333333333
19,839,1.38140643623361,1,3,6,0.735399284862932,0.422111311628654,0.285714285714286
20,915,1.40874316939891,1,3,9,0.743169398907104,0.442180045126984,0.333333333333333
21,918,1.39542483660131,1,3,8,0.727668845315904,0.426088103803352,0.333333333333333
22,894,1.40604026845638,1,3,7,0.740492170022371,0.408950144877407,0.285714285714286
23,930,1.38924731182796,1,3,10,0.731182795698925,0.434653773097582,0.333333333333333
24,904,1.39601769911504,1,3,8,0.747787610619469,0.432165936232933,0.333333333333333
25,935,1.40106951871658,1,3,8,0.749732620320856,0.430416745871179,0.333333333333333
26,911,1.403951701427,1,3,8,0.727771679473107,0.420251441124656,0.333333333333333
27,932,1.42274678111588,1,3,7,0.734978540772532,0.421317917269517,0.333333333333333
28,891,1.38496071829405,1,3,9,0.749719416386083,0.429487930478835,0.333333333333333
29,927,1.41639697950378,1,3,9,0.729234088457389,0.426972972957625,0.333333333333333
30,872,1.34862385321101,1,3,7,0.767201834862385,0.428894382155022,0.333333333333333
31,928,1.37715517241379,1,3,7,0.745689655172414,0.435385150894338,0.333333333333333
32,889,1.38245219347582,1,3,9,0.754780652418448,0.416359827465997,0.285714285714286
33,876,1.39041095890411,1,3,6,0.734018264840183,0.424220522546287,0.333333333333333
34,910,1.39230769230769,1,3,8,0.746153846153846,0.429170734590361,0.333333333333333
35,878,1.39749430523918,1,3,6,0.739179954441913,0.436642669169746,0.333333333333333
36,927,1.41208198489752,1,3,8,0.746494066882416,0.435715259715124,0.333333333333333
37,918,1.37472766884532,1,3,7,0.746187363834423,0.430441903367906,0.333333333333333
38,934,1.39400428265525,1,3,8,0.729122055674518,0.441668621294324,0.333333333333333
39,922,1.36334056399132,1,3,6,0.752711496746204,0.413540982487933,0.310096153846154
