"","species","total_pot_pred"
"1","Ovimin",76
"77","Ogalla",48
"125","Obridg",79
"204","Ovesic",68
"272","Opedun",47
"319","Otrian",27
"346","Oproxi",48
"394","Obella",37
"431","Ohasta",61
"492","Onigri",50
"542","Ovaria",70
"612","Onival",54
"666","Oobscu",45
"711","Ofoeti",46
"757","Oretus",31
"788","Oretic",40
"828","Omacul",37
"865","Omonti",37
"902","Eelaea",50
"952","Oviril",51
"1003","Ohelve",26
"1029","Oadaph",47
"1076","Hangli",47
"1123","Okriec",46
"1169","Obrevi",22
"1191","Egemmh",35
"1226","Ocolla",28
"1254","Odolic",38
"1292","Oarcti",42
"1334","Oglauc",29
"1363","Oglabr",37
"1400","Olappo",35
"1435","Onorve",22
"1457","Olappl",37
"1494","Ospset",20
"1514","Osamol",38
"1552","Omyrti",21
"1573","Emyrti",22
"1595","Omyrsi",25
"1620","Ospeit",20
"1640","Elappo",43
"1683","Elappc",35
"1718","Oherba",24
"1742","Emucro",29
"1771","Hleuco",51
"1822","Oelaea",21
"1843","Opustu",21
"1864","Evenus",36
"1900","Ehasta",49
"1949","Ephyli",24
"1973","Hpruss",54
"2027","Egemmf",46
"2073","Eboreo",48
"2121","Emyrsi",40
"2161","Hischn",54
"2215","Hcarin",21
"2236","Hplicg",55
"2291","Hspirh",21
"2312","Enigri",28
"2340","Hspira",21
"2361","Elanat",33
"2394","Hnudip",46
"2440","Hacuti",37
"2477","Hplicl",34
"2511","Etesta",23
"2534","Hplicd",37
"2571","Edaphn",33
"2604","Hpolit",55
"2659","Epurpu",41
"2700","Eatraa",35
"2735","Eangus",17
"2752","Hleuca",47
"2799","Hoblit",36
"2835","Heryth",25
"2860","Halien",31
"2891","Hsglab",3
"2894","Htuber",32
"2926","Eweiff",25
"2951","Esubge",16
"2967","Egemmc",23
"2990","Eaurit",22
"3012","Esmyrt",19
"3031","Esmyrs",18
"3049","Eciner",18
"3067","Eappen",14
"3081","Hpscho",15
"3096","Hplicp",18
"3114","Hscapr",20
"3134","Hanoma",25
"3159","Oaacut",6
"3165","Hpurpu",19
"3184","Opolar",17
"3201","Opprox",10
"3211","Hspecc",10
"3221","Hsglau",28
"3249","Hslana",12
