"","species","interactions"
"53","Eappen",5
"54","Eatraa",6
"55","Eaurit",6
"56","Eboreo",8
"58","Eciner",5
"60","Edaphn",6
"61","Eelaea",15
"63","Egemmc",3
"64","Egemmf",6
"65","Egemmh",7
"66","Ehasta",7
"68","Elanat",4
"69","Elappc",11
"70","Elappo",9
"71","Emucro",11
"72","Emyrsi",8
"73","Emyrti",6
"74","Enigri",9
"76","Ephyli",1
"77","Epurpu",8
"81","Esmyrs",3
"82","Esmyrt",3
"84","Esubge",1
"86","Etesta",8
"91","Evenus",10
"92","Eweiff",17
"95","Hacuti",6
"96","Halien",11
"97","Hangli",13
"98","Hanoma",4
"99","Hcarin",5
"100","Heryth",9
"101","Hischn",14
"102","Hleuca",8
"103","Hleuco",6
"104","Hnudip",8
"105","Hoblit",8
"106","Hplicd",5
"107","Hplicg",16
"108","Hplicl",8
"109","Hplicp",4
"110","Hpolit",10
"111","Hpruss",9
"112","Hpscho",2
"113","Hpurpu",5
"115","Hscapr",5
"116","Hsglab",1
"117","Hsglau",2
"118","Hspecc",1
"119","Hspira",5
"120","Hspirh",4
"121","Htuber",5
"143","Oaacut",4
"144","Oadaph",16
"145","Oarcti",15
"146","Obella",15
"147","Obrevi",14
"148","Obridg",29
"149","Ocolla",13
"150","Odolic",14
"151","Oelaea",8
"152","Ofoeti",21
"153","Ogalla",18
"154","Oglabr",14
"155","Oglauc",12
"156","Ohasta",20
"157","Ohelve",9
"158","Oherba",11
"159","Okriec",22
"160","Olappl",12
"161","Olappo",16
"163","Omacul",14
"164","Omonti",9
"165","Omyrsi",10
"166","Omyrti",6
"167","Onigri",19
"168","Onival",18
"169","Onorve",10
"170","Oobscu",21
"171","Opedun",12
"172","Opolar",1
"173","Opprox",5
"174","Oproxi",23
"175","Opustu",10
"176","Oretic",10
"177","Oretus",9
"178","Osamol",13
"179","Ospeit",3
"180","Ospset",8
"181","Otrian",8
"182","Ovaria",25
"183","Ovesic",30
"184","Ovimin",26
"185","Oviril",9
