"","species","interactions","indegree","rep"
"1","Aacumi",11,13,1
"2","Aalvea",3,3,1
"3","Acubic",8,20,1
"4","Adelog",18,16,1
"5","Agalli",1,3,1
"6","Aminim",15,6,1
"7","Amorri",1,2,1
"8","Anigro",11,8,1
"9","Apante",1,2,1
"10","Aprost",1,2,1
"11","Apusil",16,24,1
"12","Atroch",2,6,1
"13","Atymbe",1,1,1
"14","Axanth",1,1,1
"15","Bbrevi",6,9,1
"16","Bconju",3,2,1
"17","Bdisco",6,5,1
"18","Bepitr",8,10,1
"19","Bimmut",4,3,1
"20","Binter",8,6,1
"21","Bkopel",10,13,1
"22","Blivid",2,1,1
"23","Bobscu",2,1,1
"24","Bpicti",5,8,1
"25","Bpulch",2,2,1
"26","Bracin",49,31,1
"27","Bracsp",1,1,1
"28","Broman",31,22,1
"29","Campop",1,1,1
"30","Ccruxx",25,22,1
"31","Cdorsa",2,2,1
"32","Celong",33,24,1
"33","Cflavi",3,4,1
"34","Cgraci",1,1,1
"35","Chalci",80,26,1
"36","Cincer",2,3,1
"37","Claevi",10,15,1
"38","Cnrsub",1,5,1
"39","Coreop",2,1,1
"40","Croman",4,7,1
"41","Csalic",3,4,1
"42","Ctenoc",1,1,1
"43","Ctrifa",1,4,1
"44","Cvarie",1,2,1
"45","Cvitta",5,8,1
"46","Dcoleo",1,1,1
"47","Dlongi",1,1,1
"48","Dstram",3,1,1
"49","Dwestw",1,4,1
"50","Eacicu",36,25,1
"51","Ealbit",6,4,1
"52","Eanali",2,5,1
"53","Ecalca",1,1,1
"54","Eclytu",1,4,1
"55","Efront",1,2,1
"56","Eheyer",1,1,1
"57","Enobbe",19,20,1
"58","Epygma",9,13,1
"59","Eridol",2,1,1
"60","Esalic",13,22,1
"61","Espone",1,1,1
"62","Etaige",1,7,1
"63","Etorym",24,24,1
"64","Etoxon",8,9,1
"65","Eurozo",5,5,1
"66","Euryto",1,1,1
"67","Geliss",2,9,1
"68","Gornat",1,1,1
"69","Hruber",27,15,1
"70","Ialter",1,2,1
"71","Ibrevi",2,4,1
"72","Ichnin",54,25,1
"73","Ichnsp",1,1,1
"74","Ilappo",16,13,1
"75","Ireuni",4,4,1
"76","Lalpic",2,1,1
"77","Lalpio",2,4,1
"78","Lalpiu",1,5,1
"79","Latole",3,12,1
"80","Lflexi",8,6,1
"81","Lforti",6,10,1
"82","Llappo",1,4,1
"83","Llugen",5,13,1
"84","Lpunct",4,9,1
"85","Lsubco",1,1,1
"86","Mesole",10,8,1
"87","Mlongi",1,1,1
"88","Mspone",1,3,1
"89","Mvesic",4,5,1
"90","Mymari",1,1,1
"91","Olesic",2,5,1
"92","Pclavi",1,4,1
"93","Pcynip",13,14,1
"94","Pdolic",55,27,1
"95","Peuura",19,24,1
"96","Pnemat",3,3,1
"97","Polybl",1,1,1
"98","Ppecti",1,3,1
"99","Pponta",27,17,1
"100","Ppumil",3,4,1
"101","Psauli",1,2,1
"102","Psoemi",1,5,1
"103","Pterom",1,1,1
"104","Rbrach",2,1,1
"105","Salcal",1,2,1
"106","Salpin",1,2,1
"107","Saotis",3,3,1
"108","Sborea",1,2,1
"109","Sgranu",5,7,1
"110","Slappo",17,16,1
"111","Smorle",10,12,1
"112","Snigri",2,1,1
"113","Spygid",4,12,1
"114","Srenov",2,10,1
"115","Ssubar",2,6,1
"116","Strico",8,13,1
"117","Svesic",43,28,1
"118","Tetras",1,1,1
"119","Themip",1,5,1
"120","Torymu",2,7,1
"121","Tspfiv",3,4,1
"122","Tspfou",1,3,1
"123","Tspone",2,4,1
"124","Tspsix",1,1,1
"125","Tspthr",1,1,1
"126","Tsptwo",1,2,1
"127","Aacumi",11,18,2
"128","Aalvea",3,7,2
"129","Acubic",8,12,2
"130","Adelog",18,20,2
"131","Agalli",1,1,2
"132","Aminim",15,8,2
"133","Amorri",1,5,2
"134","Anigro",11,12,2
"135","Apante",1,1,2
"136","Aprost",1,2,2
"137","Apusil",16,29,2
"138","Atroch",2,5,2
"139","Atymbe",1,1,2
"140","Axanth",1,1,2
"141","Bbrevi",6,8,2
"142","Bconju",3,1,2
"143","Bdisco",6,5,2
"144","Bepitr",8,13,2
"145","Bimmut",4,4,2
"146","Binter",8,8,2
"147","Bkopel",10,16,2
"148","Blivid",2,2,2
"149","Bobscu",2,1,2
"150","Bpicti",5,11,2
"151","Bpulch",2,1,2
"152","Bracin",49,22,2
"153","Bracsp",1,3,2
"154","Broman",31,25,2
"155","Campop",1,1,2
"156","Ccruxx",25,17,2
"157","Cdorsa",2,1,2
"158","Celong",33,29,2
"159","Cflavi",3,6,2
"160","Cgraci",1,1,2
"161","Chalci",80,28,2
"162","Cincer",2,1,2
"163","Claevi",10,13,2
"164","Cnrsub",1,3,2
"165","Coreop",2,3,2
"166","Croman",4,8,2
"167","Csalic",3,2,2
"168","Ctenoc",1,2,2
"169","Ctrifa",1,4,2
"170","Cvarie",1,1,2
"171","Cvitta",5,15,2
"172","Dcoleo",1,1,2
"173","Dlongi",1,1,2
"174","Dstram",3,2,2
"175","Dwestw",1,1,2
"176","Eacicu",36,28,2
"177","Ealbit",6,6,2
"178","Eanali",2,3,2
"179","Ecalca",1,3,2
"180","Eclytu",1,4,2
"181","Efront",1,1,2
"182","Eheyer",1,1,2
"183","Enobbe",19,22,2
"184","Epygma",9,12,2
"185","Eridol",2,1,2
"186","Esalic",13,12,2
"187","Espone",1,1,2
"188","Etaige",1,4,2
"189","Etorym",24,20,2
"190","Etoxon",8,8,2
"191","Eurozo",5,7,2
"192","Euryto",1,1,2
"193","Geliss",2,2,2
"194","Gornat",1,2,2
"195","Hruber",27,13,2
"196","Ialter",1,3,2
"197","Ibrevi",2,7,2
"198","Ichnin",54,24,2
"199","Ichnsp",1,1,2
"200","Ilappo",16,24,2
"201","Ireuni",4,4,2
"202","Lalpic",2,1,2
"203","Lalpio",2,5,2
"204","Lalpiu",1,3,2
"205","Latole",3,10,2
"206","Lflexi",8,16,2
"207","Lforti",6,7,2
"208","Llappo",1,5,2
"209","Llugen",5,7,2
"210","Lpunct",4,11,2
"211","Lsubco",1,1,2
"212","Mesole",10,17,2
"213","Mlongi",1,1,2
"214","Mspone",1,1,2
"215","Mvesic",4,3,2
"216","Mymari",1,2,2
"217","Olesic",2,4,2
"218","Pclavi",1,4,2
"219","Pcynip",13,13,2
"220","Pdolic",55,41,2
"221","Peuura",19,21,2
"222","Pnemat",3,7,2
"223","Polybl",1,1,2
"224","Ppecti",1,5,2
"225","Pponta",27,18,2
"226","Ppumil",3,2,2
"227","Psauli",1,3,2
"228","Psoemi",1,3,2
"229","Pterom",1,2,2
"230","Rbrach",2,4,2
"231","Salcal",1,1,2
"232","Salpin",1,3,2
"233","Saotis",3,1,2
"234","Sborea",1,3,2
"235","Sgranu",5,6,2
"236","Slappo",17,18,2
"237","Smorle",10,13,2
"238","Snigri",2,3,2
"239","Spygid",4,15,2
"240","Srenov",2,8,2
"241","Ssubar",2,5,2
"242","Strico",8,13,2
"243","Svesic",43,37,2
"244","Tetras",1,2,2
"245","Themip",1,4,2
"246","Torymu",2,4,2
"247","Tspfiv",3,2,2
"248","Tspfou",1,7,2
"249","Tspone",2,1,2
"250","Tspsix",1,1,2
"251","Tspthr",1,2,2
"252","Tsptwo",1,1,2
"253","Aacumi",11,16,3
"254","Aalvea",3,3,3
"255","Acubic",8,9,3
"256","Adelog",18,14,3
"257","Agalli",1,3,3
"258","Aminim",15,9,3
"259","Amorri",1,2,3
"260","Anigro",11,14,3
"261","Apante",1,1,3
"262","Aprost",1,2,3
"263","Apusil",16,19,3
"264","Atroch",2,3,3
"265","Atymbe",1,1,3
"266","Axanth",1,1,3
"267","Bbrevi",6,4,3
"268","Bconju",3,1,3
"269","Bdisco",6,8,3
"270","Bepitr",8,9,3
"271","Bimmut",4,4,3
"272","Binter",8,3,3
"273","Bkopel",10,14,3
"274","Blivid",2,1,3
"275","Bobscu",2,2,3
"276","Bpicti",5,6,3
"277","Bpulch",2,1,3
"278","Bracin",49,20,3
"279","Bracsp",1,1,3
"280","Broman",31,17,3
"281","Campop",1,1,3
"282","Ccruxx",25,19,3
"283","Cdorsa",2,4,3
"284","Celong",33,25,3
"285","Cflavi",3,6,3
"286","Cgraci",1,1,3
"287","Chalci",80,24,3
"288","Cincer",2,1,3
"289","Claevi",10,17,3
"290","Cnrsub",1,1,3
"291","Coreop",2,1,3
"292","Croman",4,7,3
"293","Csalic",3,1,3
"294","Ctenoc",1,3,3
"295","Ctrifa",1,3,3
"296","Cvarie",1,1,3
"297","Cvitta",5,5,3
"298","Dcoleo",1,1,3
"299","Dlongi",1,1,3
"300","Dstram",3,1,3
"301","Dwestw",1,1,3
"302","Eacicu",36,25,3
"303","Ealbit",6,9,3
"304","Eanali",2,7,3
"305","Ecalca",1,1,3
"306","Eclytu",1,1,3
"307","Efront",1,1,3
"308","Eheyer",1,1,3
"309","Enobbe",19,19,3
"310","Epygma",9,9,3
"311","Eridol",2,2,3
"312","Esalic",13,17,3
"313","Espone",1,1,3
"314","Etaige",1,3,3
"315","Etorym",24,26,3
"316","Etoxon",8,6,3
"317","Eurozo",5,4,3
"318","Euryto",1,1,3
"319","Geliss",2,1,3
"320","Gornat",1,1,3
"321","Hruber",27,17,3
"322","Ialter",1,1,3
"323","Ibrevi",2,8,3
"324","Ichnin",54,22,3
"325","Ichnsp",1,3,3
"326","Ilappo",16,22,3
"327","Ireuni",4,5,3
"328","Lalpic",2,3,3
"329","Lalpio",2,5,3
"330","Lalpiu",1,4,3
