"","species","interactions","outdegree","rep"
"1","Eappen",5,2,1
"2","Eatraa",6,9,1
"3","Eaurit",6,6,1
"4","Eboreo",8,19,1
"5","Eciner",5,6,1
"6","Edaphn",6,10,1
"7","Eelaea",15,9,1
"8","Egemmc",3,5,1
"9","Egemmf",6,13,1
"10","Egemmh",7,11,1
"11","Ehasta",7,19,1
"12","Elanat",4,10,1
"13","Elappc",11,9,1
"14","Elappo",9,13,1
"15","Emucro",11,8,1
"16","Emyrsi",8,10,1
"17","Emyrti",6,7,1
"18","Enigri",9,6,1
"19","Ephyli",1,7,1
"20","Epurpu",8,9,1
"21","Esmyrs",3,3,1
"22","Esmyrt",3,5,1
"23","Esubge",1,5,1
"24","Etesta",8,8,1
"25","Evenus",10,10,1
"26","Eweiff",17,6,1
"27","Hacuti",6,11,1
"28","Halien",11,6,1
"29","Hangli",13,13,1
"30","Hanoma",4,5,1
"31","Hcarin",5,5,1
"32","Heryth",9,9,1
"33","Hischn",14,15,1
"34","Hleuca",8,13,1
"35","Hleuco",6,11,1
"36","Hnudip",8,11,1
"37","Hoblit",8,8,1
"38","Hplicd",5,9,1
"39","Hplicg",16,13,1
"40","Hplicl",8,9,1
"41","Hplicp",4,8,1
"42","Hpolit",10,14,1
"43","Hpruss",9,16,1
"44","Hpscho",2,4,1
"45","Hpurpu",5,7,1
"46","Hscapr",5,3,1
"47","Hsglab",1,2,1
"48","Hsglau",2,9,1
"49","Hspecc",1,3,1
"50","Hspira",5,3,1
"51","Hspirh",4,5,1
"52","Htuber",5,13,1
"53","Oaacut",4,1,1
"54","Oadaph",16,13,1
"55","Oarcti",15,15,1
"56","Obella",15,10,1
"57","Obrevi",14,8,1
"58","Obridg",29,29,1
"59","Ocolla",13,6,1
"60","Odolic",14,12,1
"61","Oelaea",8,4,1
"62","Ofoeti",21,7,1
"63","Ogalla",18,15,1
"64","Oglabr",14,7,1
"65","Oglauc",12,4,1
"66","Ohasta",20,26,1
"67","Ohelve",9,5,1
"68","Oherba",11,7,1
"69","Okriec",22,17,1
"70","Olappl",12,12,1
"71","Olappo",16,12,1
"72","Omacul",14,10,1
"73","Omonti",9,7,1
"74","Omyrsi",10,7,1
"75","Omyrti",6,5,1
"76","Onigri",19,16,1
"77","Onival",18,17,1
"78","Onorve",10,5,1
"79","Oobscu",21,11,1
"80","Opedun",12,13,1
"81","Opolar",1,3,1
"82","Opprox",5,4,1
"83","Oproxi",23,11,1
"84","Opustu",10,5,1
"85","Oretic",10,13,1
"86","Oretus",9,8,1
"87","Osamol",13,15,1
"88","Ospeit",3,5,1
"89","Ospset",8,8,1
"90","Otrian",8,3,1
"91","Ovaria",25,19,1
"92","Ovesic",30,26,1
"93","Ovimin",26,20,1
"94","Oviril",9,14,1
"95","Eappen",5,4,2
"96","Eatraa",6,9,2
"97","Eaurit",6,7,2
"98","Eboreo",8,18,2
"99","Eciner",5,8,2
"100","Edaphn",6,12,2
"101","Eelaea",15,13,2
"102","Egemmc",3,7,2
"103","Egemmf",6,14,2
"104","Egemmh",7,13,2
"105","Ehasta",7,21,2
"106","Elanat",4,10,2
"107","Elappc",11,10,2
"108","Elappo",9,14,2
"109","Emucro",11,4,2
"110","Emyrsi",8,16,2
"111","Emyrti",6,9,2
"112","Enigri",9,11,2
"113","Ephyli",1,14,2
"114","Epurpu",8,17,2
"115","Esmyrs",3,6,2
"116","Esmyrt",3,8,2
"117","Esubge",1,6,2
"118","Etesta",8,3,2
"119","Evenus",10,10,2
"120","Eweiff",17,12,2
"121","Hacuti",6,15,2
"122","Halien",11,11,2
"123","Hangli",13,14,2
"124","Hanoma",4,6,2
"125","Hcarin",5,5,2
"126","Heryth",9,9,2
"127","Hischn",14,13,2
"128","Hleuca",8,19,2
"129","Hleuco",6,8,2
"130","Hnudip",8,9,2
"131","Hoblit",8,7,2
"132","Hplicd",5,11,2
"133","Hplicg",16,11,2
"134","Hplicl",8,7,2
"135","Hplicp",4,3,2
"136","Hpolit",10,12,2
"137","Hpruss",9,14,2
"138","Hpscho",2,4,2
"139","Hpurpu",5,2,2
"140","Hscapr",5,5,2
"141","Hsglab",1,3,2
"142","Hsglau",2,9,2
"143","Hspecc",1,2,2
"144","Hspira",5,7,2
"145","Hspirh",4,6,2
"146","Htuber",5,10,2
"147","Oaacut",4,2,2
"148","Oadaph",16,9,2
"149","Oarcti",15,11,2
"150","Obella",15,9,2
"151","Obrevi",14,4,2
"152","Obridg",29,19,2
"153","Ocolla",13,9,2
"154","Odolic",14,16,2
"155","Oelaea",8,6,2
"156","Ofoeti",21,10,2
"157","Ogalla",18,15,2
"158","Oglabr",14,10,2
"159","Oglauc",12,6,2
"160","Ohasta",20,26,2
"161","Ohelve",9,6,2
"162","Oherba",11,10,2
"163","Okriec",22,15,2
"164","Olappl",12,12,2
"165","Olappo",16,13,2
"166","Omacul",14,9,2
"167","Omonti",9,6,2
"168","Omyrsi",10,10,2
"169","Omyrti",6,2,2
"170","Onigri",19,15,2
"171","Onival",18,13,2
"172","Onorve",10,5,2
"173","Oobscu",21,15,2
"174","Opedun",12,13,2
"175","Opolar",1,3,2
"176","Opprox",5,2,2
"177","Oproxi",23,16,2
"178","Opustu",10,8,2
"179","Oretic",10,10,2
"180","Oretus",9,9,2
"181","Osamol",13,17,2
"182","Ospeit",3,11,2
"183","Ospset",8,7,2
